AIME	Ailuropoda_melanoleuca
ALGI	Aldabrachelys_gigantea
APIB	Aphanius_iberus
BOGA	Bos_gaurus
CENI	Cervus_nippon
CHMY	Chelonia_mydas
ELDA	Elaphurus_davidianus
EQKI	Equus_kiang
GOGO	Gorilla_gorilla
LALT	Lasiorhinus_latifrons
MOCH	Moschus_chrysogaster
MYTR	Myrmecophaga_tridactyla
PAAN	Papio_anubis
PATI	Panthera_tigris
PATR	Pan_troglodytes
PELE	Peromyscus_leucopus
PEMA	Peromyscus_maniculatus
PYNE	Pygathrix_nemaeus
RADY	Rana_dybowskii
RHBR	Rhinopithecus_brelichi
SAHA1	Sarcophilus_harrisii1
SAHA2	Sarcophilus_harrisii2
SHCR	Shinisaurus_crocodilurus
TUTR	Tursiops_truncatus
VAHI	Valencia_hispanica
