Code;Individual;Species (from Individuals);Study (from Individuals);Origin (from Individual);Sample type;16S region;Platform;Type;Read-length;F Primer;R Primer;ERDA;Archived S;Warning;Data processing;Class;Status (from Data processing);Diet;Mobility
D00001;I00020;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112588;;P00001;Actinopterygii;Done;Omnivorous;Aquatic
D00002;I00020;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112589;;;Actinopterygii;;Omnivorous;Aquatic
D00003;I00020;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112590;;;Actinopterygii;;Omnivorous;Aquatic
D00004;I00020;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112591;;;Actinopterygii;;Omnivorous;Aquatic
D00005;I00020;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112592;;;Actinopterygii;;Omnivorous;Aquatic
D00006;I00020;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112593;;;Actinopterygii;;Omnivorous;Aquatic
D00007;I00023;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112594;;P00002;Actinopterygii;Done;Omnivorous;Aquatic
D00008;I00023;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112595;;;Actinopterygii;;Omnivorous;Aquatic
D00009;I00023;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112596;;;Actinopterygii;;Omnivorous;Aquatic
D00010;I00023;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112597;;;Actinopterygii;;Omnivorous;Aquatic
D00011;I00023;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112598;;;Actinopterygii;;Omnivorous;Aquatic
D00012;I00023;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112599;;;Actinopterygii;;Omnivorous;Aquatic
D00013;I00021;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112600;;P00003;Actinopterygii;Done;Omnivorous;Aquatic
D00014;I00021;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112601;;;Actinopterygii;;Omnivorous;Aquatic
D00015;I00021;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112602;;;Actinopterygii;;Omnivorous;Aquatic
D00016;I00021;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112603;;;Actinopterygii;;Omnivorous;Terrestrial
D00017;I00021;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112604;;;Actinopterygii;;Omnivorous;Terrestrial
D00018;I00021;GAMO;Riiser2018;Wild;Mucosal scrape;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112605;;;Actinopterygii;;Omnivorous;Terrestrial
D00019;I00022;GAMO;Riiser2018;Wild;Gut content;V4;Illumina MiSeq;PE;300;515f;806r;checked;ERR2112606;;P00004;Actinopterygii;Done;Omnivorous;Terrestrial
