"Row.names" "mean_wild" "sd_wild" "mean_captive" "sd_captive"
"1" "[Eubacterium] coprostanoligenes group" 0.000707964601769912 0.00387768182304542 0 0
"2" "1174-901-12" 0.0205731746691683 0.0565455387582937 0.00552736451235845 0.0236397324076822
"3" "AAP99" 0.0394040142839552 0.21582467479578 0 0
"4" "Achromobacter" 0.00899329612468997 0.0369999020200978 0 0
"5" "Acidaminococcus" 0 0 0.000861363538481416 0.00479586921299799
"6" "Acidibacter" 0.084657061938185 0.463685824756559 0.000479566855216369 0.00267011524606816
"7" "Acidiphilium" 0.000656400561878881 0.00359525394500129 0 0
"8" "Acidovorax" 1.02413300964998 2.26472172999747 0.0104351804585435 0.0409123114405155
"9" "Acinetobacter" 1.07002563614467 2.40028012801963 0.37956563594958 1.68188652534455
"10" "Actinobacillus" 0.00446352382077639 0.0244477268260088 0.781975843284843 2.03452621135054
"11" "Actinomyces" 0 0 0.0300668823876725 0.124126720354905
"12" "Actinomycetospora" 0 0 0.000595606804212131 0.00331619833875138
"13" "Advenella" 0.0915092993281607 0.375954674515203 0 0
"14" "Aeromicrobium" 0.00131498923352565 0.00720249266078427 0 0
"15" "Aeromonas" 0.0091082027115455 0.042619147160597 0.00137943401822232 0.00768036356753367
"16" "Aetherobacter" 0.0108639677572117 0.0422788409027775 0 0
"17" "Afipia" 0.0243196650658786 0.133204291475521 0 0
"18" "Aggregatibacter" 0 0 0.0171804330970866 0.0454756275036985
"19" "Akkermansia" 0 0 0.00131555391229318 0.00454415891745151
"20" "Alcaligenes" 0.00610252237591538 0.0334248916296887 0 0
"21" "Algoriella" 0.0215712884935837 0.096525277396599 0.00656700837398957 0.0264239590809573
"22" "Alishewanella" 0 0 0.0054315214467504 0.0302414315471638
"23" "Aliterella CENA595" 0 0 0.00143560589746903 0.00799311535499666
"24" "Alloiococcus" 0 0 0.000861363538481416 0.00479586921299799
"25" "Alloprevotella" 0.00306784660766962 0.0168032878998635 0 0
"26" "Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium" 0.407715462347466 1.53135603636239 0.0074596629957212 0.0330893950388662
"27" "alphaI cluster" 0.000363095021967249 0.00198875334049296 0 0
"28" "Altererythrobacter" 0.179303862715019 0.932672128860592 0.003016319718775 0.0132734595989186
"29" "Aminobacter" 0.0024627508927472 0.0134890421747363 0 0
"30" "Amnibacterium" 0 0 0.00287121179493805 0.0159862307099933
"31" "Anaerococcus" 0 0 0.00928853583000915 0.0495323720999004
"32" "Anaerocolumna" 0.0024627508927472 0.0134890421747363 0 0
"33" "Anaerosporobacter" 0.00540862776982312 0.0206709872064446 0.0236907269418506 0.0992291604416438
"34" "Anoxybacillus" 0 0 0.00135565608060624 0.00530550070732003
"35" "Aquabacterium" 0.0043098140623076 0.0236058238057885 0.0018881295810744 0.0105126605939112
"36" "Aquicella" 0.00985100357098879 0.0539561686989451 0.00114848471797522 0.00639449228399733
