"Row.names" "mean_wild" "sd_wild" "mean_captive" "sd_captive"
"1" "[Eubacterium] brachy group" 0.0200487338453471 0.0491091679099678 0 0
"2" "[Eubacterium] coprostanoligenes group" 3.55314607935809 3.17802395607402 2.24291342664247 0.769261640623381
"3" "[Eubacterium] oxidoreducens group" 0.134038608247722 0.14862671065126 0.0336624775583483 0.0824558934958431
"4" "[Eubacterium] ventriosum group" 0.085576015108593 0.209617571236757 0.0255832992222677 0.0626660290314976
"5" "[Eubacterium] xylanophilum group" 0.075733954524971 0.118561645866948 0.108467983243567 0.265691212375494
"6" "[Ruminococcus] gauvreauii group" 0 0 0.0336624775583483 0.0824558934958431
"7" "[Ruminococcus] gnavus group" 0.0354107648725213 0.0867383053393477 0 0
"8" "28-4" 0.0871428421981873 0.166708417800436 0 0
"9" "Acetivibrio" 1.16685716203833 2.00211413046936 3.32896944425502 6.76771227191528
"10" "Acidaminococcus" 0.200408046492976 0.242791303512908 0.048623578695392 0.119102957271773
"11" "Acidibacter" 0.00444919024737498 0.010898245874636 0 0
"12" "Acinetobacter" 0.557406435979604 1.29476556285431 10.7710328016427 26.0540584403053
"13" "Actinocorallia" 0.0237111306822031 0.058080171395848 0 0
"14" "Actinomycetospora" 0.0222459512368749 0.0544912293731798 0 0
"15" "Aeromicrobium" 0.0444919024737498 0.10898245874636 0 0
"16" "Aeromonas" 0 0 0.0608939227865059 0.149159039263377
"17" "Agathobacter" 0.0200213561131874 0.0490421064358618 0.0224416517055655 0.0549705956638954
"18" "Agrococcus" 0.0575841745139218 0.141051844818488 0 0
"19" "Agromyces" 0.107923231083521 0.18828400537703 0 0
"20" "Akkermansia" 0.140040993196955 0.30576956591613 0 0
"21" "Aliihoeflea" 0.0282275365264323 0.0691430611855333 0 0
"22" "Alistipes" 0.655777089609945 0.51251075760513 3.16083747876921 1.5353269845953
"23" "Alkanindiges" 0.0111229756184374 0.0272456146865899 0 0
"24" "Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium" 0.0177967609894999 0.0435929834985438 0 0
"25" "Altererythrobacter" 0.142320436004609 0.220481894888447 0 0
"26" "Amaricoccus" 0.113703169582515 0.219710955659357 0 0
