"Row.names" "mean_wild" "sd_wild" "mean_captive" "sd_captive"
"1" "[Eubacterium] nodatum group" 0.163713405238829 0.5429759383286 0 0
"2" "966-1" 0.0108548168249661 0.0360013545764494 0 0
"3" "Acinetobacter" 0.225746311945263 0.563090059136225 0 0
"4" "Actinomycetospora" 0.0655836948844718 0.217516508296944 0 0
"5" "Actinoplanes" 0 0 0.1334558501794 0.462304626156041
"6" "Aerococcus" 0 0 0.00842886041807148 0.0291984289880121
"7" "Aeromonas" 28.3790761173761 39.2686801348294 28.3250296912411 18.6705263643199
"8" "Algoriphagus" 0.292665081397476 0.970660264234249 0 0
"9" "Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium" 0.030269397638987 0.100392234598589 0 0
"10" "Altererythrobacter" 0.00611222036591826 0.0202719415897197 0 0
"11" "Ancylobacter" 0.0201795984259913 0.0669281563990596 0 0
"12" "Anoxybacillus" 0 0 0.00842886041807148 0.0291984289880121
"13" "Arcobacter" 0.0122244407318365 0.0405438831794393 0.0949126803340926 0.328787169242384
"14" "Arthronema SAG 12.89" 0.146302088588437 0.485229133893182 0 0
"15" "Arthrospira PCC-7345" 0.196751084653415 0.652549524890831 0.157956199376972 0.436847569164406
"16" "Azoarcus" 0.0457289189683556 0.151665666286601 0 0
"17" "Azospirillum" 0.0963020030816641 0.319397610781529 0 0
"18" "Bdellovibrio" 0.288906009244992 0.958192832344588 0 0
"19" "Bilateria" 5.59835644581407 13.9656732638987 0 0
"20" "Blastococcus" 0.0365831351746845 0.121332533029281 0 0
"21" "Burkholderia-Caballeronia-Paraburkholderia" 0.0365831351746845 0.121332533029281 0 0
"22" "C39" 8.84361364335616 21.085935806008 0.900836323861436 3.06439734752832
"23" "Caedibacter" 0.667642216937992 2.21431872778438 0 0
"24" "Candidatus Accumulibacter" 0.0257801899592944 0.0855032171190673 0 0
"25" "Candidatus Alysiosphaera" 0.0277288765535655 0.0644267617249652 0 0
"26" "Candidatus Aquiluna" 0.475580757270898 1.57732292938065 0.335358137180461 1.16171466465642
"27" "Candidatus Chloroploca" 0.0876758373403892 0.211661891249127 0.0172593176006145 0.0597880299764643
"28" "Candidatus Competibacter" 0.446641846560368 0.79302606450082 0 0
"29" "Candidatus Contendobacter" 0.375449813484204 0.686188738151474 0 0
"30" "Candidatus Megaira" 1.71940735321017 5.70262905237621 0 0
"31" "Candidatus Planktoluna" 0.0963020030816641 0.319397610781529 0 0
"32" "Candidatus Thiosymbion" 0.0366350067842605 0.121504571695517 0 0
"33" "Candidatus Trichorickettsia" 0.201207243460765 0.667328931661046 0 0
"34" "Cetobacterium" 0.216454481863207 0.457672231746054 58.1160522512468 25.9425267745422
"35" "Chitinibacter" 0.667642216937992 2.21431872778438 0.020419474344389 0.0707351340566619
"36" "Clostridium sensu stricto 1" 0.0997143231476559 0.268823441291528 0.327935937321395 0.541511728682493
"37" "Corynebacterium 1" 0.208957907692689 0.525052324380684 0 0
"38" "Cryomorpha" 0.0515964145168888 0.135309951480543 0 0
"39" "Cyanobium PCC-6307" 7.52829709074585 9.73566074049588 0.641239951908194 1.47454643006801
"40" "Dechloromonas" 0.0353142972454848 0.117124273698354 0 0
"41" "Defluviicoccus" 0.666118423613469 1.17656993959073 0 0
"42" "Defluviimonas" 0.0640204865556978 0.212331932801242 0 0
"43" "Delftia" 0.0823120541430401 0.272998199315883 0 0
"44" "Dermacoccus" 0.0353142972454848 0.117124273698354 0 0
"45" "Desulfatiglans" 0.0448122619673301 0.11820536989954 0 0
"46" "Desulfobacca" 0.0067842605156038 0.0225008466102809 0 0
"47" "Desulfobacterium" 0.523047725311814 0.953915048540186 0 0
"48" "Desulfobulbus" 0 0 0.00446109921484654 0.0154537009954397
"49" "Desulfomicrobium" 0.0201795984259913 0.0669281563990596 0.102225390935436 0.320360419961681
"50" "Desulfomonile" 0.161436787407931 0.535425251192477 0 0
"51" "Desulfopila" 0.125192604006163 0.415216894015988 0.0299692814864764 0.103816636401821
"52" "Desulforhopalus" 0.839761507061213 1.96848059724021 0.0065557803251667 0.0227098892128983
"53" "Desulfosarcina" 0.0403591968519826 0.133856312798119 0 0
"54" "Desulfovibrio" 0 0 0.107688418268623 0.373043623655967
"55" "Desulfovirga" 0.244341806254772 0.549456527547605 0 0
"56" "Devosia" 0.0457289189683556 0.151665666286601 0 0
"57" "Dinghuibacter" 0.211149378724378 0.519398022874572 0.00374616018580954 0.0129770795502276
"58" "Enhydrobacter" 0.0288906009244992 0.0958192832344588 0 0
"59" "Falsirhodobacter" 0.0162822252374491 0.0540020318646741 0 0
"60" "Gemmatimonas" 0.0731662703493689 0.242665066058562 0 0
"61" "Gemmobacter" 0.0829847403874091 0.180210315632868 0 0
"62" "Geobacillus" 0 0 0.0149846407432382 0.0519083182009104
"63" "GKS98 freshwater group" 0.0213832124016787 0.060644545446112 0 0
"64" "Halobacillus" 0.195821198497133 0.455877900515246 0 0
"65" "Halochromatium" 0.77243019412105 1.56354375040394 0 0
"66" "Herbinix" 0.0554938956714761 0.184052430097414 0 0
"67" "Hydrogenophaga" 0.942015730748125 3.12431272550399 0.702353834472285 2.43302505239364
"68" "Hyphomicrobium" 0.0933238277027804 0.255824185462229 0 0
"69" "Ilumatobacter" 0.204815675091415 0.636023012589498 0 0
"70" "Lactococcus" 0.00670241286863271 0.0222293886753043 0 0
