"Row.names" "mean_wild" "sd_wild" "mean_captive" "sd_captive"
"1" "[Eubacterium] brachy group" 0.0288927241488601 0.060969679936309 0.0247558502207148 0.0782848721114409
"2" "[Eubacterium] coprostanoligenes group" 2.59731156921343 2.73267385432418 3.93973154444195 2.10576036244944
"3" "[Eubacterium] nodatum group" 0.0497973323906032 0.0992006573450343 0.0479844581051496 0.077778100906143
"4" "[Eubacterium] oxidoreducens group" 0.0134668190716435 0.0404004572149304 0 0
"5" "[Eubacterium] ruminantium group" 0.0483317521341226 0.0788971477480968 0.0113402269387426 0.0358609463096255
"6" "[Eubacterium] ventriosum group" 0.0311131554340739 0.0618830403188452 0.01441152193404 0.0304718376538637
"7" "[Ruminococcus] gauvreauii group" 0.0229468641274342 0.0499385583130531 0.037027252739761 0.117090454156355
"8" "[Ruminococcus] torques group" 0.0586154149514268 0.129508761021045 0.00910157002082859 0.0287816915493245
"9" "28-4" 0.015054761695668 0.045164285087004 0 0
"10" "Acetitomaculum" 0.0467952250015733 0.0717128558670368 0.129791357388885 0.364242018379592
"11" "Acholeplasma" 0.0373994186183528 0.112198255855058 0 0
"12" "Acidicaldus" 0.00722609803844284 0.0216782941153285 0 0
"13" "Acidothermus" 0.0231563596231918 0.0694690788695755 0 0
"14" "Acidovorax" 0.0157794807321269 0.0473384421963808 0 0
"15" "Acinetobacter" 2.23614647716462 3.90944393503068 0 0
"16" "Actinobacillus" 0.0395793097105619 0.118737929131686 0 0
"17" "Actinospica" 0.0425354407262885 0.127606322178866 0 0
"18" "Agathobacter" 0.172730919049331 0.186085628302404 0.313934922509757 0.569460387810532
"19" "Akkermansia" 0.0283130845771458 0.0354931925932061 0.69702060471377 0.77209118488835
"20" "Alcanivorax" 0.384461261545334 1.153383784636 0 0
"21" "Alishewanella" 0.156718933634988 0.470156800904963 0 0
"22" "Alistipes" 1.7203841650685 1.14010316719837 2.56335513094667 2.1267846603683
"23" "Alloprevotella" 0.605619730347307 0.674297505468056 0.599641382088656 1.00256051041738
"24" "Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium" 0.107023815744848 0.321071447234544 0 0
"25" "Altererythrobacter" 0.00707002708127765 0.0212100812438329 0 0
"26" "Anaerocolumna" 0.0101439518992245 0.0304318556976734 0 0
"27" "Anaerofustis" 0 0 0.00345133195848176 0.010914069950132
"28" "Anaeroplasma" 0.134820807159092 0.168851659776003 0.0984676767046727 0.163572403537491
"29" "Anaerosporobacter" 0.0618917980821906 0.185675394246572 0.323546241642858 0.464426195469927
"30" "Anaerovibrio" 0 0 0.0111144172369734 0.0351468733342713
"31" "Anaerovorax" 0.0223352121188233 0.06700563635647 0 0
"32" "Aquabacterium" 0.00937547069473775 0.0281264120842132 0 0
"33" "Arthrobacter" 0.0308929444203654 0.0926788332610961 0 0
"34" "Ascidiaceihabitans" 0.00706186853756914 0.0211856056127074 0 0
"35" "ASF356" 0 0 0.00752629828645441 0.0238002449350183
"36" "Atopobium" 0 0 0.0184497128150938 0.0583431146716935
"37" "Bacillus" 1.99376479546467 2.25151796662794 0.113461639831105 0.209325421297909
"38" "Bacteroides" 0.123888731257249 0.222485426453371 3.57883735388002 7.03487820423049
"39" "Blautia" 0 0 0.00860702537794215 0.0272178040731688
"40" "Brachybacterium" 0.0108391470576643 0.0325174411729928 0 0
"41" "Brevibacterium" 0.00607649153232693 0.0182294745969808 0 0
"42" "Brevundimonas" 0.0393974697500182 0.118192409250055 0 0
"43" "Bryobacter" 0.0119887535637802 0.0359662606913405 0 0
"44" "Butyricicoccus" 0 0 0.0228414401484256 0.0722309759074394
"45" "Butyrivibrio" 0.0248124776095269 0.0744374328285806 0.163759495386103 0.190453029260342
"46" "Butyrivibrio 2" 0.245358874305309 0.736076622915928 0 0
"47" "Campylobacter" 0 0 0.0744976357148634 0.212682161963602
"48" "Candidatus Soleaferrea" 0.0942534516706327 0.106549518022759 0.132305300509077 0.151586478080995
"49" "Caryophanon" 0.00604538547529538 0.0181361564258861 0 0
"50" "Cellulosilyticum" 0.0256488532592862 0.0769465597778586 0.289685362581361 0.411304961664053
"51" "Cellulosimicrobium" 0.0072749554024741 0.0218248662074223 0 0
"52" "Cellvibrio" 0.0259746647116505 0.0779239941349514 0 0
"53" "Cerasicoccus" 0 0 0.0239539075456886 0.0394274198312196
"54" "Cetobacterium" 0 0 0.0345061860831009 0.109118141388203
"55" "Christensenellaceae R-7 group" 0.67777396720213 0.947625116414739 0.839159544429272 1.97366756759999
"56" "Cloacibacterium" 0.015930261584749 0.047790784754247 0 0
"57" "Clostridium sensu stricto 1" 0.176249976277157 0.23059500256793 1.09283092924895 1.39274510811744
"58" "Clostridium sensu stricto 3" 0.025308647667762 0.075925943003286 0 0
"59" "Clostridium sensu stricto 6" 0 0 0.0445833996537007 0.0940080477492606
"60" "Comamonas" 0.399917618814879 1.19975285644464 0.0106768417552028 0.0337631381636307
"61" "Coprococcus 1" 0.00814590076755903 0.0244377023026771 0.00549656571165613 0.0173816669576177
"62" "Coprococcus 2" 0 0 0.0696464321807583 0.147058438423659
"63" "Coprococcus 3" 0.29121322705647 0.362314595011761 0.198671709724928 0.26472518497709
"64" "Corynebacterium 1" 0.00689763903669544 0.0206929171100863 0 0
"65" "Cutibacterium" 0.0973880940181047 0.292164282054314 0 0
"66" "Defluviimonas" 0.0158819448927251 0.0476458346781754 0 0
"67" "Dehalogenimonas" 0.0105106880559169 0.0315320641677506 0 0
"68" "Delftia" 0.029386594345526 0.0598881986405112 0 0
"69" "Devosia" 0.0259746647116505 0.0779239941349514 0 0
"70" "dgA-11 gut group" 0.0670335459309212 0.115350223190273 0.861578885634966 2.18192158613393
"71" "Dielma" 0 0 0.0103267813697863 0.0326561500271182
"72" "DNF00809" 0 0 0.0507324271651568 0.129179636846007
"73" "Dorea" 0.111212806972847 0.109834573758571 0.0456952376560719 0.123141911548012
"74" "Edwardsiella" 0 0 0.0249254728362197 0.0788212659191113
"75" "Elusimicrobium" 0.0165184190827468 0.0495552572482405 0.0319127471841826 0.0572654770955821
"76" "Enhydrobacter" 0.00886839304717985 0.0266051791415396 0 0
"77" "Enterobacter" 0.026933638143287 0.0808009144298609 0 0
"78" "Enterorhabdus" 0 0 0.0123566205920952 0.0390750652535591
