"Row.names" "mean_wild" "sd_wild" "mean_captive" "sd_captive"
"1" "[Bacteroides] pectinophilus group" 0 0 0.0479812872979538 0.117529671081871
"2" "[Eubacterium] coprostanoligenes group" 10.9097351430858 3.75832937812973 3.24178916170438 1.89263594170396
"3" "[Eubacterium] eligens group" 0 0 0.0603870929596317 0.0701400574671345
"4" "[Eubacterium] hallii group" 1.42066465666771 1.206065772997 0.0144631305110753 0.0354272898354134
"5" "[Eubacterium] ruminantium group" 0.0218766602822536 0.0535866549677323 0.38125052084396 0.361678202430312
"6" "[Eubacterium] ventriosum group" 0 0 0.102095832248201 0.181981281407346
"7" "[Eubacterium] xylanophilum group" 0 0 0.0402758960145079 0.0473143164126926
"8" "28-4" 0 0 0.0490700288323001 0.0769638608444912
"9" "Acetitomaculum" 0.289571518543102 0.117995655461716 0 0
"10" "Acidothermus" 0.044200001741872 0.108267450897714 0 0
"11" "Adlercreutzia" 0 0 0.0128535787734736 0.0314847093636791
"12" "Agathobacter" 0.562645777836316 0.976467433972825 0.323915986644251 0.358550308497319
"13" "Alistipes" 0 0 0.124914249620029 0.124818999175124
"14" "Alloprevotella" 0.0202492618817443 0.0496003592782631 0.645051882059263 1.24595954929005
"15" "Anaerofustis" 0.0314715391394627 0.0495759085273523 0 0
"16" "Anaeroplasma" 0 0 0.0503457047422918 0.0400124063376336
"17" "Anaerosporobacter" 0.0881763348111241 0.215987027676064 0.0651800282253446 0.0824635597402374
"18" "Anaerostipes" 0.114958704948144 0.186889307898137 0.23523297839629 0.576200767746049
"19" "Anaerovibrio" 0.10948369256283 0.170935599828261 0 0
"20" "Anaerovorax" 0 0 0.110220343282667 0.136862407215754
"21" "Bacteroides" 0 0 0.0167895451502349 0.0411258186314956
"22" "Bifidobacterium" 0.378679581136967 0.502591292863659 1.27013883657735 1.85116541497244
"23" "Blautia" 0.577102769449785 0.565581754352166 0.2276629455919 0.245335113992902
"24" "Butyricicoccus" 0.151287111648306 0.212056672011229 0.065075586462284 0.11999313180742
"25" "Butyrivibrio" 0 0 0.0448070986196895 0.109754528472804
"26" "Campylobacter" 0.0768747953173535 0.146121915402304 0.05580362070696 0.0920976967254978
"27" "Candidatus Soleaferrea" 0.0380790544970768 0.0932742534054714 0.52795678944768 0.246487800792656
"28" "Cerasicoccus" 0 0 1.21981390748353 1.22128136376697
"29" "Christensenellaceae R-7 group" 4.82150875530162 2.21682177683495 3.86188630665048 1.6396333739089
"30" "Cloacibacillus" 0 0 0.162144735511277 0.397171866481165
"31" "Clostridium sensu stricto 1" 0.79390117025366 0.566995115534848 0.757971818666361 0.818586904243738
"32" "Collinsella" 0.120282025580975 0.148588180969769 0.0439503952781656 0.0727592677233192
"33" "Coprococcus 1" 0 0 0.034078992851552 0.0563123890672139
"34" "Coprococcus 2" 0 0 0.0326617715515012 0.0800046743965296
"35" "Coprococcus 3" 0 0 0.0248347281371428 0.0398258584264898
"36" "Coriobacteriaceae UCG-003" 1.36809906330284 0.609885622761513 2.29439797852578 1.62565138184648
"37" "Desulfovibrio" 0 0 0.094409441327262 0.231254958153019
"38" "dgA-11 gut group" 0 0 0.382371852073112 0.335197884448183
"39" "Dialister" 0.845018626739576 1.18792231936056 1.40207066583517 1.43375146957622
"40" "DNF00809" 0.0783869538894866 0.124100251755288 0 0
"41" "Dorea" 0.335512834652585 0.719413447751945 0.171689456626706 0.152989508863832
"42" "Elusimicrobium" 0 0 0.0850340598218339 0.115815916975462
"43" "Enterorhabdus" 0 0 0.225178351579235 0.0929269790799405
"44" "Erysipelotrichaceae UCG-003" 0.625268076261485 0.522359142329919 0.623055358646126 0.441963890131859
"45" "Erysipelotrichaceae UCG-004" 0.963003049229595 0.649728145607306 0 0
"46" "Escherichia-Shigella" 0 0 0.0281919298924492 0.0690558431008168
"47" "Faecalibacterium" 0.604578955403694 0.788320042259325 1.9192278723234 1.70577500639404
"48" "Family XIII AD3011 group" 4.51348528056808 1.91455720846965 0.0564788491945695 0.0883908690746942
"49" "Family XIII UCG-001" 0.460389519664246 0.478505626438634 0.437272738584862 0.402538314587361
"50" "Fibrobacter" 1.34494189488423 1.5128570890879 0.832021067209678 0.58172242482198
"51" "Flavonifractor" 0 0 0.0853184054060146 0.132178361416112
"52" "Fournierella" 0 0 0.0563671080472955 0.0937138838944886
"53" "Fusicatenibacter" 0.0656299808467607 0.160759964903197 0 0
"54" "GCA-900066575" 0 0 0.0459383528227467 0.0728942441420175
"55" "Helicobacter" 0 0 0.0255925333850216 0.041484248692303
"56" "Holdemanella" 0.15349848716091 0.201062237862765 0 0
"57" "horsej-a03" 0 0 0.124948289981342 0.306059554687596
"58" "Hydrogenoanaerobacterium" 0 0 0.0175595338435431 0.043011898037813
"59" "Ileibacterium" 0 0 0.630246788712451 1.54378304437318
"60" "Intestinibacter" 0 0 0.0313214970155932 0.0767216856683095
"61" "Lachnoclostridium" 0.0676725537214987 0.10540657733899 0.462229270310611 0.234412080284375
"62" "Lachnoclostridium 10" 0.189736123539032 0.231513214334725 0 0
"63" "Lachnoclostridium 12" 0 0 0.0526045011250197 0.0816352098162159
"64" "Lachnospira" 0.0579990690574218 0.0900339891412761 0.069051611728218 0.0783360091070737
"65" "Lachnospiraceae FCS020 group" 3.61266414773148 0.904535264774101 0.0541011185863837 0.0636312753183758
"66" "Lachnospiraceae NC2004 group" 0 0 0.146482066412364 0.300866476625009
"67" "Lachnospiraceae ND3007 group" 4.53857500448022 3.4167546508778 0.0543579679310435 0.0862361505209092
"68" "Lachnospiraceae NK3A20 group" 0.52224402385504 0.389548254512035 0.0595446763866566 0.145854074046459
"69" "Lachnospiraceae NK4A136 group" 1.24034009967562 0.753494571355433 2.37672858225297 0.561212907671776
"70" "Lachnospiraceae NK4B4 group" 0 0 0.0368346266139159 0.0644694420356419
"71" "Lachnospiraceae UCG-002" 0.0444941097117238 0.0695172645201445 0 0
"72" "Lachnospiraceae UCG-003" 0 0 0.0393539673604158 0.0654966115554214
"73" "Lachnospiraceae UCG-004" 0.482131536189993 0.644386372844174 0.195039190377766 0.27416862564832
"74" "Lachnospiraceae UCG-007" 0 0 0.0540482451704258 0.132390622160388
"75" "Lachnospiraceae UCG-008" 0.138168248369413 0.0764339708443557 0.0481507782250237 0.0574884164145136
"76" "Lachnospiraceae XPB1014 group" 0 0 3.36660979651475 1.97558233685805
"77" "Lactobacillus" 0.711793616901827 1.10270597450034 1.88639650601996 2.1082033971052
"78" "Libanicoccus" 0.835455994542466 0.878144035724994 0 0
"79" "Marvinbryantia" 0 0 0.0961050458964918 0.134174011142632
"80" "Methanobrevibacter" 0 0 0.0806996678071373 0.0466115136509389
"81" "Mobilitalea" 0 0 0.0245833473809604 0.0602166572529382
