"Row.names" "mean_wild" "sd_wild" "mean_captive" "sd_captive"
"1" "[Anaerorhabdus] furcosa group" 0.0428469741610303 0.0499613097118528 0.0827821436064287 0.0516812007441989
"2" "[Bacteroides] pectinophilus group" 0.130421449992475 0.360164111342544 0.0100576048639438 0.0325400051270754
"3" "[Eubacterium] brachy group" 0.0481896365882783 0.0652191312458959 0.0496857633500792 0.0550171048310405
"4" "[Eubacterium] coprostanoligenes group" 4.37928358723828 2.56343736498243 7.91721541942917 6.28109074279826
"5" "[Eubacterium] eligens group" 0.172966645241096 0.210351675127855 0.00892325535012252 0.0170195983428995
"6" "[Eubacterium] fissicatena group" 0.00294660168427752 0.0110251739578575 0 0
"7" "[Eubacterium] hallii group" 0.0022779691904667 0.00852338024835318 0.00133169387021312 0.00480149053227447
"8" "[Eubacterium] nodatum group" 0.073626201807983 0.0783705421787287 0.141256337255999 0.121096436928801
"9" "[Eubacterium] oxidoreducens group" 0.917554674778248 1.10710027395542 0.0637381830522167 0.0411760747278766
"10" "[Eubacterium] ruminantium group" 0.0158632701988079 0.0424722139722598 0.273095098423869 0.155446916490395
"11" "[Eubacterium] ventriosum group" 1.30897913561561 1.12542481219355 0.0127416551128921 0.0349399017416783
"12" "[Eubacterium] xylanophilum group" 0.0104376870085589 0.0390542486964088 0.0508319429650523 0.0499729754185812
"13" "[Ruminococcus] gauvreauii group" 0.0232896055538313 0.0612732099650881 0.0389566890335707 0.0370192254092841
"14" "[Ruminococcus] gnavus group" 0.109210403973853 0.14394288975842 0 0
"15" "[Ruminococcus] torques group" 0.565754783880735 0.31028066266262 0.135095006318162 0.165303581865479
"16" "28-4" 0.00908053159555412 0.0185175323641863 0.0220745050756174 0.0350184559319594
"17" "Acetitomaculum" 0.018503137755229 0.0364765452953996 0.0394508323440739 0.0518690715374649
"18" "Acetobacter" 0.0133830689939919 0.0500748589590749 0 0
"19" "Acidibacter" 0 0 0.0037900019747905 0.0136650464542169
"20" "Acinetobacter" 0.00469089745146301 0.0175517310998656 0.00150691674787274 0.00543326560231059
"21" "Actibacter" 0 0 0.00100461116524849 0.00362217706820706
"22" "Adhaeribacter" 0 0 0.00104028828468945 0.0037508127517123
"23" "Adlercreutzia" 0.00147330084213876 0.00551258697892877 0 0
