"Row.names" "mean_wild" "sd_wild" "mean_captive" "sd_captive"
"1" "[Bacteroides] pectinophilus group" 0.0447929439139688 0.0889190798376872 0.0150564984715456 0.026778474692929
"2" "[Eubacterium] coprostanoligenes group" 3.47737926349474 3.66708422837136 1.52083259850009 0.841559333297186
"3" "[Eubacterium] eligens group" 0.0695569273538897 0.0965812876596603 0.200042867439129 0.140560011645953
"4" "[Eubacterium] hallii group" 1.17082462441571 1.15865943810388 1.0281939734038 0.486835275868497
"5" "[Eubacterium] nodatum group" 0 0 0.231953572715994 0.155552440722711
"6" "[Eubacterium] oxidoreducens group" 0.00170664482161295 0.00511993446483885 0.0103292000569213 0.00929995632978681
"7" "[Eubacterium] ruminantium group" 0.0660594933899555 0.0944261846379924 1.38487328466668 1.02112846935695
"8" "[Eubacterium] ventriosum group" 0 0 0.00741025263607396 0.00970756877045879
"9" "[Eubacterium] xylanophilum group" 0.0684151326026352 0.121177600993737 0.0201885477578585 0.0198672583132563
"10" "[Ruminococcus] gauvreauii group" 0.311952397891527 0.433794217180812 0.252328157669531 0.164019064275689
"11" "[Ruminococcus] torques group" 0.361851853252926 0.425240753195423 0.324618661564962 0.247454643874407
"12" "1174-901-12" 0.00149876726392542 0.00449630179177626 0 0
"13" "Acetitomaculum" 0 0 0.0164967987876776 0.0194636390064799
"14" "Acidaminococcus" 1.20361119077209 0.767773901613343 0.130127307020441 0.189892092282621
"15" "Actinomyces" 0 0 0.00142633005277421 0.00427899015832264
"16" "Actinoplanes" 0.00971429867064016 0.0148337273775623 0 0
"17" "Aerococcus" 0 0 0.00289446072578603 0.00868338217735808
"18" "Agathobacter" 1.1737065134232 2.52414840760314 1.02496219527185 0.882259866986099
"19" "Alistipes" 0.0100021542213037 0.0198779094988289 0 0
"20" "Allisonella" 0 0 0.0205334924331246 0.0192772850927766
"21" "Alloprevotella" 0.520094095646311 0.622791466385901 0.246393679438804 0.216588236844784
"22" "Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium" 0.00170664482161295 0.00511993446483885 0 0
"23" "Amnibacterium" 0.00339747771254621 0.0101924331376386 0 0
"24" "Anaerococcus" 0 0 0.00382028419559655 0.00794634584298667
"25" "Anaerofustis" 0.00170664482161295 0.00511993446483885 0 0
"26" "Anaerosporobacter" 0.0034132896432259 0.0102398689296777 0.00333847458419299 0.010015423752579
"27" "Anaerostipes" 1.3350486471082 1.0703627094019 0.0456739537381469 0.0682267922886062
"28" "Anaerovibrio" 0.00542640706735257 0.0162792212020577 0.00606553924495068 0.00913375943505618
"29" "Angustibacter" 0.00135899108501848 0.00407697325505545 0 0
"30" "Bacillus" 0.00170664482161295 0.00511993446483885 0 0
"31" "Bacteroides" 0.0256211109060091 0.0465043933224286 0.00442024828166804 0.00953243275678893
"32" "Bifidobacterium" 21.9005766785187 23.7256582449185 0.115030422516919 0.11723850603692
"33" "Blautia" 2.37791007465551 2.01103732060901 2.96115065205843 0.902212638153079
"34" "Bryobacter" 0.00428822268200122 0.00873392781465856 0 0
"35" "Bryocella" 0.00271798217003696 0.00815394651011089 0 0
"36" "Butyricicoccus" 0.227335658202672 0.135267610018524 0.187185396675772 0.0919040166505404
"37" "Butyrivibrio" 0.0246948383776135 0.0550455290279574 0.00189350905097326 0.00568052715291979
"38" "CAG-56" 0.00759696989429359 0.0227909096828808 0 0
"39" "Candidatus Soleaferrea" 0.0348814520623392 0.0565740211835447 0.0293252435105389 0.0381888907862455
"40" "Catenibacterium" 1.18200684013527 1.25384496896434 0.374296472933167 0.371595080073694
"41" "Catenisphaera" 0 0 0.00276121051468964 0.00828363154406892
"42" "Cellulosilyticum" 0.116024388800095 0.348073166400284 0.00741593008035254 0.0168289898095875
"43" "Cetobacterium" 0.015390990351033 0.0461729710530989 0 0
"44" "Christensenellaceae R-7 group" 1.28861704188848 1.59132582625105 1.90702861031023 1.6983029704269
"45" "Citrobacter" 0 0 0.00126233936731551 0.00378701810194653
"46" "Clostridium sensu stricto 1" 2.56120845066299 3.07951109252151 1.44234025148056 0.887062243475727
"47" "Collinsella" 3.04382448882319 1.51465610313401 0.550499283102479 0.343524139513771
"48" "Coprococcus 1" 0.155186430603202 0.0882041966769637 0.126168758058287 0.0977989187289761
"49" "Coprococcus 2" 0.627514728383211 0.685953163491878 0.239467266404055 0.139512750213011
"50" "Coprococcus 3" 0.0856951652921153 0.113585300500095 0.335648787099602 0.0759630762538123
"51" "Coriobacteriaceae UCG-003" 0.0173434029378468 0.0351307937750078 0.0690255445546399 0.0519524551626332
"52" "Corynebacterium" 0 0 0.00434169108867904 0.0130250732660371
"53" "Corynebacterium 1" 0 0 0.011713018039166 0.0164655427318962
"54" "Cryptosporangium" 0.00188339878144099 0.00565019634432297 0 0
"55" "Defluviitaleaceae UCG-011" 0 0 0.00182378581459393 0.0054713574437818
"56" "Desulfovibrio" 0.104915849411884 0.126040222664715 0.136485561869991 0.0848331616236801
"57" "dgA-11 gut group" 0.0659210290064228 0.107362649030113 0.0160039131371745 0.0191205854168683
"58" "Dialister" 4.09736774603876 2.38256158382481 1.88422463506296 1.01993525207727
"59" "Dorea" 1.02247800485728 0.773997083798317 1.16747491549822 0.499436848240386
"60" "Elusimicrobium" 0 0 0.00138060525734482 0.00414181577203446
"61" "Enterococcus" 0.0616658222647864 0.151845032944427 0.328117938493764 0.312129767045726
"62" "Enterorhabdus" 0.210206316485096 0.143996332318141 0.121847119531392 0.0658428574392997
