"Row.names" "mean_wild" "sd_wild" "mean_captive" "sd_captive"
"1" "[Eubacterium] hallii group" 0 0 0.00448768945188993 0.016180594427148
"2" "[Eubacterium] nodatum group" 0 0 0.745772392550435 2.68892060116605
"3" "[Ruminococcus] gauvreauii group" 0 0 0.0335347846014013 0.0874377547664735
"4" "[Ruminococcus] gnavus group" 0.424566593156487 0.726871605080172 9.19607501915496 5.87351613646856
"5" "[Ruminococcus] torques group" 0.0326385412624154 0.0698321555812794 0.214426756910956 0.187592832879597
"6" "Acetitomaculum" 0.0386491574467845 0.109283567624647 0 0
"7" "Acidovorax" 0.0741385748913456 0.19224345133728 0 0
"8" "Acinetobacter" 0.146355907712892 0.334061496904936 0 0
"9" "Actinomyces" 0.194496251555332 0.453231490711834 0.0643946639853667 0.169451848080964
"10" "Aeromicrobium" 0.00251476526462516 0.00906711510736177 0 0
"11" "Agrococcus" 0 0 0.00784429082708241 0.0282829927966975
"12" "Allobaculum" 0.0216952094265685 0.0782231900194224 0 0
"13" "Alloprevotella" 0.00542380235664212 0.0195557975048556 0.36066372654677 1.11397045251825
"14" "Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium" 0.00143700872264295 0.00518120863277815 0 0
"15" "Anoxybacillus" 0.4363697675075 0.930606574713644 0 0
"16" "Aquabacterium" 0.125845524618531 0.453742491799778 0 0
"17" "Arthrobacter" 0 0 0.00163422725564217 0.00589229016597864
"18" "Bacillus" 0.182847459744733 0.455007063657802 0 0
"19" "Bacteroides" 0.0870032158254109 0.263589769271 10.487778830815 12.288338840287
"20" "Bifidobacterium" 0.130295139153167 0.43617367158676 0.0305250305250305 0.110059562743101
"21" "Blastococcus" 0.0261094388805631 0.0941389206574634 0.00522952721805494 0.0188553285311316
"22" "Blautia" 1.08293813640282 2.65568253149625 5.07421857323676 3.3989385472183
"23" "Bosea" 0.00502953052925031 0.0181342302147235 0 0
"24" "Brevibacterium" 0 0 0.0274550178947884 0.0989904747884411
"25" "Brevundimonas" 0.0933625435513836 0.245092670900857 0.00732859724325576 0.0214171352732941
"26" "Burkholderia-Caballeronia-Paraburkholderia" 0.0104263976021031 0.0263054173603203 0 0
"27" "Butyricicoccus" 0 0 0.0490025808523909 0.120554962069498
"28" "Caenimonas" 0.00323326962594663 0.0116577194237508 0 0
"29" "Campylobacter" 0 0 0.974409431598018 2.05019342113522
"30" "Capnocytophaga" 0.0099613438038706 0.0243472618095815 0 0
"31" "Catenisphaera" 0.0175365155509294 0.0632288060118477 2.44647167857381 4.77405236732075
"32" "Chelatococcus" 0.0672222157833127 0.242373145857038 0 0
"33" "Christensenellaceae R-7 group" 0.0147080453007795 0.0530306114938077 0 0
"34" "Chryseobacterium" 1.08337261523442 2.02682516222925 0 0
"35" "Clostridium sensu stricto 1" 16.1760991748701 22.4485276323296 5.64275225515233 7.24131584344413
"36" "Clostridium sensu stricto 13" 0 0 0.351621615619035 0.835106130904005
"37" "Clostridium sensu stricto 15" 0 0 0.0351719856834635 0.0804381457761121
"38" "Clostridium sensu stricto 2" 0 0 0.0469532971796897 0.118727827359436
"39" "Clostridium sensu stricto 4" 0.00621405342705047 0.0224050882597032 0.148804652956008 0.241480147420089
"40" "Clostridium sensu stricto 7" 0.0632283837962896 0.227973179842239 0.245558814533666 0.454485564700962
"41" "Collinsella" 17.0511683997573 25.0802330131596 27.5827695667658 24.4722619908054
"42" "Coprococcus 2" 0.00251476526462516 0.00906711510736177 0 0
"43" "Corynebacterium" 0.51476460613951 1.2618974477428 0.0274632914339686 0.0753411291277178
"44" "Corynebacterium 1" 0.0378473260208219 0.09029723480344 0.249056233759867 0.897985021295145
"45" "Cutibacterium" 1.10481562894048 2.29162241444986 0 0
"46" "Deinococcus" 0.140868676871997 0.507909237568754 0.0010409781030256 0.00375329992709405
"47" "Delftia" 2.89512383322891 5.41530725196718 0 0
"48" "Desulfovibrio" 0 0 0.0183814392087832 0.0457404303259824
"49" "Devosia" 0.0176483781248987 0.0338586188877993 0.00294160906015591 0.0106061222987616
"50" "Dielma" 0.00337086226656779 0.0121538167446369 0 0
"51" "Dietzia" 0 0 0.313798116302342 1.10469753563013
"52" "Dorea" 0 0 0.147832017336217 0.17438166783889
"53" "Ensifer" 0.00179626090330368 0.00647651079097269 0 0
"54" "Enterococcus" 0.966166806321015 1.39928977548032 0.0421907455178636 0.0798831537886752
"55" "Epulopiscium" 0 0 0.0166467375272913 0.054957196581633
"56" "Erysipelatoclostridium" 0 0 0.0308631990719775 0.104544238432439
"57" "Erysipelotrichaceae UCG-007" 0 0 0.00416391241210241 0.0150131997083762
"58" "Escherichia-Shigella" 9.27067898745583 26.0996203134661 5.73036892363814 7.629199494435
"59" "Faecalicoccus" 0 0 0.00208195620605121 0.00750659985418809
"60" "Faecalitalea" 0 0 0.00335942148813573 0.00915765257414351
"61" "Family XIII AD3011 group" 0.00113138810005996 0.00407927780721598 0 0
"62" "Fusobacterium" 0.934063219501888 2.42573063159913 12.0854949259778 13.0400683902851
"63" "Gemella" 0.260258352455978 0.580329811845736 0.0134006634962658 0.0483167793610248
"64" "Granulicatella" 0.023051160015729 0.0831121393956363 0 0
"65" "Haemophilus" 0.260650971081068 0.898265515601666 0 0
"66" "Hafnia-Obesumbacterium" 0.0550225215895486 0.14086779367707 0 0
"67" "Hathewaya" 0 0 0.011822720481213 0.0381307540159804
"68" "Holdemanella" 0.0311868635506922 0.11244583565292 0 0
"69" "Howardella" 0 0 0.0138710401240234 0.0500127464111848
"70" "Hydrogenophaga" 0.0237940267742906 0.0384887690723422 0 0
"71" "Janthinobacterium" 0.0243390781284408 0.0877557941896174 0 0
"72" "Jeotgalibaca" 0 0 0.0147080453007795 0.0530306114938077
"73" "Kineosporia" 0.0110472060925342 0.0398312680172501 0 0
"74" "Klebsiella" 0.0643247064823078 0.231926027501132 0 0
"75" "Kocuria" 0.151292748412788 0.475679515552321 0.0541924128853237 0.175055879308392
"76" "Lachnoclostridium" 0.167857886973308 0.343514095325186 2.78694898535714 2.22685073836944
"77" "Lachnospiraceae FCS020 group" 0 0 0.0143722064271484 0.0390600231174325
"78" "Lachnospiraceae NK4A136 group" 0 0 0.0717516924156076 0.121172907976287
"79" "Lactobacillus" 0.435206214788212 1.2107597743732 0.0573153104507222 0.142979037458434
"80" "Lactococcus" 0 0 0.0155557906028176 0.0390291485653257
"81" "Lautropia" 0.00542380235664212 0.0195557975048556 0 0
"82" "Lawsonella" 0.0735967362455233 0.265356806240033 0 0
"83" "Leucobacter" 1.29083355744045 4.54986531066729 0.0175770625698924 0.0519530480164059
"84" "Lutispora" 0.00215551308396442 0.00777181294916723 0 0
"85" "Lysinibacillus" 6.94395487293774 24.9427714431687 0 0
"86" "Macrococcus" 0 0 0.02712817244366 0.0978120167552454
"87" "Massilia" 0.900470803169366 1.8451253194024 0 0
"88" "Megamonas" 0.0147080453007795 0.0530306114938077 0.538796480018798 0.668782847646635
"89" "Meiothermus" 0.166137905830154 0.535553734446304 0 0
"90" "Methylobacterium" 1.5168139702766 2.57111551501041 0 0
