"Row.names" "mean_wild" "sd_wild" "mean_captive" "sd_captive"
"1" "[Eubacterium] coprostanoligenes group" 2.89401281426618 1.30482568122948 2.33707584167482 1.13620434517891
"2" "[Eubacterium] eligens group" 0.845617655814457 0.608717609864512 0.229311385696377 0.394698461696981
"3" "[Eubacterium] hallii group" 0.144395201904657 0.0885830097052868 0.149784563941036 0.248282103034017
"4" "[Eubacterium] xylanophilum group" 0 0 0.407176474277671 0.271959627264916
"5" "[Ruminococcus] gauvreauii group" 0 0 0.503357272748692 0.44431402322439
"6" "[Ruminococcus] torques group" 0.0201540154015402 0.0450657484574215 0.0227409688749938 0.0557037700002489
"7" "28-4" 0 0 0.269883188580433 0.223858635532973
"8" "Acetitomaculum" 0 0 1.08705374488833 0.772500824667815
"9" "Acinetobacter" 24.4609679066272 10.279489000021 0 0
"10" "Agathobacter" 2.74298489736502 0.779238073165029 0.601923434902253 0.607334001039699
"11" "Alloprevotella" 0.50163609646345 0.140499484296266 0.0516588712392769 0.090392602389168
"12" "Anaerosporobacter" 0 0 0.0384979644568202 0.0603172226018299
"13" "Anaerostipes" 0.382841390406103 0.142900546676794 0.0131512290695841 0.0322138007109382
"14" "Anaerovibrio" 0.97531585002488 0.561182115114478 0.406298032638092 0.279223077754432
"15" "Bacillus" 0.0820035800070376 0.183365579294079 0 0
"16" "Bifidobacterium" 1.58949904501186 0.819553523868537 0.118438162619721 0.270847290023186
"17" "Blautia" 0.588368866775002 0.180859054769809 1.62762761732222 1.51294310715801
"18" "Butyricicoccus" 0.12179618106702 0.16096508419803 0 0
"19" "Campylobacter" 0.0774648360325373 0.082619098499382 0.0127029044702498 0.0311156342034315
"20" "Candidatus Soleaferrea" 0 0 0.121740840002579 0.13456844957584
"21" "Caryophanon" 0.0780060510464083 0.174426832796088 0 0
"22" "Cerasicoccus" 0.536065753673163 0.514843284543264 0.635331761837927 0.304797944241795
"23" "Chishuiella" 0.0278677135121641 0.0623141017906883 0 0
"24" "Christensenellaceae R-7 group" 1.08290100470217 0.491098552988626 4.5338320509422 2.33606315077748
"25" "Chryseobacterium" 0.0281025311848074 0.0628391700690371 0 0
"26" "Cloacibacillus" 0 0 0.20222776337239 0.221794019211973
"27" "Clostridium sensu stricto 1" 0.0317984761561489 0.0711035542660552 2.82264191597394 1.58938003644341
"28" "Collinsella" 0.385140919484796 0.0786486998687757 0.149071867569579 0.185007625082934
"29" "Comamonas" 1.48430681075411 3.31901092831211 0 0
"30" "Coprococcus 2" 0 0 0.0764247444400831 0.187201627600809
"31" "Coprococcus 3" 0 0 0.370549207535391 0.262838782660062
"32" "Coriobacteriaceae UCG-003" 1.20748519955499 0.557879223177424 2.45526346205254 0.769883643561637
"33" "Desulfovibrio" 0 0 0.00882933384177047 0.0216273626810252
"34" "dgA-11 gut group" 0 0 0.601025353517158 0.327385551417046
"35" "Dialister" 0.912176300236561 0.142730506044041 1.17956567274066 0.849408102749515
"36" "Diaphorobacter" 0.0686515873233318 0.153509616018233 0 0
"37" "DNF00809" 0 0 0.0211615920690657 0.0518351027141383
"38" "Dorea" 0.285899899728218 0.220169143386585 0.373661537989535 0.270715182303827
"39" "Elusimicrobium" 0.022046204620462 0.0492968121772231 0.139889245572054 0.31603964665789
"40" "Empedobacter" 0.363219344561299 0.812183145181983 0 0
"41" "Enterobacter" 0.191912213778672 0.429128755721583 0 0
"42" "Enterorhabdus" 0.204680414451346 0.103522753519652 0.269939989920214 0.160433012546591
"43" "Erysipelatoclostridium" 0 0 0.0129499347470905 0.0317207323327095
"44" "Erysipelotrichaceae UCG-003" 0.413122289411226 0.38581471411581 0.195848536071534 0.172700062415956
"45" "Erysipelotrichaceae UCG-006" 0.615966024526296 0.244142239372188 0.648155619064647 0.284145155796947
"46" "Escherichia-Shigella" 0.199027809788458 0.376260277177464 0 0
"47" "Faecalibacterium" 2.48128377572147 1.14417058593592 2.44581694719219 1.54990617789119
"48" "Faecalitalea" 0 0 0.147026820142859 0.102206746611878
"49" "Family XIII AD3011 group" 0.0938277054114454 0.119262767019364 0.23301085344666 0.162834357255425
"50" "Family XIII UCG-001" 0.318063233112994 0.149787584148065 0.035915014459763 0.0697732700850581
"51" "Fibrobacter" 0.320260527395749 0.101252906354334 0 0
"52" "Flavobacterium" 0.826010888752334 1.84701649740523 0 0
"53" "Flavonifractor" 0 0 0.00875630302847308 0.0214484744529461
"54" "Fournierella" 0 0 0.298672289133808 0.181129873915574
"55" "Fusicatenibacter" 0.155878814593988 0.056249220747652 0.726089293471107 0.724943169445217
"56" "GCA-900066575" 0.39810530456399 0.174420212186825 0 0
"57" "Holdemanella" 0.184163722172883 0.111699559481102 0.0738938657700327 0.119252507570515
"58" "horsej-a03" 0 0 0.225046003280727 0.270271954795909
"59" "Intestinibacter" 0.0123469452921949 0.0276086089878188 0.139794137451669 0.251343612102877
"60" "Intestinimonas" 0 0 0.0302831341842505 0.0511115950341195
"61" "Ketogulonicigenium" 0.0290810315742506 0.065027163455842 0 0
"62" "Kurthia" 7.05007372989972 5.14509001284981 0 0
"63" "Lachnoclostridium" 1.07203631914965 0.373999875624236 0.415605443813689 0.213512957601935
"64" "Lachnoclostridium 10" 0 0 0.0141018198398503 0.0345422630522897
"65" "Lachnospira" 0 0 0.166841318372399 0.249252608147031
"66" "Lachnospiraceae FCS020 group" 0 0 0.011004089629652 0.0269544046764993
"67" "Lachnospiraceae ND3007 group" 1.88948891218018 1.60481778987812 3.06340769227356 0.916726312565581
"68" "Lachnospiraceae NK3A20 group" 0.721208091529803 0.371570910393223 1.71209561336867 0.9947904360021
"69" "Lachnospiraceae NK4A136 group" 1.0859764159268 0.572273198747494 3.16287989348508 1.4722229214194
"70" "Lachnospiraceae NK4B4 group" 0 0 0.0339734547985752 0.0555078091740314
"71" "Lachnospiraceae UCG-002" 0.0258745874587459 0.0578573364475193 0.186424949441854 0.213717942265889
"72" "Lachnospiraceae UCG-003" 0 0 0.0726527814966438 0.089903341467159
"73" "Lachnospiraceae UCG-004" 1.56803088624761 0.270625410149055 0.214843123504717 0.182994518298775
"74" "Lachnospiraceae UCG-008" 0 0 0.612720546096718 0.443795314073115
"75" "Lactococcus" 0.041646749637623 0.0931249632316397 0 0
"76" "Lysinibacillus" 0.748762679855302 1.48728576047153 0 0
"77" "Marvinbryantia" 0.030979097909791 0.0692713688079143 0.0888742878042363 0.113877493479639
"78" "Methanobrevibacter" 0 0 0.295908738163797 0.253057902204386
"79" "Olsenella" 0.494199563028756 0.0756100986737168 0 0
"80" "Oribacterium" 0.267246245536575 0.103968448101274 0.904081553804427 0.543205081218201
"81" "Oscillibacter" 0 0 0.0202628934187233 0.0325633609830393
"82" "Oscillospira" 0.036404237165613 0.0340091357857498 0.0970753308040134 0.100999745757659
"83" "Oxalobacter" 0.103048416877487 0.0671923440234209 0.02553996259884 0.0625598764169247
"84" "p-1088-a5 gut group" 0 0 0.144195610098769 0.266886346994528
"85" "Parabacteroides" 0 0 0.560752578626089 0.90078558672279
"86" "Paracoccus" 0.0221141088014153 0.049448650541791 0 0
"87" "Peptococcus" 0.0202427974539747 0.0452642711618472 0.0188179706029762 0.0460944259719856
"88" "Phascolarctobacterium" 0.471617744573652 0.138549412506867 4.24919780207749 3.0633807898278
"89" "Prevotella 1" 0 0 1.60516495725058 1.75592660448978
"90" "Prevotella 2" 0 0 1.43684349366541 1.10718230684872
"91" "Prevotella 7" 5.65670282318844 1.91756856768214 0 0
"92" "Prevotella 9" 2.61876777228726 0.995118956246818 16.1896856209601 4.48050608353172
"93" "Prevotellaceae UCG-001" 0 0 0.849584506413957 0.868665517370553
"94" "Prevotellaceae UCG-003" 0 0 0.955734753662013 0.411690165218428
"95" "Prevotellaceae UCG-004" 0 0 0.0120154802426051 0.0294317956088751
"96" "Pseudocitrobacter" 0.0317984761561489 0.0711035542660552 0 0
"97" "Pseudomonas" 2.02407890108137 2.49409796712128 0 0
"98" "Pygmaiobacter" 0 0 0.0528559794592095 0.108009819370973
"99" "Pyramidobacter" 0 0 0.0608674231902209 0.117895879076659
"100" "Rikenellaceae RC9 gut group" 1.86470918790277 1.15379913151393 7.01583663688878 3.77955806045143
"101" "Romboutsia" 0 0 0.0162889071279753 0.0398995109311232
"102" "Roseburia" 0.320551451553185 0.210596402069653 0.46476935609655 0.551579487338823
"103" "Ruminiclostridium" 0 0 0.0202636284643592 0.049635550075017
"104" "Ruminiclostridium 5" 0 0 0.0300103120988278 0.0735099516638006
"105" "Ruminiclostridium 6" 0 0 0.416610301625929 0.617662767293535
"106" "Ruminiclostridium 9" 0.170917723713836 0.0897799006229306 0.377986986290849 0.191794176178735
"107" "Ruminobacter" 0 0 0.0600206241976556 0.147019903327601
"108" "Ruminococcaceae NK4A214 group" 1.67353480534567 0.359584337346852 2.17036569317755 0.899924239915829
"109" "Ruminococcaceae UCG-002" 2.32181194628499 1.20211457642334 1.65954744360827 0.623264222520481
"110" "Ruminococcaceae UCG-003" 0.342610424082965 0.0851244357421718 0.309094403061368 0.126053936794212
"111" "Ruminococcaceae UCG-005" 0.667372198014079 0.402551550444472 2.24315348652748 0.881149518347655
"112" "Ruminococcaceae UCG-008" 5.10484288102499 2.73845259914736 0.65122206259729 0.46665138944184
"113" "Ruminococcaceae UCG-009" 0 0 0.122325439338785 0.202366839293512
"114" "Ruminococcaceae UCG-010" 1.39486989767501 0.743255861944158 1.61682815502921 0.991147623046371
"115" "Ruminococcaceae UCG-011" 0 0 0.0294919960036317 0.0509421252380182
"116" "Ruminococcaceae UCG-013" 0.0245423991934441 0.0342696353960594 0.0877293814056518 0.137753696352015
"117" "Ruminococcaceae UCG-014" 3.49035897736437 1.86783665766677 3.42711461770429 1.84078452289601
"118" "Ruminococcus 1" 0.0655213000628052 0.0385373561826987 1.79162505801584 1.47509440120139
"119" "Ruminococcus 2" 0 0 0.0540875008588808 0.0610845037901832
"120" "Rummeliibacillus" 0.812564414544253 0.78098479306521 0 0
"121" "Senegalimassilia" 0.229240099233467 0.0921275837633515 0.143976944859914 0.17778545703603
"122" "Shuttleworthia" 0 0 0.0148848486587496 0.0364602841124871
"123" "Slackia" 0.0261516434886212 0.0584768525638968 0 0
"124" "Solibacillus" 2.24554005681776 3.72176406385129 0 0
"125" "Solobacterium" 0.826397996507701 0.693181828589107 0.729647978781694 0.654826356084956
"126" "Sphaerochaeta" 0 0 1.15869923154488 0.79540026376025
"127" "Sphingobacterium" 0.0944057175734756 0.211097601958938 0 0
"128" "Stenotrophomonas" 0.179691811517341 0.401803105552854 0 0
"129" "Streptococcus" 0 0 0.0192352210787718 0.0471164767326183
"130" "Subdoligranulum" 1.5459593609909 0.434212332499792 1.85442467087188 0.56935645569945
"131" "Succinivibrio" 0.863411505143508 0.620586427013394 2.87134694802124 2.04471802375914
"132" "Sutterella" 1.02454558906388 0.902059361271991 1.51267365845749 0.926826329964291
"133" "Synergistes" 0.0451925192519252 0.101053545121773 0.0101542514639822 0.0248727348066655
"134" "Terrisporobacter" 0 0 0.073549696911522 0.121701834703276
"135" "Timonella" 0.215426645739805 0.48170862403897 0 0
"136" "Treponema 2" 0 0 4.61894058223101 2.97935949254222
"137" "Turicibacter" 0 0 0.0139406233673511 0.0341474139463299
"138" "Tyzzerella 3" 0.0179097909790979 0.0400475100920754 0 0
"139" "Victivallis" 0 0 0.00972922558719231 0.0238316382810512
"140" "Vitreoscilla" 0.0671642667313782 0.150183866070289 0 0
"141" "Z20" 0 0 0.111317710857879 0.0644077405851915
