"Row.names" "mean_wild" "sd_wild" "mean_captive" "sd_captive"
"1" "[Acetivibrio] ethanolgignens group" 0.00139151731047534 0.00787161061100465 0 0
"2" "[Bacteroides] pectinophilus group" 0.177365893095815 0.378586690538387 0.149501970203336 0.597439215792129
"3" "[Eubacterium] brachy group" 0 0 0.00238771758076455 0.0132942488546836
"4" "[Eubacterium] coprostanoligenes group" 0.394345510323779 0.612566553434597 0.198387447411318 0.443157492100445
"5" "[Eubacterium] hallii group" 0.000741311825406239 0.00419349294974824 0 0
"6" "[Eubacterium] nodatum group" 0.0102186404350034 0.038649786213929 0.0253800170985788 0.0938464145254136
"7" "[Eubacterium] oxidoreducens group" 0.00435152439472232 0.0207156087518244 0.0200957938061544 0.086631596811263
"8" "[Eubacterium] ruminantium group" 0.158445859468428 0.605096313439969 0.244257471760749 0.790902496330985
"9" "[Eubacterium] ventriosum group" 0 0 0.0142574905836619 0.0578825729004079
"10" "[Eubacterium] xylanophilum group" 0.197142671080997 0.418104854981719 0.745639234584725 1.11664768599175
"11" "[Ruminococcus] torques group" 0.0227283837045184 0.0654204677504013 0.00135353255076593 0.00753615030008496
"12" "1174-901-12" 0.00115853375967376 0.00655365662159088 0 0
"13" "28-4" 0.106148031883832 0.206411986806335 0.0346919596271225 0.0947293556582158
"14" "A2" 0.0384243649949706 0.117178720177565 0.0107390151382704 0.0334316803182207
"15" "Acetatifactor" 0.00531236719082023 0.0300512869182553 0.00101514941307445 0.00565211272506372
"16" "Acetitomaculum" 0.190540325371692 0.267976851860754 0.067702952983451 0.131901354468219
"17" "Acidothermus" 0.00695120255804254 0.0393219397295453 0 0
"18" "Acinetobacter" 1.1001100505922 4.3310098916105 0.000918575198010366 0.00511441025206165
"19" "Adlercreutzia" 0.0111332313338603 0.0473086991056653 0 0
"20" "Aetherobacter" 0.0014481671995922 0.00819207077698859 0 0
"21" "Agathobacter" 0.00303563839475442 0.0171721639532888 0.00208925288316898 0.0116324677478481
