"Row.names" "mean_wild" "sd_wild" "mean_captive" "sd_captive"
"1" "[Anaerorhabdus] furcosa group" 0 0 0.0214000279580086 0.0401544498135874
"2" "[Eubacterium] brachy group" 0.00643126148515646 0.0139974263916548 0.184275644065336 0.255492341891314
"3" "[Eubacterium] coprostanoligenes group" 3.71242948729878 1.58676768701956 4.39576061979901 3.44152135730835
"4" "[Eubacterium] eligens group" 0.174850538818373 0.0925487935569107 0.172024754397122 0.510462544044913
"5" "[Eubacterium] fissicatena group" 0 0 0.00216423561234408 0.00780444545388682
"6" "[Eubacterium] nodatum group" 0 0 0.0828357311101855 0.118670527860688
"7" "[Eubacterium] oxidoreducens group" 2.41806782247337 1.42386825254339 0.638831062866988 1.25326561382047
"8" "[Eubacterium] ruminantium group" 0 0 0.307194699418141 1.05964992784234
"9" "[Eubacterium] ventriosum group" 0.0212662988679483 0.0265568679193221 0 0
"10" "[Eubacterium] xylanophilum group" 0.0377949544458738 0.147273633921342 0.415613008702511 1.05102749957415
"11" "[Ruminococcus] gauvreauii group" 0 0 0.0294896600804645 0.0576573085719966
"12" "[Ruminococcus] torques group" 2.48829834484798 1.26895008305695 2.17398814900559 1.45335493062656
"13" "28-4" 0 0 0.0160604976001028 0.0834527935146481
"14" "Acetitomaculum" 0.145341582318858 0.200962979353144 0.103590253174473 0.154170687051968
"15" "Acinetobacter" 0.0172448864964645 0.0896070587479049 0 0
"16" "Agathobacter" 1.20022270234424 1.43451826245487 0.0279914975950003 0.105116614687061
"17" "Akkermansia" 1.18834300376834 3.00006047371478 0.180642582486067 0.333358458668264
"18" "Alistipes" 0.0170111369206897 0.0317510704322743 0.54605834447165 0.467211787969182
"19" "Alloprevotella" 0 0 0.154350539896973 0.254747358916444
"20" "Anaerofustis" 0.00110943902800462 0.00576481429321149 0.00144785897853549 0.00752329593905474
"21" "Anaeroplasma" 0.00283001845881971 0.0103531213668994 0 0
"22" "Anaerosporobacter" 0.18034415217959 0.235617591715939 0.491439656347872 0.838009702516486
"23" "Anaerostipes" 0.0276433609637107 0.137024424333764 0 0
"24" "Anaerovibrio" 0 0 0.0300833970520964 0.0717064674161305
"25" "Bacillus" 0 0 0.00160873219837277 0.00835921771006082
"26" "Bacteroides" 0 0 2.04572950528924 1.93853169997151
"27" "Blautia" 4.14202649263002 2.88106321237736 2.03039428827636 1.17372243034378
"28" "Butyricicoccus" 0.00799631367264847 0.0227260442681448 0.00348337992353981 0.018100173028909
"29" "Butyrivibrio" 0 0 0.064606205583712 0.136402987091385
"30" "CAG-352" 0 0 0.00649395022515204 0.0306465327973188
"31" "CAG-56" 0 0 0.019171359275431 0.0886923575958095
"32" "Caldicoprobacter" 0.00564607348260038 0.014055559195392 0.00366151884037298 0.0110306026554966
"33" "Campylobacter" 0.0526015888068158 0.0601784051547553 0 0
"34" "Candidatus Soleaferrea" 0.0928244424986504 0.0347656492674104 0.109593352752583 0.125982749934426
