"Row.names" "mean_wild" "sd_wild" "mean_captive" "sd_captive"
"1" "[Eubacterium] brachy group" 0.0132802124833997 0.0419957192585442 0 0
"2" "Acidovorax" 0.0752823086574655 0.238063562873404 0 0
"3" "Actinobacillus" 13.7847716257108 11.8741392221011 24.8536427574016 28.4363211254676
"4" "Angelakisella" 0.100732600732601 0.318544452947364 0.271977370043341 0.692792100026326
"5" "Arcobacter" 0.604514918576913 1.59199119504243 0 0
"6" "Bacteroides" 0.561472456933255 1.50001945863104 0.25065278525382 0.789207909165853
"7" "Campylobacter" 3.48135588544468 5.58685512158594 0 0
"8" "Candidatus Arthromitus" 0 0 0.249997346842918 0.499733263813665
"9" "Cetobacterium" 23.9941010926122 28.2040852331383 25.8150924353892 34.74657185677
"10" "Cloacibacterium" 0.0376411543287327 0.119031781436702 0 0
"11" "Clostridium sensu stricto 1" 8.54058528231573 15.0953099023915 2.70200334553677 6.20097541394462
"12" "Clostridium sensu stricto 13" 0 0 0.0345624608472123 0.124616724790841
"13" "Erysipelatoclostridium" 0 0 0.018807598269701 0.0678117599297346
"14" "Escherichia-Shigella" 0.269116375231483 0.444697367663457 3.88778581950938 14.0176111202629
"15" "Fusibacter" 0.0398406374501992 0.125987157775633 0 0
"16" "Fusobacterium" 1.53898910697957 2.74587735247011 0.808783785676563 2.03463775531603
"17" "Helicobacter" 0.0318181818181818 0.100617925550812 0.11213276519399 0.404300434566494
"18" "HIMB11" 0.06900878293601 0.218224932633953 0 0
"19" "Ilumatobacter" 0 0 0.0448531060775959 0.161720173826597
"20" "Labrenzia" 0 0 0.0165141856855038 0.0595427432616175
"21" "Lactobacillus" 0 0 0.0213024607251344 0.055022822402769
"22" "Marinifilum" 0.0398406374501992 0.125987157775633 0 0
"23" "Maritimimonas" 0.331125426762193 0.898389377442994 0 0
"24" "Mesonia" 0.0188205771643664 0.0595158907183509 0 0
"25" "Morganella" 0.146520146520146 0.463337386105257 0 0
"26" "Oceanivirga" 0.258964143426295 0.818916525541612 0 0
"27" "Paeniclostridium" 1.05151789718679 2.0398304353636 2.18294963208776 3.88945105612434
"28" "Paraclostridium" 10.445041388892 15.0115655271013 0.0557387985560825 0.137439714921745
"29" "Parvimonas" 0.396940052421014 1.16972448638213 0 0
"30" "Peptoclostridium" 0 0 0.0394174106702931 0.142121495317763
"31" "Peptoniphilus" 0.106241699867198 0.335965754068354 0 0
"32" "Peptostreptococcus" 0.204711961464847 0.591637727608912 0 0
"33" "Phocoenobacter" 5.17414080374204 11.0175195953988 26.7401747013228 37.8020666808176
"34" "Photobacterium" 17.0674698392563 26.9113841763072 0.767745159568685 2.37486561965382
"35" "Porphyromonas" 0.259196823009826 0.563534088051922 0 0
"36" "Pseudoalteromonas" 1.42376206793382 2.78065705384205 0 0
"37" "Psychrobacter" 1.82170136032717 3.87515157014608 0.0356425377486877 0.128510997440554
"38" "Pusillimonas" 0.205843293492696 0.650933648507435 0 0
"39" "Romboutsia" 0.231685026025905 0.494206710029073 4.3583820597237 13.6153151493453
"40" "Ruegeria" 0 0 0.0134559318232788 0.0485160521479792
"41" "Sarcina" 0.131172859652683 0.336918044715307 0 0
"42" "Sedimentitalea" 0 0 0.126282003938176 0.374343053906591
"43" "Sediminispirochaeta" 0.138342489514964 0.376029508538064 0 0
"44" "Shewanella" 0.0110041265474553 0.0347981035506837 0 0
"45" "Streptobacillus" 0.0531208499335989 0.167982877034177 0 0
"46" "Tenacibaculum" 0.53179937305403 1.34453337312177 0.00648046140885231 0.0233656358982826
"47" "Terrisporobacter" 0 0 0.0118808459162292 0.0428369991468514
"48" "Thalassobius" 0 0 0.0403677954698363 0.145548156443938
"49" "Tyzzerella 3" 0.106241699867198 0.335965754068354 1.46584753245722 3.45112987160831
"50" "Ureaplasma" 1.05924274462168 2.32120423450126 0.0048409740039696 0.0174543799945006
"51" "Vibrio" 5.64304208965439 12.9413265678196 5.06268593285168 18.253773722467
