"W" "Pvalue"
"Clostridium sensu stricto 1" 0.577487583943826 3.91957749377677e-08
"Escherichia-Shigella" 0.62316291968305 1.41648146018615e-07
"Pseudomonas" 0.904116642453775 0.010605886568281
"Streptococcus" 0.279470387675359 4.75723587527932e-11
"Terrisporobacter" 0.425152329283826 9.42535827231075e-10
"Turicibacter" 0.405620092036091 6.14160270160976e-10
"Actinobacillus" 0.179615252483381 7.76637672584594e-12
"Campylobacter" 0.179615252483381 7.76637672584594e-12
"Enterobacter" 0.418510091790778 8.13895445505082e-10
"Enterococcus" 0.344049051888773 1.68947593063035e-10
"Fimbriiglobus" 0.179615252483381 7.76637672584594e-12
"Lactobacillus" 0.197261139592938 1.05737579601674e-11
"Pedobacter" 0.671428952357048 6.14720542697486e-07
"Sarcina" 0.545992905346263 1.70032820274787e-08
"Veillonella" 0.179615252483381 7.76637672584594e-12
"Psychrobacter" 0.179615252483381 7.76637672584594e-12
"Anaerosporobacter" 0.281018667505282 4.89939867694597e-11
"Bacillus" 0.318391964925006 1.01108850450662e-10
"Caryophanon" 0.404399212832354 5.98125732355775e-10
"Cellulosilyticum" 0.231230108693303 1.94156739508753e-11
"Devosia" 0.32701268878452 1.19963821177695e-10
"Flavobacterium" 0.729881367072875 4.37858356105118e-06
"Gemmobacter" 0.333525694832225 1.36643904267114e-10
"Lysinibacillus" 0.557549697102823 2.29979694971766e-08
"Paenibacillus" 0.295914633240511 6.51874068291386e-11
"Pseudarthrobacter" 0.383090765265148 3.79128681109321e-10
"Rhodobacter" 0.273959853704178 4.28542985775719e-11
"1174-901-12" 0.429630330912273 1.04121964590528e-09
"Labrys" 0.179615252483381 7.76637672584594e-12
"Methylobacterium" 0.179615252483381 7.76637672584594e-12
"Acinetobacter" 0.517207626371861 8.1845663364649e-09
"Algoriella" 0.23970415171691 2.26600981428225e-11
"Leuconostoc" 0.313440305755952 9.17120862999013e-11
"Shinella" 0.179615252483381 7.76637672584594e-12
"Cetobacterium" 0.179615252483381 7.76637672584594e-12
"Comamonas" 0.53163887128641 1.17653127406888e-08
"Hafnia-Obesumbacterium" 0.606096600734755 8.66933373381567e-08
"Ochrobactrum" 0.327836837939783 1.21950601366951e-10
"Serratia" 0.667948124262947 5.50632127470582e-07
"Arthrobacter" 0.502142564127723 5.64570771672556e-09
"Carnobacterium" 0.47495566892459 2.94182509418586e-09
"Paenisporosarcina" 0.222056482499261 1.64469016421469e-11
"Sanguibacter" 0.506320464301221 6.25345425303363e-09
"Sphingobacterium" 0.620450242215828 1.30894323721473e-07
"Stenotrophomonas" 0.356332341698093 2.17079174785204e-10
"Subtercola" 0.481846759193046 3.46290677506528e-09
"Achromobacter" 0.266962236184962 3.75609571547924e-11
