"W" "Pvalue"
"[Eubacterium] coprostanoligenes group" 0.923516223942092 0.531038960021527
"[Eubacterium] oxidoreducens group" 0.765141266791652 0.0279081992969601
"[Eubacterium] xylanophilum group" 0.686376006934657 0.00442740612928511
"Acetivibrio" 0.692832926159346 0.00519032661030551
"Acidaminococcus" 0.862215204065273 0.196896411836018
"Agathobacter" 0.496094403311629 2.07292443849816e-05
"Alistipes" 0.951986096884049 0.756332469199797
"Anaerocolumna" 0.943701056766574 0.689138825151276
"Anaerosporobacter" 0.945271629281693 0.701891831030696
"Anaerovorax" 0.788954616880812 0.0466453045278981
"Bacillus" 0.850478338004623 0.158813058628552
"Bacteroides" 0.496094403311629 2.07292443849816e-05
"Blautia" 0.692735994464472 0.0051780087846435
"Butyrivibrio" 0.496094403311629 2.07292443849816e-05
"Campylobacter" 0.520902975597718 4.51707624764365e-05
"Candidatus Soleaferrea" 0.82796429931903 0.103295362386351
"Cellulosilyticum" 0.966607502799434 0.86891980930637
"Christensenellaceae R-7 group" 0.79724022480263 0.05550010393822
"Clostridium sensu stricto 1" 0.890427035823489 0.320431340705458
"Erysipelotrichaceae UCG-004" 0.565876004685061 0.000173859375366446
"Faecalibacterium" 0.650179163427721 0.00176801243359445
"Fibrobacter" 0.805526061843708 0.0658639058994487
"Hydrogenoanaerobacterium" 0.9628517339382 0.841426794729745
"Lachnoclostridium" 0.808189378919469 0.069550760193733
"Lachnoclostridium 10" 0.766026594096892 0.0284567153519582
"Lachnoclostridium 5" 0.918799305054083 0.496755447708954
"Lachnospira" 0.559255139170206 0.000143287215790963
"Lachnospiraceae AC2044 group" 0.835655905966768 0.119947720339715
"Lachnospiraceae NC2004 group" 0.693801050607928 0.00531487841991019
"Lachnospiraceae NK4A136 group" 0.614612797943234 0.000685918222256275
"Lachnospiraceae UCG-004" 0.674735711217354 0.00331207017963642
"Lachnospiraceae UCG-007" 0.839856208651573 0.130007719357204
"Lachnospiraceae UCG-009" 0.71914857689084 0.00977583254584054
"Methanocorpusculum" 0.801385526452345 0.0604832837671232
"Oscillibacter" 0.729308300454331 0.0124033428212815
"Papillibacter" 0.743041215518997 0.0170145393523019
"Pseudomonas" 0.496094403311629 2.07292443849816e-05
"Pyramidobacter" 0.789534433357941 0.0472200841168721
"Roseburia" 0.496094403311629 2.07292443849816e-05
"Ruminiclostridium" 0.836630561851127 0.122218859127512
"Ruminiclostridium 1" 0.645524444055232 0.00156595143577761
"Ruminiclostridium 6" 0.76822078379584 0.0298594655181661
"Ruminiclostridium 9" 0.496094403311629 2.07292443849816e-05
"Ruminococcaceae NK4A214 group" 0.88962368348138 0.316220748676867
"Ruminococcaceae UCG-002" 0.922281966060274 0.521946335845518
"Ruminococcaceae UCG-005" 0.90793333460608 0.422940295950867
"Ruminococcaceae UCG-008" 0.651625101427064 0.00183565400687738
"Ruminococcaceae UCG-010" 0.898659716874725 0.366068300426088
"Ruminococcaceae UCG-013" 0.886236306967773 0.298934762583067
"Ruminococcaceae UCG-014" 0.83872342683549 0.127224099844769
"Ruminococcus 1" 0.70857136454382 0.00760116895995881
"S5-A14a" 0.848898917378951 0.154207309877637
"Terrisporobacter" 0.929637592535332 0.577306086046631
"DMER64" 0.741178447501254 0.0163066868429336
"Acinetobacter" 0.524714646837976 5.07972527740121e-05
"Anaerofustis" 0.496094403311629 2.07292443849816e-05
"Comamonas" 0.496094403311629 2.07292443849816e-05
"Desulfovibrio" 0.864287164968463 0.204366712848297
"[Eubacterium] ventriosum group" 0.496094403311629 2.07292443849816e-05
"Anaerostipes" 0.496094403311629 2.07292443849816e-05
"Citrobacter" 0.496094403311629 2.07292443849816e-05
"Clostridium sensu stricto 3" 0.646550022438911 0.00160849505366832
"Enterobacter" 0.61796858964053 0.000751471629185038
"Escherichia-Shigella" 0.718887793723767 0.00971582527803599
"Hespellia" 0.674971857181231 0.00333178450827161
"Oscillospira" 0.557193186698297 0.000134864895708208
"Parabacteroides" 0.496094403311629 2.07292443849816e-05
"Family XIII UCG-001" 0.784928984695374 0.0428282127564899
"Mobilitalea" 0.496094403311629 2.07292443849816e-05
"Subdoligranulum" 0.884682258145094 0.291255470834394
"28-4" 0.636925204504525 0.00124891380272912
"Acidibacter" 0.496094403311629 2.07292443849816e-05
"Actinomycetospora" 0.496094403311629 2.07292443849816e-05
"Aeromicrobium" 0.496094403311629 2.07292443849816e-05
"Agromyces" 0.685797382127676 0.00436447031990826
"Akkermansia" 0.559623153406614 0.00014484228928846
"Alkanindiges" 0.496094403311629 2.07292443849816e-05
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium" 0.496094403311629 2.07292443849816e-05
"Altererythrobacter" 0.640082795531621 0.00135749997515683
"Amaricoccus" 0.631119123712291 0.00107041898057948
"Anseongella" 0.496094403311629 2.07292443849816e-05
"Antricoccus" 0.496094403311629 2.07292443849816e-05
"Arenimonas" 0.496094403311629 2.07292443849816e-05
"Arthrobacter" 0.70533324493149 0.00703223443860757
"Austwickia" 0.496094403311629 2.07292443849816e-05
"Bergeyella" 0.496094403311629 2.07292443849816e-05
"Bilophila" 0.496094403311629 2.07292443849816e-05
"Brachybacterium" 0.704233648494621 0.00684832535598315
"Brevibacterium" 0.646645478561039 0.00161251009664439
"Brevundimonas" 0.663302878170278 0.00247920961709668
"Calidifontibacter" 0.496094403311629 2.07292443849816e-05
"Cellulomonas" 0.496094403311629 2.07292443849816e-05
"Chelatococcus" 0.496094403311629 2.07292443849816e-05
"Chryseobacterium" 0.816889030985742 0.0829317353862595
"Citricoccus" 0.690601467472718 0.00491364392179386
"CL500-29 marine group" 0.496094403311629 2.07292443849816e-05
"Coprococcus 2" 0.750424516442213 0.0201117163903478
"Corynebacterium" 0.806017360921788 0.0665303836578371
"Deinococcus" 0.623139638882251 0.000864269986665731
"Demequina" 0.701222554140072 0.00636760791959216
"Dermacoccus" 0.496094403311629 2.07292443849816e-05
"Dermatophilus" 0.721359217021939 0.0102986593963739
"Desulfobulbus" 0.496094403311629 2.07292443849816e-05
"Dietzia" 0.811135134669575 0.0738454901092764
"Enterobacillus" 0.496094403311629 2.07292443849816e-05
"Erysipelatoclostridium" 0.699491770146028 0.00610585757490046
"Erysipelothrix" 0.82111495159201 0.0902329776267943
"Erythrobacter" 0.496094403311629 2.07292443849816e-05
"Family XIII AD3011 group" 0.683553354711573 0.004128289414414
"Fastidiosipila" 0.524199570276816 4.99995422100478e-05
"Ferruginibacter" 0.496094403311629 2.07292443849816e-05
"Fluviicola" 0.679228294855616 0.00370671691249302
"Fusobacterium" 0.631289820483141 0.00107530185484619
"Gallicola" 0.522715213762653 4.77671509239972e-05
"Gloeocapsa PCC-7428" 0.496094403311629 2.07292443849816e-05
"Glycomyces" 0.496094403311629 2.07292443849816e-05
"Gordonia" 0.807339003842051 0.0683537449413507
"H1" 0.67631983596252 0.00344645917418936
"Haoranjiania" 0.805156109288684 0.0653660472217399
"Hyphomicrobium" 0.55620434101324 0.000130995574804313
"Iamia" 0.546811302993913 9.91597936881438e-05
"Ilumatobacter" 0.550699610964071 0.000111320417195021
"Intestinibacter" 0.886581554621834 0.30066213362151
"Intrasporangium" 0.496094403311629 2.07292443849816e-05
"Isoptericola" 0.625512944444789 0.000921266327606391
"Janibacter" 0.713255174165666 0.00850109843693764
"Kineosphaera" 0.496094403311629 2.07292443849816e-05
"Knoellia" 0.783127333894627 0.0412146401238162
"Kribbia" 0.65621309887933 0.00206689208969124
"Kushneria" 0.496094403311629 2.07292443849816e-05
"Kytococcus" 0.700465862734211 0.00625189812625702
"Lachnoclostridium 12" 0.687155912481878 0.00451359080359427
"Lachnospiraceae UCG-006" 0.496094403311629 2.07292443849816e-05
"Limnobacter" 0.657442162456547 0.00213337323763942
"Luteimonas" 0.618229865818116 0.000756818046964062
