"W" "Pvalue"
"Aeromonas" 0.700018200875799 0.000468008745677828
"Cetobacterium" 0.564382075263384 9.21925119778213e-06
"Plesiomonas" 0.454980202281739 4.37980423681548e-07
"Shewanella" 0.669327155103787 0.000189500302804005
"Clostridium sensu stricto 1" 0.444109798091183 3.25273045170047e-07
"Romboutsia" 0.344991205115848 2.24340190161219e-08
"Vibrio" 0.512977447542142 2.17555026429654e-06
"Arthrospira PCC-7345" 0.344991205115848 2.24340190161219e-08
"Cyanobium PCC-6307" 0.793495521997799 0.00772462017438672
"Pseudomonas" 0.344991205115848 2.24340190161219e-08
"Rubribacterium" 0.623457367875533 4.9906713279361e-05
"C39" 0.505399199350003 1.7617447299711e-06
"Desulfomicrobium" 0.344991205115848 2.24340190161219e-08
"Desulfopila" 0.344991205115848 2.24340190161219e-08
"Desulforhopalus" 0.505212511278939 1.75262256256326e-06
"Dinghuibacter" 0.488995108926982 1.11765214633266e-06
"Lamprocystis" 0.411829155892433 1.35140003565651e-07
"Luteolibacter" 0.621216686517237 4.67820722766721e-05
"Phreatobacter" 0.344991205115848 2.24340190161219e-08
"Planococcus" 0.502229108728375 1.61315282363119e-06
"Tabrizicola" 0.593772339359743 2.12732701100397e-05
"Terrimicrobium" 0.384473830497173 6.45697236068446e-08
"Thiocapsa" 0.485213728436792 1.0066592436623e-06
"Tropicimonas" 0.613985869978471 3.79845605331246e-05
"Arcobacter" 0.344991205115848 2.24340190161219e-08
"Candidatus Aquiluna" 0.344991205115848 2.24340190161219e-08
"Hydrogenophaga" 0.344991205115848 2.24340190161219e-08
"Limnohabitans" 0.344991205115848 2.24340190161219e-08
"MWH-UniP1 aquatic group" 0.344991205115848 2.24340190161219e-08
"Polynucleobacter" 0.344991205115848 2.24340190161219e-08
"Rheinheimera" 0.344991205115848 2.24340190161219e-08
"Rubellimicrobium" 0.489318120687797 1.12768854576162e-06
"Candidatus Chloroploca" 0.497046986435667 1.3970016162295e-06
"Chitinibacter" 0.344991205115848 2.24340190161219e-08
"Bdellovibrio" 0.344991205115848 2.24340190161219e-08
"Candidatus Competibacter" 0.629171646329696 5.88658075455776e-05
"Candidatus Contendobacter" 0.625861565751668 5.34947104782687e-05
"Corynebacterium 1" 0.479135194267456 8.51073735567804e-07
"Defluviicoccus" 0.626878153671282 5.50893262656887e-05
"Desulfobacterium" 0.627921646781373 5.67761814911736e-05
"Halochromatium" 0.591124791045416 1.97233388664927e-05
"Hyphomicrobium" 0.435663870316519 2.58299321796364e-07
"Ilumatobacter" 0.374616920655992 4.95442519364216e-08
"Sandaracinobacter" 0.622083098353863 4.79661192232565e-05
"Spirulina CCC Snake P-Y-85" 0.420979275803532 1.73212844368788e-07
"Sva0081 sediment group" 0.596174946444842 2.27862622830756e-05
"Synechococcus MBIC10613" 0.559167915807649 7.95474739743997e-06
"Thiohalocapsa" 0.578200628802712 1.364604229581e-05
"966-1" 0.344991205115848 2.24340190161219e-08
"Candidatus Accumulibacter" 0.344991205115848 2.24340190161219e-08
"Candidatus Alysiosphaera" 0.509704366697256 1.98595776687012e-06
"Candidatus Thiosymbion" 0.344991205115848 2.24340190161219e-08
"Desulfatiglans" 0.455142313425932 4.39930929237073e-07
"Desulfobacca" 0.344991205115848 2.24340190161219e-08
"Desulfovirga" 0.508396305276807 1.91494069540814e-06
"Falsirhodobacter" 0.344991205115848 2.24340190161219e-08
"Merismopedia 0BB39S01" 0.344991205115848 2.24340190161219e-08
"Methanobacterium" 0.344991205115848 2.24340190161219e-08
"Methylocaldum" 0.616966230974236 4.13877029310549e-05
"Methyloceanibacter" 0.344991205115848 2.24340190161219e-08
"Microcystis PCC-7914" 0.567385507330437 1.00380317192176e-05
"Pannonibacter" 0.344991205115848 2.24340190161219e-08
"Phormidium IAM M-71" 0.578835154945939 1.38945739436188e-05
"Porphyrobacter" 0.478464635357535 8.35470757078563e-07
"Pseudohoeflea" 0.344991205115848 2.24340190161219e-08
"Rhodobacter" 0.506823811275048 1.8329547837847e-06
"Rhodopirellula" 0.344991205115848 2.24340190161219e-08
"Roseivivax" 0.344991205115848 2.24340190161219e-08
"Roseomonas" 0.545897858225699 5.47070307098315e-06
