"W" "Pvalue"
"[Eubacterium] coprostanoligenes group" 0.696919311139426 0.001306417337396
"Acetitomaculum" 0.679356798629059 0.000814335459645367
"Akkermansia" 0.76493125955859 0.00807222048183053
"Alistipes" 0.935245992437423 0.532838554633086
"Anaerosporobacter" 0.389841297787206 3.21749285541393e-07
"Bacteroides" 0.658047794399092 0.00045856995495957
"Butyrivibrio" 0.389841297787206 3.21749285541393e-07
"Candidatus Soleaferrea" 0.82053105998623 0.0349372521193845
"Clostridium sensu stricto 1" 0.703427515619205 0.00155623724292667
"Coprococcus 3" 0.775793160159846 0.0107730276275963
"Escherichia-Shigella" 0.701120423626408 0.00146265547080267
"Family XIII AD3011 group" 0.892136960015209 0.20985160114955
"Lachnoclostridium 10" 0.689543769053496 0.00107129162547868
"Lachnospiraceae FCS020 group" 0.584827281451162 6.34897854783525e-05
"Lachnospiraceae NK4A136 group" 0.591386648319514 7.58069960900193e-05
"Lachnospiraceae UCG-004" 0.389841297787206 3.21749285541393e-07
"Lachnospiraceae UCG-008" 0.389841297787206 3.21749285541393e-07
"Lachnospiraceae UCG-010" 0.795202668833503 0.0179987082820627
"Lysinibacillus" 0.758073874361516 0.00672476604666094
"Mailhella" 0.544121079371501 2.11129105397253e-05
"Methanobrevibacter" 0.71995170025893 0.00242545918295949
"Oscillospira" 0.653246552819312 0.00040287659691708
"Paeniclostridium" 0.430720363679681 9.76935287109777e-07
"Parasutterella" 0.859305236432845 0.0942292885478128
"Phascolarctobacterium" 0.389841297787206 3.21749285541393e-07
"Prevotella 1" 0.389841297787206 3.21749285541393e-07
"Prevotellaceae UCG-003" 0.688528737246268 0.00104242356739949
"Prevotellaceae UCG-004" 0.818194592581887 0.0328764971031196
"Rikenellaceae RC9 gut group" 0.733811779297389 0.00351670664401381
"Romboutsia" 0.694319283286085 0.00121817558869264
"Roseburia" 0.840406130333299 0.0583582385438113
"Ruminiclostridium" 0.636358619128857 0.000255433422190647
"Ruminiclostridium 1" 0.598696829949399 9.23663002929945e-05
"Ruminobacter" 0.532824091888128 1.5551304540618e-05
"Ruminococcaceae NK4A214 group" 0.463539311171676 2.38004370567361e-06
"Ruminococcaceae UCG-002" 0.389841297787206 3.21749285541393e-07
"Ruminococcaceae UCG-004" 0.389841297787206 3.21749285541393e-07
"Ruminococcaceae UCG-005" 0.915047903015411 0.352819659890589
"Ruminococcaceae UCG-009" 0.860586981841393 0.097303703471926
"Ruminococcaceae UCG-010" 0.89323431231821 0.215334821495796
"Ruminococcaceae UCG-013" 0.89563121735775 0.227752357633427
"Ruminococcaceae UCG-014" 0.615076235889488 0.000143782277967792
"Ruminococcus 2" 0.389841297787206 3.21749285541393e-07
"Treponema 2" 0.878380008987497 0.150967956443719
"Turicibacter" 0.389841297787206 3.21749285541393e-07
"Tyzzerella 4" 0.476845446599122 3.41397921613896e-06
"[Eubacterium] nodatum group" 0.555969045180975 2.90916074790316e-05
"Agathobacter" 0.849054138280916 0.0727541519115752
"Anaeroplasma" 0.808705595374744 0.0256612391294962
"Bacillus" 0.853958890910843 0.0823711641614881
"Christensenellaceae R-7 group" 0.768420569041617 0.00885727096404603
"dgA-11 gut group" 0.662249708107988 0.000513580320015043
"Ruminococcus 1" 0.569793342229597 4.22825780501324e-05
"Saccharofermentans" 0.389841297787206 3.21749285541393e-07
"Succinivibrio" 0.389841297787206 3.21749285541393e-07
"Alloprevotella" 0.794031483645519 0.0174516669381944
"Prevotellaceae UCG-001" 0.389841297787206 3.21749285541393e-07
"[Eubacterium] brachy group" 0.565390098755755 3.7535515666382e-05
"[Ruminococcus] gauvreauii group" 0.553822330903833 2.7450204821977e-05
"Coprococcus 1" 0.389841297787206 3.21749285541393e-07
"Gordonibacter" 0.389841297787206 3.21749285541393e-07
"Lachnospiraceae NK3A20 group" 0.729839754775564 0.0031617759616826
"Mogibacterium" 0.389841297787206 3.21749285541393e-07
"Negativibacillus" 0.680332289191995 0.000836011822249173
"Ruminiclostridium 5" 0.389841297787206 3.21749285541393e-07
"Prevotellaceae Ga6A1 group" 0.389841297787206 3.21749285541393e-07
"[Eubacterium] ventriosum group" 0.552135437822525 2.62255795962582e-05
"[Ruminococcus] torques group" 0.547030074925358 2.28419851195483e-05
"Comamonas" 0.389841297787206 3.21749285541393e-07
"Dorea" 0.896990093062103 0.235066926456129
"Elusimicrobium" 0.389841297787206 3.21749285541393e-07
"Erysipelotrichaceae UCG-004" 0.503357742901161 7.00258039524458e-06
"Fibrobacter" 0.389841297787206 3.21749285541393e-07
"Lachnospiraceae AC2044 group" 0.668041240309128 0.000600352798352014
"Lachnospiraceae UCG-001" 0.570752511238274 4.33937147236512e-05
"Ruminiclostridium 6" 0.389841297787206 3.21749285541393e-07
"Ruminiclostridium 9" 0.389841297787206 3.21749285541393e-07
"XBB1006" 0.389841297787206 3.21749285541393e-07
"Cellulosilyticum" 0.389841297787206 3.21749285541393e-07
"Papillibacter" 0.389841297787206 3.21749285541393e-07
"Terrisporobacter" 0.551610365919693 2.58556521673979e-05
"[Eubacterium] ruminantium group" 0.673390597562405 0.000693438691239034
"Lactobacillus" 0.389841297787206 3.21749285541393e-07
"Faecalitalea" 0.516035226589859 9.87119150838376e-06
"Methanosphaera" 0.673637937693472 0.000698075026232425
"Solibacillus" 0.89420623080057 0.220296397892334
"[Eubacterium] oxidoreducens group" 0.389841297787206 3.21749285541393e-07
"Acidicaldus" 0.389841297787206 3.21749285541393e-07
"Acidothermus" 0.389841297787206 3.21749285541393e-07
"Actinobacillus" 0.389841297787206 3.21749285541393e-07
"Actinospica" 0.389841297787206 3.21749285541393e-07
"Alcanivorax" 0.389841297787206 3.21749285541393e-07
"Anaerovorax" 0.389841297787206 3.21749285541393e-07
"Ascidiaceihabitans" 0.389841297787206 3.21749285541393e-07
"Brachybacterium" 0.389841297787206 3.21749285541393e-07
"Brevibacterium" 0.389841297787206 3.21749285541393e-07
"Bryobacter" 0.389841297787206 3.21749285541393e-07
"Butyrivibrio 2" 0.389841297787206 3.21749285541393e-07
"Cloacibacterium" 0.389841297787206 3.21749285541393e-07
"Corynebacterium 1" 0.389841297787206 3.21749285541393e-07
"Cutibacterium" 0.389841297787206 3.21749285541393e-07
"Dehalogenimonas" 0.389841297787206 3.21749285541393e-07
"Delftia" 0.570526116915761 4.31288489862658e-05
"Enhydrobacter" 0.389841297787206 3.21749285541393e-07
"Enterobacter" 0.389841297787206 3.21749285541393e-07
"Erythrobacter" 0.389841297787206 3.21749285541393e-07
"Exiguobacterium" 0.389841297787206 3.21749285541393e-07
"Formosa" 0.389841297787206 3.21749285541393e-07
"Halomonas" 0.560887686485328 3.32317297252038e-05
"Hyphomonas" 0.389841297787206 3.21749285541393e-07
"Lachnospiraceae NC2004 group" 0.389841297787206 3.21749285541393e-07
"Lachnospiraceae ND3007 group" 0.389841297787206 3.21749285541393e-07
"Lachnospiraceae UCG-006" 0.389841297787206 3.21749285541393e-07
"Leisingera" 0.389841297787206 3.21749285541393e-07
"Mesoflavibacter" 0.389841297787206 3.21749285541393e-07
"Methylobacterium" 0.389841297787206 3.21749285541393e-07
"Micrococcus" 0.389841297787206 3.21749285541393e-07
"Nautella" 0.389841297787206 3.21749285541393e-07
"Oceanobacterium" 0.389841297787206 3.21749285541393e-07
"Oleibacter" 0.404164092494975 4.74906616279184e-07
"Oribacterium" 0.389841297787206 3.21749285541393e-07
"probable genus 10" 0.389841297787206 3.21749285541393e-07
"Pseudomonas" 0.566908068343084 3.91086276020388e-05
"Ralstonia" 0.389841297787206 3.21749285541393e-07
"Roseobacter clade CHAB-I-5 lineage" 0.389841297787206 3.21749285541393e-07
"Roseovarius" 0.389841297787206 3.21749285541393e-07
"Ruegeria" 0.389841297787206 3.21749285541393e-07
"Ruminococcaceae UCG-012" 0.389841297787206 3.21749285541393e-07
"Ruminococcaceae V9D2013 group" 0.389841297787206 3.21749285541393e-07
"Sediminispirochaeta" 0.389841297787206 3.21749285541393e-07
"Sphaerochaeta" 0.389841297787206 3.21749285541393e-07
"Sphingomonas" 0.389841297787206 3.21749285541393e-07
