"W" "Pvalue"
"[Acetivibrio] ethanolgignens group" 0.618332769371497 0.000445734339956809
"[Anaerorhabdus] furcosa group" 0.922790084815881 0.491379190471505
"[Eubacterium] coprostanoligenes group" 0.868315732133413 0.179423159883055
"[Eubacterium] nodatum group" 0.920999706454688 0.477199311119672
"[Eubacterium] oxidoreducens group" 0.836904823437142 0.0929556586564853
"[Eubacterium] ruminantium group" 0.852106114922347 0.128463945061986
"[Eubacterium] ventriosum group" 0.578383414074465 0.000150962495216951
"[Ruminococcus] torques group" 0.884394415434245 0.246679759952141
"Acetitomaculum" 0.552157911555221 7.29562590792974e-05
"Agathobacter" 0.642581614014454 0.000847391442975765
"Akkermansia" 0.715276361771131 0.00542963651508396
"Alistipes" 0.845148633040067 0.110909353565807
"Alloprevotella" 0.68205474203368 0.00235376880485214
"Anaerosporobacter" 0.645215267883021 0.00090801673810265
"Anaerovibrio" 0.84797768510685 0.117766009995304
"Anaerovorax" 0.938517748875545 0.625407566149713
"Bacteroides" 0.884065461904568 0.245114325364722
"Blautia" 0.948971574277195 0.720328222042929
"Butyrivibrio" 0.807772801473634 0.048855673893374
"Candidatus Soleaferrea" 0.966574891124177 0.872747069637244
"Cerasicoccus" 0.772886850920377 0.0218677375490769
"Christensenellaceae R-7 group" 0.815351365089748 0.0579096894051562
"Clostridium sensu stricto 1" 0.792847158012875 0.0347799621418269
"Coprococcus 2" 0.499773242935558 1.64112669325429e-05
"Coprococcus 3" 0.975997918544569 0.937955081332924
"Defluviitaleaceae UCG-011" 0.931007925531339 0.559504337832441
"dgA-11 gut group" 0.892767494382189 0.289412829364722
"Dorea" 0.961116653522848 0.828256027724412
"Family XIII AD3011 group" 0.977302976544266 0.945453404887093
"Hydrogenoanaerobacterium" 0.90866282334183 0.386692494198556
"Intestinimonas" 0.84454038940057 0.109483544618293
"Lachnoclostridium" 0.656041047240101 0.00120460095432591
"Lachnoclostridium 10" 0.718786719220826 0.00592312397105733
"Lachnospiraceae AC2044 group" 0.79458126280991 0.0361924382073679
"Lachnospiraceae FCS020 group" 0.930380871495163 0.554143560700028
"Lachnospiraceae NC2004 group" 0.775241180952211 0.0231104320424359
"Lachnospiraceae NK4A136 group" 0.830622639779708 0.0811132846943197
"Lachnospiraceae UCG-008" 0.914327963021955 0.426651702053973
"Lachnospiraceae UCG-010" 0.967452394546975 0.879517745698339
"Mailhella" 0.885728965915139 0.253116821329655
"Negativibacillus" 0.919757629510779 0.46751154549215
"Oscillibacter" 0.965999749604692 0.868245447631067
"Oscillospira" 0.944892146691295 0.683099349387911
"p-1088-a5 gut group" 0.744867202842649 0.0112105832668838
"Paeniclostridium" 0.907728716978561 0.3803709479282
"Papillibacter" 0.799135253985701 0.0401648163956344
"Parasutterella" 0.45297098814988 4.13561209143951e-06
"Phascolarctobacterium" 0.882115079856405 0.236003346601822
"Prevotella 1" 0.628310511911099 0.000581391057007692
"Prevotellaceae UCG-001" 0.939683437098717 0.635870285694823
"Prevotellaceae UCG-003" 0.957275499072126 0.795048464706221
"Prevotellaceae UCG-004" 0.853404728970319 0.132006338754198
"Pygmaiobacter" 0.45297098814988 4.13561209143951e-06
"Rikenellaceae RC9 gut group" 0.938531654629033 0.625532078159907
"Romboutsia" 0.771133902492254 0.0209841720302252
"Roseburia" 0.907469800325515 0.378632190263402
"Ruminiclostridium" 0.874260594847076 0.202166433464746
"Ruminiclostridium 1" 0.654377705567156 0.00115357789822896
"Ruminiclostridium 6" 0.809544013906441 0.0508440593001811
"Ruminiclostridium 9" 0.904406935425074 0.358506918678126
"Ruminobacter" 0.948245878366869 0.713708058928541
"Ruminococcaceae NK4A214 group" 0.943859498493815 0.67369067994965
"Ruminococcaceae UCG-002" 0.965372878924616 0.863283837859474
"Ruminococcaceae UCG-004" 0.969861262329307 0.897448148492485
"Ruminococcaceae UCG-005" 0.949782223910289 0.727716264805316
"Ruminococcaceae UCG-009" 0.954744083030208 0.772578310851514
"Ruminococcaceae UCG-010" 0.920898633769153 0.476406358215043
"Ruminococcaceae UCG-011" 0.781268159907262 0.0266058735136727
"Ruminococcaceae UCG-013" 0.877673558191206 0.216320280768499
"Ruminococcaceae UCG-014" 0.898161400959889 0.31999290725593
"Ruminococcus 1" 0.939859121263171 0.63745136653467
"Ruminococcus 2" 0.897092953972384 0.31374021723969
