"W" "Pvalue"
"Clostridium sensu stricto 1" 0.851058404873531 0.0976484522104382
"Clostridium sensu stricto 13" 0.925970403669993 0.480149125816902
"Intestinibacter" 0.923956762781289 0.462784083137049
"Lachnospiraceae UCG-007" 0.85049313617738 0.0963709219284065
"Terrisporobacter" 0.940202656522599 0.613075403810463
"[Eubacterium] fissicatena group" 0.735433937900004 0.00562958627230932
"Cellulosilyticum" 0.533330583091266 2.59258524705295e-05
"Clostridium sensu stricto 2" 0.418398446854919 1.04723131579123e-06
"Lachnoclostridium 12" 0.588102354595512 0.000115337084478007
"Ruminiclostridium" 0.730449668720509 0.004953302792432
"Sarcina" 0.541007249616514 3.20042184910934e-05
"[Eubacterium] ventriosum group" 0.418398446854919 1.04723131579123e-06
"Lachnoclostridium 10" 0.644719470438227 0.000526003904858691
"Turicibacter" 0.583658437445007 0.000102272659473648
"Anaerosporobacter" 0.548078622455507 3.88410457462758e-05
"Anaerostipes" 0.418398446854919 1.04723131579123e-06
"Bacteroides" 0.426953822806269 1.33465548972725e-06
"Burkholderia-Caballeronia-Paraburkholderia" 0.422512052701528 1.17684222004657e-06
"Clostridioides" 0.418398446854919 1.04723131579123e-06
"Epulopiscium" 0.542803840020286 3.36191048767217e-05
"Erysipelatoclostridium" 0.45027464620936 2.57730291055978e-06
"Hungatella" 0.418398446854919 1.04723131579123e-06
"Lachnoclostridium" 0.418398446854919 1.04723131579123e-06
"Lachnospira" 0.418398446854919 1.04723131579123e-06
"Oscillibacter" 0.603600633263499 0.000175190267804221
"Robinsoniella" 0.418398446854919 1.04723131579123e-06
"28-YEA-48" 0.418398446854919 1.04723131579123e-06
"Acinetobacter" 0.418398446854919 1.04723131579123e-06
"Altererythrobacter" 0.418398446854919 1.04723131579123e-06
"Asinibacterium" 0.418398446854919 1.04723131579123e-06
"Brevibacterium" 0.418398446854919 1.04723131579123e-06
"Cutibacterium" 0.418398446854919 1.04723131579123e-06
"Delftia" 0.418398446854919 1.04723131579123e-06
"Enhydrobacter" 0.418398446854919 1.04723131579123e-06
"Escherichia-Shigella" 0.418398446854919 1.04723131579123e-06
"Fusobacterium" 0.418398446854919 1.04723131579123e-06
"Hymenobacter" 0.418398446854919 1.04723131579123e-06
"Lactobacillus" 0.418398446854919 1.04723131579123e-06
"Mycobacterium" 0.418398446854919 1.04723131579123e-06
"Nocardioides" 0.418398446854919 1.04723131579123e-06
"Peptoniphilus" 0.418398446854919 1.04723131579123e-06
"Pseudomonas" 0.418398446854919 1.04723131579123e-06
"Psychrobacter" 0.418398446854919 1.04723131579123e-06
"Rubellimicrobium" 0.418398446854919 1.04723131579123e-06
"Saccharopolyspora" 0.418398446854919 1.04723131579123e-06
"Sphingomonas" 0.418398446854919 1.04723131579123e-06
"Sphingopyxis" 0.418398446854919 1.04723131579123e-06
"Staphylococcus" 0.418398446854919 1.04723131579123e-06
"Stenotrophomonas" 0.418398446854919 1.04723131579123e-06
"Terribacillus" 0.418398446854919 1.04723131579123e-06
"Variovorax" 0.418398446854919 1.04723131579123e-06
"Vulcaniibacterium" 0.418398446854919 1.04723131579123e-06
"Blautia" 0.418398446854919 1.04723131579123e-06
"Butyricicoccus" 0.418398446854919 1.04723131579123e-06
"Eggerthella" 0.418398446854919 1.04723131579123e-06
"Gordonibacter" 0.418398446854919 1.04723131579123e-06
"Oxalobacter" 0.418398446854919 1.04723131579123e-06
"Paraclostridium" 0.418398446854919 1.04723131579123e-06
"Romboutsia" 0.418398446854919 1.04723131579123e-06
