"W" "Pvalue"
"[Anaerorhabdus] furcosa group" 0.704842074395264 0.00694951859251123
"[Eubacterium] coprostanoligenes group" 0.881909085854468 0.277939189099687
"Akkermansia" 0.657426613526924 0.00213251967319683
"Alistipes" 0.943593128122673 0.68826313186774
"Alloprevotella" 0.496094403311629 2.07292443849816e-05
"Bacteroides" 0.888992164328264 0.312940781624326
"Candidatus Soleaferrea" 0.924038424413473 0.534910996964721
"Catenibacterium" 0.894305457308083 0.341364059476623
"Christensenellaceae R-7 group" 0.891253974458424 0.324810313229662
"Clostridium sensu stricto 1" 0.496094403311629 2.07292443849816e-05
"dgA-11 gut group" 0.979353004864713 0.948296753644305
"Family XIII AD3011 group" 0.914090956266969 0.46385185326699
"Helicobacter" 0.496094403311629 2.07292443849816e-05
"Lactobacillus" 0.820744551009556 0.0895707167760574
"Oscillibacter" 0.648775436477264 0.00170461101257996
"Oscillospira" 0.826006836133018 0.099400179764231
"Phascolarctobacterium" 0.77757321914589 0.0365855445498804
"Prevotellaceae Ga6A1 group" 0.648079595541641 0.0016739873327299
"Prevotellaceae UCG-003" 0.949915004866551 0.739593589428928
"Prevotellaceae UCG-004" 0.971622911769807 0.903153757338179
"Rikenellaceae RC9 gut group" 0.906774286852788 0.415517236470819
"Romboutsia" 0.703918599759765 0.00679647295407631
"Ruminococcaceae NK4A214 group" 0.920723462601936 0.510586808155637
"Ruminococcaceae UCG-002" 0.90088310710484 0.379176250834796
"Ruminococcaceae UCG-004" 0.818400797057844 0.0854803047361037
"Ruminococcaceae UCG-005" 0.86465551041632 0.20571940842183
"Ruminococcaceae UCG-009" 0.95859590397113 0.808856382363089
"Ruminococcaceae UCG-010" 0.85089009695232 0.160033153918243
"Ruminococcaceae UCG-013" 0.925941666246448 0.549145647535768
"Treponema 2" 0.496094403311629 2.07292443849816e-05
"Tyzzerella 4" 0.895209500093861 0.346388177983255
"Bacillus" 0.696748771638633 0.00571168407102196
"Prevotella 1" 0.858240903479634 0.183212310635201
"Roseburia" 0.496094403311629 2.07292443849816e-05
"Lachnospiraceae AC2044 group" 0.830515288901976 0.108575266823898
"Lachnospiraceae NK4A136 group" 0.792008834702975 0.04974664638761
"Ruminiclostridium 9" 0.496094403311629 2.07292443849816e-05
"Ruminococcaceae UCG-011" 0.496094403311629 2.07292443849816e-05
"Ruminococcus 1" 0.838179165840701 0.125905404825387
"Lysinibacillus" 0.673404591376911 0.00320298991307342
"Dorea" 0.496094403311629 2.07292443849816e-05
"Lachnoclostridium 10" 0.496094403311629 2.07292443849816e-05
"Lachnospiraceae UCG-010" 0.699882556355508 0.00616405592913299
"Prevotellaceae UCG-001" 0.496094403311629 2.07292443849816e-05
"Ruminococcaceae UCG-014" 0.963010278987689 0.842613786798482
"Solibacillus" 0.681274386133363 0.00390081458723857
"Odoribacter" 0.496094403311629 2.07292443849816e-05
"[Eubacterium] ruminantium group" 0.496094403311629 2.07292443849816e-05
"Ruminiclostridium 1" 0.496094403311629 2.07292443849816e-05
"Ruminococcaceae V9D2013 group" 0.496094403311629 2.07292443849816e-05
