"W" "Pvalue"
"[Eubacterium] coprostanoligenes group" 0.766528358205453 0.000530888096901436
"[Eubacterium] hallii group" 0.721439568615287 0.000143335202748814
"[Eubacterium] oxidoreducens group" 0.485426073556496 6.00568200828061e-07
"[Eubacterium] ruminantium group" 0.375123830270021 7.84850720347262e-08
"Akkermansia" 0.449818909663087 3.02876482620907e-07
"Alloprevotella" 0.637229020269479 1.62108273410115e-05
"Anaerovorax" 0.89618791854887 0.0493318133303076
"Candidatus Soleaferrea" 0.959291517386082 0.588009266634344
"Christensenellaceae R-7 group" 0.981798874813751 0.966645167177983
"Clostridium sensu stricto 1" 0.597752270984324 6.42885891602878e-06
"dgA-11 gut group" 0.940217033430672 0.292272397179571
"Erysipelotrichaceae UCG-004" 0.701984532893262 8.42174418656722e-05
"Family XIII AD3011 group" 0.902896972350952 0.0645525467650407
"Fibrobacter" 0.547380600641148 2.12599495065849e-06
"GCA-900066225" 0.877744527793808 0.0239254212552515
"hoa5-07d05 gut group" 0.736348515171462 0.00021826428290414
"Lachnoclostridium 10" 0.591426101330591 5.57067439466982e-06
"Lachnospiraceae AC2044 group" 0.902467423316883 0.0634457824178647
"Lachnospiraceae FCS020 group" 0.347846048832879 4.91840023422229e-08
"Lachnospiraceae NC2004 group" 0.62043899592002 1.08658102407054e-05
"Lachnospiraceae ND3007 group" 0.859773091307254 0.012122993579632
"Lachnospiraceae NK4A136 group" 0.753123045595426 0.000355408061524843
"Lachnospiraceae UCG-006" 0.890088352105159 0.0387274806555434
"Lachnospiraceae UCG-008" 0.532994699365546 1.57111365056574e-06
"Lachnospiraceae UCG-009" 0.882761164689151 0.0290578598798797
"Lachnospiraceae XPB1014 group" 0.954429536514911 0.498643354327181
"Marvinbryantia" 0.558845383727299 2.71672791794203e-06
"Methanocorpusculum" 0.875543495905188 0.0219834560607832
"Mycoplasma" 0.622607921942185 1.14355600842325e-05
"Oribacterium" 0.873395077184984 0.0202475007475345
"p-1088-a5 gut group" 0.252691755543225 1.0574719828121e-08
"Papillibacter" 0.96372241013245 0.674756080275654
"Phascolarctobacterium" 0.943154301954752 0.327828610476475
"Prevotella 1" 0.828541289377414 0.0039572848961995
"Prevotellaceae UCG-001" 0.601946462287179 7.07461643761637e-06
"Prevotellaceae UCG-003" 0.970410771529429 0.805378568547821
"Prevotellaceae UCG-004" 0.971687374067467 0.828757612217303
"Pseudobutyrivibrio" 0.252691755543225 1.0574719828121e-08
"Rikenellaceae RC9 gut group" 0.958593453363732 0.574716383456701
"Ruminiclostridium 1" 0.615563051680068 9.69232353090825e-06
"Ruminococcaceae NK4A214 group" 0.704674106560429 9.05426367428151e-05
"Ruminococcaceae UCG-002" 0.920300222197083 0.130864938735776
"Ruminococcaceae UCG-004" 0.546025014705378 2.06575427477689e-06
"Ruminococcaceae UCG-005" 0.735998976343077 0.000216093810762911
"Ruminococcaceae UCG-010" 0.973346737749246 0.857725595996217
"Ruminococcaceae UCG-013" 0.78369528097714 0.000901934262891084
"Ruminococcaceae UCG-014" 0.861533760474121 0.0129429978987831
"Ruminococcaceae V9D2013 group" 0.932270493082844 0.212853045070055
"Ruminococcus 1" 0.981007035685343 0.959801424932082
"Saccharofermentans" 0.957785247992998 0.559500227292538
"Sediminispirochaeta" 0.875871624784823 0.0222621020818404
"SP3-e08" 0.894214077453299 0.0456032396482722
"Treponema 2" 0.916041371723736 0.110003388716914
"[Anaerorhabdus] furcosa group" 0.878683439024676 0.0248080317037673
"Agathobacter" 0.349167017342576 5.02950301642736e-08
"Campylobacter" 0.673021063824542 3.94305082414705e-05
"Desulfurispora" 0.542988981453922 1.93731695585949e-06
"FD2005" 0.252691755543225 1.0574719828121e-08
"GCA-900066575" 0.586638974477883 5.00255866549888e-06
"Halomonas" 0.252691755543225 1.0574719828121e-08
"Lactobacillus" 0.68537778394 5.42555845144326e-05
"Oscillibacter" 0.844076109017039 0.00683936484165082
"Prevotella 9" 0.252691755543225 1.0574719828121e-08
"Ruminiclostridium" 0.550470633734775 2.2703988620096e-06
"Ruminococcaceae UCG-011" 0.689792841642611 6.0908608446327e-05
"Salegentibacter" 0.252691755543225 1.0574719828121e-08
"Sporobacter" 0.564437363770709 3.06607066377487e-06
"[Eubacterium] ventriosum group" 0.447935361194475 2.92332804641136e-07
"Lachnoclostridium 12" 0.358630260745197 5.90742552565844e-08
"Ruminococcaceae UCG-012" 0.252691755543225 1.0574719828121e-08
"Alistipes" 0.450861538048592 3.08885615852138e-07
"Anaerovibrio" 0.252691755543225 1.0574719828121e-08
"Eubacterium" 0.61862190362503 1.0411728749011e-05
"Faecalitalea" 0.380835223414317 8.66965121621236e-08
"Mucinivorans" 0.683792403164038 5.20592938807195e-05
"Enhydrobacter" 0.252691755543225 1.0574719828121e-08
"Bacteroides" 0.349383249335076 5.04794129839251e-08
"Ruminococcus 2" 0.416413923894979 1.6334767228612e-07
"Sphingomonas" 0.252691755543225 1.0574719828121e-08
"Streptococcus" 0.252691755543225 1.0574719828121e-08
"Elusimicrobium" 0.479247750359419 5.32208441434583e-07
"[Eubacterium] nodatum group" 0.385879106113885 9.47062243316431e-08
"Lachnospiraceae UCG-002" 0.252691755543225 1.0574719828121e-08
"Pygmaiobacter" 0.384681240096265 9.2735542109255e-08
"Family XIII UCG-001" 0.252691755543225 1.0574719828121e-08
"Ralstonia" 0.252691755543225 1.0574719828121e-08
