"W" "Pvalue"
"[Eubacterium] coprostanoligenes group" 0.958904228747364 0.811256797331372
"[Eubacterium] ruminantium group" 0.496094403311629 2.07292443849816e-05
"Agathobacter" 0.645523674813712 0.00156591992996669
"Anaerosporobacter" 0.496094403311629 2.07292443849816e-05
"Bifidobacterium" 0.756120970308276 0.0228516361121718
"Blautia" 0.705361834215021 0.00703707744362947
"Candidatus Soleaferrea" 0.496094403311629 2.07292443849816e-05
"Christensenellaceae R-7 group" 0.880812719580961 0.27281013223419
"Clostridium sensu stricto 1" 0.950219851097799 0.742062265255138
"Coriobacteriaceae UCG-003" 0.974309970057213 0.920033288954095
"Dialister" 0.734188259414701 0.0138882232835819
"Dorea" 0.570099123357509 0.000196511251165251
"Erysipelotrichaceae UCG-003" 0.873608172021921 0.240970075587701
"Faecalibacterium" 0.808083598012039 0.0694008325342084
"Family XIII UCG-001" 0.885766835799409 0.296598336113897
"Fibrobacter" 0.863798645131416 0.202584235169441
"Lachnoclostridium" 0.67599766875065 0.00341871752522603
"Lachnospiraceae FCS020 group" 0.982015534799093 0.96112666547931
"Lachnospiraceae NK4A136 group" 0.599351485675913 0.000450555995578711
"Lachnospiraceae UCG-004" 0.76667129757392 0.0288624126612499
"Lactobacillus" 0.640010504528599 0.0013549167230709
"Oribacterium" 0.93405308692014 0.611744985388669
"Oscillibacter" 0.496094403311629 2.07292443849816e-05
"p-1088-a5 gut group" 0.865011550923691 0.207034054958061
"Phascolarctobacterium" 0.82327597973086 0.094185012202663
"Prevotella 7" 0.537814968961289 7.57000974017071e-05
"Prevotella 9" 0.774427825510743 0.034181438837704
"Rikenellaceae RC9 gut group" 0.881434625005674 0.275710188280565
"Ruminiclostridium 9" 0.872045029720085 0.234478988100595
"Ruminococcaceae NK4A214 group" 0.923847547688798 0.533493968733624
"Ruminococcaceae UCG-002" 0.936658852388871 0.632410549664996
"Ruminococcaceae UCG-005" 0.946058631060279 0.708286585483134
"Ruminococcaceae UCG-008" 0.970967370060696 0.898868672440237
"Ruminococcaceae UCG-010" 0.934308101984394 0.613757260608903
"Ruminococcaceae UCG-014" 0.829425297799837 0.10629060286371
"Ruminococcus 1" 0.87903292618935 0.264645432471424
"Slackia" 0.580171236356037 0.000262450563515512
"Sphaerochaeta" 0.839115259531784 0.128180978813187
"Subdoligranulum" 0.821647670279612 0.0911931516085021
"Succinivibrio" 0.804322539737019 0.0642567786633166
"Treponema 2" 0.784151061773889 0.0421245095279743
"Z20" 0.954633050193548 0.77757074531626
"Alloprevotella" 0.496094403311629 2.07292443849816e-05
"Anaerostipes" 0.705506912113849 0.00706170193766534
"Collinsella" 0.766363318223007 0.0286679448670293
"Lachnospira" 0.66357881393196 0.00249673458228402
"Lachnospiraceae ND3007 group" 0.850049131707964 0.157549828747013
"Lachnospiraceae UCG-008" 0.825885354571656 0.099162816256706
"Oscillospira" 0.496094403311629 2.07292443849816e-05
"Papillibacter" 0.697162332188909 0.00576953810404712
"Roseburia" 0.854874922989666 0.172264334445254
"Ruminococcaceae UCG-013" 0.817346826606657 0.0836961880251473
"Streptococcus" 0.496094403311629 2.07292443849816e-05
"Sutterella" 0.685032167268939 0.00428253538957967
"Family XIII AD3011 group" 0.875655775193222 0.249694981612985
"Butyricicoccus" 0.744214664881939 0.0174750573610551
"[Eubacterium] hallii group" 0.901308475277243 0.381722030002137
"Campylobacter" 0.640626953640683 0.0013770955078495
"Lachnospiraceae NK3A20 group" 0.866833907010192 0.213873730442133
"Solobacterium" 0.853781944114217 0.168832095770816
"Acetitomaculum" 0.938709027934808 0.648814846856648
"Erysipelotrichaceae UCG-004" 0.879257140841255 0.265663058243633
"Lachnoclostridium 10" 0.829712247221334 0.106887879122891
"Lachnospiraceae UCG-002" 0.682939750534138 0.0040658405020706
"Libanicoccus" 0.784666997364301 0.0425900241013382
"Oxalobacter" 0.703684765237947 0.00675822631937224
"Pseudobutyrivibrio" 0.916242565363705 0.478718755191618
"Anaerovibrio" 0.681548119560304 0.00392749805599894
"DNF00809" 0.698146071432852 0.00590938206141314
"Holdemanella" 0.82686984123646 0.101101048715892
"Anaerofustis" 0.694062303649215 0.00534896891837641
"Acidothermus" 0.496094403311629 2.07292443849816e-05
"Fusicatenibacter" 0.496094403311629 2.07292443849816e-05
