"W" "Pvalue"
"Christensenellaceae R-7 group" 0.940696581151423 0.271414458401369
"Lachnospiraceae AC2044 group" 0.356065101898516 3.35002358622114e-08
"Papillibacter" 0.868559252453244 0.0136498876276664
"Ruminococcaceae NK4A214 group" 0.932028685373885 0.188737423977411
"Ruminococcaceae UCG-014" 0.917204470076731 0.100476367439195
"Treponema 2" 0.907745029397273 0.0673083293317122
"[Eubacterium] coprostanoligenes group" 0.871709981767239 0.0154456846087574
"GCA-900066575" 0.719711566972514 9.63948682245597e-05
"Rikenellaceae RC9 gut group" 0.936764319424035 0.230409284661194
"Ruminococcaceae UCG-005" 0.91323949388772 0.0849070360785998
"Ruminococcaceae UCG-010" 0.708900062048963 7.11016958274002e-05
"p-1088-a5 gut group" 0.815431563649624 0.00193191772116099
"Ruminococcaceae UCG-002" 0.841063448819702 0.0048163112528997
"UBA1819" 0.667851614081326 2.35797590607334e-05
"Arthrobacter" 0.369235423573842 4.21846371997985e-08
"Lachnoclostridium" 0.834412040921409 0.00378021004878524
"Anaerofustis" 0.895712078325979 0.040719116116734
"Anaeroplasma" 0.410641926914978 8.89120535335925e-08
"Campylobacter" 0.544215044737935 1.27000279601316e-06
"Coprococcus 2" 0.306145844003999 1.43646861178993e-08
"Corynebacterium 1" 0.243941428815703 5.28044954764051e-09
"Family XIII AD3011 group" 0.901977707948832 0.0528373223093278
"Fibrobacter" 0.663430553875368 2.10324310104968e-05
"Hydrogenoanaerobacterium" 0.610188213673179 5.64606960620788e-06
"Intestinibacter" 0.755570321569239 0.000276871559404568
"Lachnospiraceae NK4A136 group" 0.776873901534776 0.00053746302474997
"Marvinbryantia" 0.705284938329419 6.43075190458978e-05
"Methanobrevibacter" 0.543971821759959 1.26334890012431e-06
"Mogibacterium" 0.898165651450015 0.0450776339541746
"Phascolarctobacterium" 0.945678958345773 0.332772259587259
"Prevotella 1" 0.647507313314235 1.4028708232595e-05
"Prevotellaceae UCG-003" 0.798706149275567 0.00109451226202781
"Prevotellaceae UCG-004" 0.819527040968697 0.00222757522293085
"Ruminococcaceae UCG-013" 0.797719853482171 0.0010591348751016
"Ruminococcus 1" 0.619817651392857 7.10527265904896e-06
"Sutterella" 0.537121590185615 1.09036073568462e-06
"[Eubacterium] eligens group" 0.531177087422739 9.60587661839074e-07
"[Eubacterium] nodatum group" 0.796113222824574 0.00100409033353748
"[Eubacterium] oxidoreducens group" 0.575424043263233 2.52839407599254e-06
"[Ruminococcus] gauvreauii group" 0.747656306402803 0.000217964899059505
"[Ruminococcus] torques group" 0.872494037678914 0.0159302873036868
"Agathobacter" 0.552995560577273 1.53695547223807e-06
"Alistipes" 0.645867883587596 1.34637388512022e-05
"Anaerocolumna" 0.243941428815703 5.28044954764051e-09
"Anaerosporobacter" 0.583685360614795 3.04920192842131e-06
"Bacteroides" 0.736516943189652 0.000156626280412132
"Blautia" 0.641166622139369 1.19737575539492e-05
"CAG-352" 0.468833963977921 2.6888410472136e-07
"Candidatus Soleaferrea" 0.964690919454218 0.667492159165471
"Cellulosilyticum" 0.624934295715766 8.03938801972853e-06
"Clostridium sensu stricto 1" 0.67118446190404 2.57164230541187e-05
"Coprococcus 1" 0.701187819591634 5.74340851689808e-05
"Enterococcus" 0.243941428815703 5.28044954764051e-09
"Erysipelatoclostridium" 0.664401326217838 2.15655435715408e-05
"Escherichia-Shigella" 0.322025978820876 1.87218572951575e-08
"Lachnoclostridium 5" 0.458956338173049 2.21677546596979e-07
"Lachnospira" 0.243941428815703 5.28044954764051e-09
"Lachnospiraceae NC2004 group" 0.673628942086681 2.74141384995349e-05
"Lachnospiraceae UCG-004" 0.527662888054958 8.91667096060992e-07
"Lachnospiraceae UCG-008" 0.895741787739572 0.0407691774200447
"Methanosphaera" 0.604920863423196 4.98587088954603e-06
"Mobilitalea" 0.243941428815703 5.28044954764051e-09
"Oribacterium" 0.373478343176213 4.54666123304394e-08
"Oscillibacter" 0.910369336158609 0.0751922060351579
"Parabacteroides" 0.846505369596285 0.00588835743846854
"Parasutterella" 0.371938406501598 4.42452474674254e-08
"Prevotellaceae UCG-001" 0.243941428815703 5.28044954764051e-09
"Roseburia" 0.365364467657941 3.94086878699468e-08
"Ruminiclostridium" 0.701536518913257 5.79874293646231e-05
"Ruminiclostridium 1" 0.655404007027621 1.7126463096742e-05
"Ruminiclostridium 6" 0.468038450089583 2.64713821823852e-07
"Ruminiclostridium 9" 0.717639542046127 9.0890580778892e-05
"Ruminococcaceae UCG-004" 0.790934394675459 0.000846461279704337
"Ruminococcaceae UCG-009" 0.572719238155359 2.37912651739664e-06
"Ruminococcus 2" 0.46018407006832 2.27033730329874e-07
"Streptococcus" 0.482284452934643 3.51010451288123e-07
"Subdoligranulum" 0.532115290751292 9.79928535429265e-07
"Terrisporobacter" 0.818451201716536 0.00214551350441695
"Coprococcus 3" 0.698094143354719 5.27640577928232e-05
"Helicobacter" 0.370240200831992 4.29385094235547e-08
"Mailhella" 0.533102620402449 1.00072913823225e-06
"Ruminococcaceae UCG-008" 0.80602276026519 0.00139973203480348
"Ruminococcaceae V9D2013 group" 0.85979179588249 0.0097219896090161
"[Eubacterium] fissicatena group" 0.243941428815703 5.28044954764051e-09
"Oxalobacter" 0.747741022928016 0.000218519440972302
"Ruminococcaceae UCG-011" 0.659185997164794 1.88608641294483e-05
"Akkermansia" 0.598693093255065 4.30950905470464e-06
"Bilophila" 0.373413851697719 4.54147529744468e-08
"[Eubacterium] hallii group" 0.463274357039303 2.41131979627251e-07
"Barnesiella" 0.243941428815703 5.28044954764051e-09
"Intestinimonas" 0.373444069536416 4.54390441637708e-08
"Lachnoclostridium 10" 0.698821741063592 5.38247898258042e-05
"Lachnospiraceae FCS020 group" 0.782230659449653 0.000637979304298775
"Lachnospiraceae UCG-007" 0.56273545086625 1.90425651333371e-06
"Peptococcus" 0.849199670635878 0.00651050507495125
"Erysipelotrichaceae UCG-004" 0.454914884452261 2.04971832253704e-07
"Howardella" 0.405910710783808 8.15148226922266e-08
"Methanocorpusculum" 0.96742006507424 0.72393847775898
"Ruminiclostridium 5" 0.800146878899259 0.00114847086826085
"Caldicoprobacter" 0.8292629193226 0.00314178454922741
"Family XIII UCG-001" 0.471538500744038 2.8359070280907e-07
"[Eubacterium] ruminantium group" 0.738651872736853 0.000166775258099086
"Alloprevotella" 0.36579777925874 3.97095843743961e-08
"Tyzzerella 4" 0.531710767094288 9.71539162564529e-07
"Anaerovibrio" 0.362488158498475 3.74715205987316e-08
"[Eubacterium] brachy group" 0.243941428815703 5.28044954764051e-09
"Anaerovorax" 0.243941428815703 5.28044954764051e-09
"Defluviitaleaceae UCG-011" 0.243941428815703 5.28044954764051e-09
"GCA-900066225" 0.709712966881651 7.2732313450948e-05
"[Eubacterium] ventriosum group" 0.60403764868572 4.88344976804895e-06
"Clostridium sensu stricto 6" 0.243941428815703 5.28044954764051e-09
"Lachnospiraceae ND3007 group" 0.737066308382626 0.000159173339087034
"Candidatus Stoquefichus" 0.355636665818152 3.32516942207173e-08
"Tyzzerella" 0.539793562732504 1.15464047709931e-06
"Lachnospiraceae UCG-002" 0.744791022317064 0.000200065078939675
"Oscillospira" 0.372472581185607 4.46649348090324e-08
"S5-A14a" 0.549443015978132 1.42239664337089e-06
"Sarcina" 0.775229973229033 0.00051011226130121
"Elusimicrobium" 0.606003224548534 5.11450850067032e-06
"hoa5-07d05 gut group" 0.465439862167028 2.51562446807375e-07
"horsej-a03" 0.243941428815703 5.28044954764051e-09
"Lachnospiraceae UCG-001" 0.60235363044077 4.6943091361348e-06
"Lachnospiraceae UCG-009" 0.522124812886261 7.93493542613603e-07
"Negativibacillus" 0.54389117454321 1.26115079638292e-06
"Prevotellaceae Ga6A1 group" 0.548853295029914 1.40427412947259e-06
"Acetitomaculum" 0.420719587408982 1.0714310685983e-07
"[Anaerorhabdus] furcosa group" 0.370031475568038 4.27807402687118e-08
"Butyrivibrio" 0.243941428815703 5.28044954764051e-09
"Catenisphaera" 0.478360431847396 3.24607003914271e-07
"Lachnospiraceae NK3A20 group" 0.243941428815703 5.28044954764051e-09
"Olsenella" 0.365518445234852 3.95153343619801e-08
"Ruminobacter" 0.243941428815703 5.28044954764051e-09
"Syntrophococcus" 0.362702105614425 3.76120834943932e-08
"Coprobacter" 0.243941428815703 5.28044954764051e-09
"Dorea" 0.243941428815703 5.28044954764051e-09
"Lachnospiraceae UCG-006" 0.32356082888026 1.92115517418688e-08
"Cerasicoccus" 0.243941428815703 5.28044954764051e-09
"Lachnospiraceae UCG-010" 0.663594140985923 2.11212753600709e-05
"Fonticella" 0.703942434246342 6.19635114587198e-05
"Pasteurella" 0.352411776270578 3.14423628563563e-08
"[Ruminococcus] gnavus group" 0.540200608599206 1.16478062164529e-06
"Actinobacillus" 0.33517338780831 2.33855716708024e-08
"Muribacter" 0.243941428815703 5.28044954764051e-09
"Prevotella 7" 0.439542262593795 1.5264976450061e-07
"Veillonella" 0.46618575913416 2.55265022799935e-07
"Cloacibacillus" 0.243941428815703 5.28044954764051e-09
"Anaerobium" 0.368351018592263 4.15326664772856e-08
"Tannerella" 0.37218291157912 4.4436828506213e-08
"Mycobacterium" 0.243941428815703 5.28044954764051e-09
"Pseudonocardia" 0.243941428815703 5.28044954764051e-09
