"W" "Pvalue"
"[Anaerorhabdus] furcosa group" 0.823178198159711 0.00979868169985562
"[Eubacterium] coprostanoligenes group" 0.865505321214204 0.0363035658049931
"[Eubacterium] nodatum group" 0.786803556376873 0.00344349665124407
"[Eubacterium] oxidoreducens group" 0.760129141047321 0.00167126022637652
"[Eubacterium] ruminantium group" 0.434739125261872 1.90116925739863e-06
"[Ruminococcus] gauvreauii group" 0.445734710940726 2.28923170076813e-06
"28-4" 0.550503444135533 1.51796502056551e-05
"Agathobacter" 0.83641679738799 0.014600526015645
"Alistipes" 0.76039931317522 0.00168324678559526
"Anaerostipes" 0.5848454307001 2.98130079185533e-05
"Anaerovorax" 0.688677068549084 0.000282743906960338
"Bacteroides" 0.910356370500806 0.159474987697209
"Blautia" 0.96583743519174 0.816638096344062
"Candidatus Soleaferrea" 0.842983478520865 0.0178599411437103
"Candidatus Stoquefichus" 0.864348726631491 0.0349815050378424
"Christensenellaceae R-7 group" 0.836912773339209 0.0148231717174713
"Clostridium sensu stricto 1" 0.714611832029523 0.000525680504071605
"Coprococcus 2" 0.690769423597883 0.000296962982613328
"Coprococcus 3" 0.857019916339899 0.0276991043995706
"dgA-11 gut group" 0.720743729395037 0.000611099992075856
"Dorea" 0.879288899104163 0.05677621699365
"Eisenbergiella" 0.552971143259449 1.59182007758925e-05
"Erysipelotrichaceae UCG-004" 0.403463055857202 1.13411819280373e-06
"Faecalibacterium" 0.875074358896861 0.0494725647969467
"GCA-900066575" 0.725269047723575 0.000683608812485112
"Halomonas" 0.704535199270438 0.000411824391353929
"Hydrogenoanaerobacterium" 0.891635970888459 0.0853444936778707
"Lachnoclostridium" 0.860738857145621 0.0311710037402229
"Lachnoclostridium 10" 0.919602527652915 0.217017811827806
"Lachnospiraceae AC2044 group" 0.867431996742234 0.0386236654127223
"Lachnospiraceae FCS020 group" 0.970554668988565 0.883989489904139
"Lachnospiraceae NK4A136 group" 0.894791456897273 0.0947913874832915
"Lachnospiraceae NK4B4 group" 0.296840687334701 2.18984734884338e-07
"Lachnospiraceae UCG-001" 0.799063361436472 0.00485958594015479
"Lachnospiraceae UCG-008" 0.85086133240801 0.0228169972119042
"Mailhella" 0.854736497149707 0.0257714257869816
"Marvinbryantia" 0.776497662341219 0.00259339103364225
"Methylobacterium" 0.44071417813231 2.10250776985938e-06
"Negativibacillus" 0.745006686712324 0.00112640562362138
"Parasutterella" 0.296840687334701 2.18984734884338e-07
"Phascolarctobacterium" 0.296840687334701 2.18984734884338e-07
"Prevotellaceae UCG-004" 0.521547896127998 8.78768473387337e-06
"Rikenellaceae RC9 gut group" 0.349283896795729 4.81451331118558e-07
"Roseburia" 0.634784853745196 8.42912586370136e-05
"Ruminiclostridium" 0.922385526257403 0.237938675283277
"Ruminiclostridium 1" 0.571889897476054 2.3028566283435e-05
"Ruminiclostridium 6" 0.73215942100094 0.000812232700150333
"Ruminiclostridium 9" 0.975502642599494 0.940306793801795
"Ruminococcaceae NK4A214 group" 0.839252761901623 0.0159232668489116
"Ruminococcaceae UCG-002" 0.622649809501106 6.50370676528745e-05
"Ruminococcaceae UCG-005" 0.935288083460414 0.361287610303617
"Ruminococcaceae UCG-007" 0.447080199960255 2.34221719929952e-06
"Ruminococcaceae UCG-008" 0.787428310137804 0.00350380778952745
"Ruminococcaceae UCG-009" 0.709890850819042 0.000468634407565414
"Ruminococcaceae UCG-010" 0.922082315195342 0.235570129780396
"Ruminococcaceae UCG-011" 0.975521084725791 0.940482500713947
"Ruminococcaceae UCG-013" 0.799748125720553 0.00495515565233674
"Ruminococcaceae UCG-014" 0.85513041941043 0.0260935998834507
"Ruminococcus 1" 0.818520890530515 0.00853604318021772
"Ruminococcus 2" 0.951766283483514 0.588450759828322
"Shewanella" 0.713322342358331 0.000509397047050713
"Shuttleworthia" 0.42083123918278 1.5077824894948e-06
"Treponema 2" 0.677150350090218 0.000216405571155443
"Tyzzerella 4" 0.865883988001328 0.0367477258050304
"[Eubacterium] eligens group" 0.754855923855782 0.0014546798503732
"[Eubacterium] hallii group" 0.296840687334701 2.18984734884338e-07
"[Ruminococcus] torques group" 0.94750979780463 0.522755504033784
"Acetitomaculum" 0.59620297838445 3.75256708221275e-05
"Atopobium" 0.390485194217348 9.19768195480029e-07
"Bosea" 0.296840687334701 2.18984734884338e-07
"Erysipelatoclostridium" 0.96668571672053 0.829484225052951
"Family XIII AD3011 group" 0.78662271344646 0.00342624632211737
"Helicobacter" 0.680724250730909 0.000234988537636516
"Intestinimonas" 0.836101767077322 0.0144609521489173
"Oscillibacter" 0.915847911698368 0.191559806612983
"Papillibacter" 0.962687036844945 0.766988725659548
"Parabacteroides" 0.681891806959175 0.000241423129261654
"possible genus Sk018" 0.44703215858821 2.34030302563282e-06
"Ruminiclostridium 5" 0.630817198616603 7.74002421928838e-05
"Ruminococcaceae UCG-004" 0.824620967449441 0.0102290337112299
"[Bacteroides] pectinophilus group" 0.415486938735619 1.38051921739884e-06
"[Eubacterium] brachy group" 0.724723596844738 0.000674401187283904
"[Eubacterium] ventriosum group" 0.877349801203326 0.0532854379085991
"[Eubacterium] xylanophilum group" 0.296840687334701 2.18984734884338e-07
"Acinetobacter" 0.296840687334701 2.18984734884338e-07
"Bifidobacterium" 0.898284431352995 0.106502971959919
"Bradyrhizobium" 0.426900459382649 1.66760049265487e-06
"Defluviitaleaceae UCG-011" 0.753453737143516 0.00140228174696979
"DNF00809" 0.466717536055811 3.28360642741696e-06
"Enterorhabdus" 0.296840687334701 2.18984734884338e-07
