"W" "Pvalue"
"Acinetobacter" 0.8425254692958 0.136779276570362
"Alloprevotella" 0.551461303727183 0.000113863874086114
"Bacteroides" 0.869077821665132 0.222553844678271
"Blautia" 0.621672048174136 0.000830719346183044
"Clostridium sensu stricto 1" 0.748196559341387 0.019125823639209
"Diaphorobacter" 0.881191626425943 0.274574125454474
"Dorea" 0.704072680293458 0.00682178602068419
"Enterobacter" 0.915691246813111 0.474881824147103
"Enterococcus" 0.700128742437063 0.00620098727809987
"Erysipelatoclostridium" 0.496094403311629 2.07292443849816e-05
"Escherichia-Shigella" 0.524157390076092 4.99347502917526e-05
"Lachnoclostridium" 0.640225060214364 0.00136259732757764
"Lachnospiraceae UCG-008" 0.583237128598478 0.000286395184373008
"Lactococcus" 0.578354687905884 0.000249177056918636
"Mesorhizobium" 0.744418218389514 0.017556114998149
"Novosphingobium" 0.496094403311629 2.07292443849816e-05
"Paeniclostridium" 0.739834092755803 0.015813012036853
"Parabacteroides" 0.762498795706306 0.0263287192780864
"Rikenellaceae RC9 gut group" 0.496094403311629 2.07292443849816e-05
"Romboutsia" 0.860423260253929 0.190622917459794
"Ruminiclostridium 1" 0.496094403311629 2.07292443849816e-05
"Ruminococcaceae UCG-005" 0.498640935851093 2.24816837963804e-05
"Ruminococcaceae UCG-014" 0.699436173837597 0.00609761998889206
"Staphylococcus" 0.496094403311629 2.07292443849816e-05
"Streptococcus" 0.496094403311629 2.07292443849816e-05
"Terrisporobacter" 0.779394474797725 0.0380478673331816
"Turicibacter" 0.585203416756926 0.000302833048527573
"Tyzzerella 4" 0.719350859821201 0.00982261795045612
"Agathobacter" 0.496094403311629 2.07292443849816e-05
"Alistipes" 0.814519383019401 0.0790742936386419
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium" 0.815181865965648 0.0801361031434344
"Anaerovibrio" 0.496094403311629 2.07292443849816e-05
"Aquicella" 0.705201811920124 0.00701001009092404
"Bradyrhizobium" 0.6755884973886 0.0033837881468652
"Brevundimonas" 0.505692318433953 2.81057115077616e-05
"Conexibacter" 0.715863933731357 0.00904479970353927
"Coprococcus 3" 0.628780292919531 0.00100560085641127
"Corynebacterium 1" 0.496094403311629 2.07292443849816e-05
"Devosia" 0.705431292197322 0.00704885665286744
"Erysipelothrix" 0.585921817733552 0.000309060089132897
"Jeotgalibaca" 0.496094403311629 2.07292443849816e-05
"Kurthia" 0.510935833160287 3.31364188155767e-05
"Lachnospiraceae UCG-001" 0.496094403311629 2.07292443849816e-05
"Myroides" 0.496094403311629 2.07292443849816e-05
"Oscillibacter" 0.496094403311629 2.07292443849816e-05
"Paraclostridium" 0.496094403311629 2.07292443849816e-05
"Paracoccus" 0.496094403311629 2.07292443849816e-05
"Pedobacter" 0.496094403311629 2.07292443849816e-05
"Pseudomonas" 0.632153709190869 0.00110034004827915
"Rhodopirellula" 0.496094403311629 2.07292443849816e-05
"Roseburia" 0.542494676122157 8.71479269899643e-05
"Ruminococcus 1" 0.496094403311629 2.07292443849816e-05
"Solibacillus" 0.857520883673629 0.180821780947641
"Sphingobacterium" 0.723768343742199 0.0108982302683364
"Sphingomonas" 0.688925915404248 0.00471509683387502
"Sporosarcina" 0.522343042716282 4.72225601081564e-05
