"W" "Pvalue"
"[Bacteroides] pectinophilus group" 0.605233653239655 0.000110211245680018
"[Eubacterium] coprostanoligenes group" 0.789251075428165 0.0153836328553346
"[Eubacterium] eligens group" 0.769776966250957 0.00918244476590412
"[Eubacterium] hallii group" 0.848302729309102 0.0713791628667539
"[Eubacterium] oxidoreducens group" 0.389841297787206 3.21749285541393e-07
"[Eubacterium] ruminantium group" 0.759522036631319 0.00698937134491324
"[Ruminococcus] gauvreauii group" 0.772029462510937 0.00974873860542272
"[Ruminococcus] torques group" 0.640300275870928 0.000284105123769843
"Acidaminococcus" 0.928365098653743 0.465935818929412
"Agathobacter" 0.542094047197351 1.99859867185326e-05
"Alloprevotella" 0.820163924922979 0.0346052933080095
"Anaerostipes" 0.897167929159931 0.236039155828826
"Anaerovibrio" 0.389841297787206 3.21749285541393e-07
"Bacteroides" 0.637420682015961 0.000262861627099282
"Bifidobacterium" 0.837507726698967 0.054179023830627
"Blautia" 0.888193397853776 0.191155326621495
"Butyricicoccus" 0.95587474501557 0.754315072147284
"Candidatus Soleaferrea" 0.654042900937637 0.000411623366943597
"Catenibacterium" 0.862540205741568 0.102171648573736
"Cellulosilyticum" 0.389841297787206 3.21749285541393e-07
"Christensenellaceae R-7 group" 0.714355020791669 0.00208718562197305
"Clostridium sensu stricto 1" 0.731533071619184 0.00330850793290144
"Collinsella" 0.959119838075765 0.789062854745775
"Coprococcus 1" 0.908346911632124 0.304475422128798
"Coprococcus 2" 0.821425169752424 0.0357587376147992
"Coprococcus 3" 0.744994576233897 0.00474309936241349
"Coriobacteriaceae UCG-003" 0.569454280166826 4.18966345153358e-05
"Desulfovibrio" 0.786873981240495 0.0144471687785241
"dgA-11 gut group" 0.694467448526056 0.00122304055308528
"Dialister" 0.831011473390163 0.0458362809360603
"Dorea" 0.932413023939764 0.504656191757969
"Enterorhabdus" 0.920871609619186 0.399504936694082
"Faecalibacterium" 0.82118861777865 0.0355395856384242
"Family XIII AD3011 group" 0.869005884360617 0.119971993395581
"Family XIII UCG-001" 0.914963478270528 0.352175004102472
"Fusicatenibacter" 0.6898365273604 0.00107976496873665
"Helicobacter" 0.451199302703008 1.70304909752035e-06
"Holdemanella" 0.673880286507042 0.000702647794356739
"Intestinibacter" 0.838992705951556 0.0562827806954085
"Lachnoclostridium" 0.739141026291103 0.00405587083339267
"Lachnospira" 0.618856233572489 0.00015923753513405
