"W" "Pvalue"
"[Ruminococcus] gnavus group" 0.672164974910035 0.000296369773309236
"Acinetobacter" 0.504800432359227 1.10326244497016e-05
"Actinomyces" 0.502561731765478 1.06061119408514e-05
"Allobaculum" 0.311006812488584 5.04459737485585e-07
"Alloprevotella" 0.311006812488584 5.04459737485585e-07
"Bifidobacterium" 0.341771571441955 7.91722214357905e-07
"Capnocytophaga" 0.454368679057163 4.64903662543383e-06
"Clostridium sensu stricto 1" 0.751983300609385 0.00193645883216498
"Collinsella" 0.736241191642992 0.0013110419070075
"Corynebacterium" 0.481157967880984 7.31251621918159e-06
"Corynebacterium 1" 0.502939355749503 1.06768050893913e-05
"Enterococcus" 0.689032763287582 0.00043199590210088
"Fusobacterium" 0.459227044435623 5.04202514998079e-06
"Granulicatella" 0.311006812488584 5.04459737485585e-07
"Haemophilus" 0.329767609629192 6.63024590094646e-07
"Holdemanella" 0.311006812488584 5.04459737485585e-07
"Lachnoclostridium" 0.562345723296264 3.15508377057184e-05
"Lactobacillus" 0.414964986184477 2.44467281165667e-06
"Lautropia" 0.311006812488584 5.04459737485585e-07
"Mycoplasma" 0.580271846577596 4.44635807674986e-05
"Neisseria" 0.465874567688227 5.6380766257569e-06
"Paeniclostridium" 0.609893696944913 7.98118201919222e-05
"Peptoclostridium" 0.347458521709375 8.61742835639804e-07
"Peptoniphilus" 0.59800592114387 6.29346117039706e-05
"Peptostreptococcus" 0.632252084995875 0.000126119031886362
"Prevotella" 0.311006812488584 5.04459737485585e-07
"Prevotella 7" 0.37050624062118 1.22069324001109e-06
"Rothia" 0.545252441429118 2.29128363528468e-05
"Slackia" 0.426115438146781 2.92439535507951e-06
"Streptococcus" 0.671649743317562 0.000293023121507276
"Veillonella" 0.321631536947902 5.88571421973716e-07
"Acetitomaculum" 0.417758748007062 2.55642360915048e-06
"Acidovorax" 0.454325727946839 4.64571151764588e-06
"Blautia" 0.483973248095232 7.67507635205578e-06
"Dielma" 0.311006812488584 5.04459737485585e-07
"Escherichia-Shigella" 0.408256057271315 2.19701319713587e-06
"Gemella" 0.523896689621734 1.55091588355122e-05
"Hydrogenophaga" 0.652170696353816 0.000191965893540493
"Leucobacter" 0.320294538116822 5.77212164775991e-07
"Parvimonas" 0.411804149018463 2.32447881118723e-06
"Pseudomonas" 0.746088304497066 0.00167124269966163
"Bacillus" 0.466187358581571 5.66791183043992e-06
"Lysinibacillus" 0.312531340388778 5.15699094354696e-07
"Psychrobacillus" 0.311006812488584 5.04459737485585e-07
"Solibacillus" 0.311006812488584 5.04459737485585e-07
"Viridibacillus" 0.311006812488584 5.04459737485585e-07
"Anoxybacillus" 0.541779243670772 2.14887152978504e-05
"Chryseobacterium" 0.625631222077022 0.000109972734468034
"Cutibacterium" 0.563057903793502 3.19789965127277e-05
"Delftia" 0.548245497503266 2.42209565088892e-05
"Massilia" 0.581612816541756 4.56341731011068e-05
"Meiothermus" 0.359209034295443 1.02815704924734e-06
"Methylobacterium" 0.647716812532385 0.000174569608235276
"Microbacterium" 0.605172922751043 7.259285807598e-05
"Novosphingobium" 0.466278445893154 5.67663168687434e-06
"Pedobacter" 0.435711560740606 3.41772072955879e-06
"Pelomonas" 0.383694933449891 1.49514679879441e-06
"Rhodococcus" 0.465520583733904 5.60451401069496e-06
"Rhodoferax" 0.311006812488584 5.04459737485585e-07
"Sphingomonas" 0.644441818226635 0.000162856213829006
"Bacteroides" 0.384096235751954 1.50446424401153e-06
"Blastococcus" 0.311006812488584 5.04459737485585e-07
"Brevundimonas" 0.448941989425811 4.24833032058332e-06
"Devosia" 0.566383882946525 3.40623169409266e-05
"Pseudenhygromyxa" 0.311006812488584 5.04459737485585e-07
"Pseudonocardia" 0.311006812488584 5.04459737485585e-07
"Solirubrobacter" 0.311006812488584 5.04459737485585e-07
"Sutterella" 0.465740354147175 5.62532617055812e-06
"Clostridium sensu stricto 4" 0.311006812488584 5.04459737485585e-07
"Kineosporia" 0.311006812488584 5.04459737485585e-07
"Sarcina" 0.44281141035179 3.83947314783411e-06
"Deinococcus" 0.311006812488584 5.04459737485585e-07
"Hafnia-Obesumbacterium" 0.462164869462618 5.29671844006489e-06
"Kocuria" 0.370674384013707 1.22383331549143e-06
"Mycobacterium" 0.465977029834345 5.64783138746782e-06
"Ralstonia" 0.311006812488584 5.04459737485585e-07
"Staphylococcus" 0.425919155659216 2.91513348943374e-06
"[Ruminococcus] torques group" 0.556540137005063 2.82805455991483e-05
"Aeromicrobium" 0.311006812488584 5.04459737485585e-07
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium" 0.311006812488584 5.04459737485585e-07
"Bosea" 0.311006812488584 5.04459737485585e-07
"Burkholderia-Caballeronia-Paraburkholderia" 0.46542064331713 5.59507685244719e-06
"Caenimonas" 0.311006812488584 5.04459737485585e-07
"Clostridium sensu stricto 7" 0.311006812488584 5.04459737485585e-07
"Coprococcus 2" 0.311006812488584 5.04459737485585e-07
"Ensifer" 0.311006812488584 5.04459737485585e-07
"Lutispora" 0.311006812488584 5.04459737485585e-07
"Methyloversatilis" 0.311006812488584 5.04459737485585e-07
"Phascolarctobacterium" 0.44737432019099 4.13954772415983e-06
"Ramlibacter" 0.311006812488584 5.04459737485585e-07
"Ruminiclostridium 5" 0.464593521095787 5.51762041170278e-06
"Ruminococcus 1" 0.311006812488584 5.04459737485585e-07
"Sphingopyxis" 0.311006812488584 5.04459737485585e-07
"Sphingorhabdus" 0.311006812488584 5.04459737485585e-07
"Sphingosinicella" 0.311006812488584 5.04459737485585e-07
"SWB02" 0.311006812488584 5.04459737485585e-07
"Terrisporobacter" 0.311006812488584 5.04459737485585e-07
"Chelatococcus" 0.311006812488584 5.04459737485585e-07
"Janthinobacterium" 0.311006812488584 5.04459737485585e-07
"Klebsiella" 0.311006812488584 5.04459737485585e-07
"Lawsonella" 0.311006812488584 5.04459737485585e-07
"Thermoanaerobaculum" 0.311006812488584 5.04459737485585e-07
"Yonghaparkia" 0.311006812488584 5.04459737485585e-07
"Aquabacterium" 0.311006812488584 5.04459737485585e-07
"Catenisphaera" 0.311006812488584 5.04459737485585e-07
"Christensenellaceae R-7 group" 0.311006812488584 5.04459737485585e-07
"Family XIII AD3011 group" 0.311006812488584 5.04459737485585e-07
"Megamonas" 0.311006812488584 5.04459737485585e-07
"Romboutsia" 0.311006812488584 5.04459737485585e-07
