"W" "Pvalue"
"[Eubacterium] coprostanoligenes group" 0.883838770557443 0.327069823439706
"[Eubacterium] eligens group" 0.814008235050699 0.104882247249463
"[Eubacterium] hallii group" 0.901395700345745 0.417647632067708
"Acinetobacter" 0.935306053499415 0.632971592346197
"Agathobacter" 0.858228755358153 0.221958470274545
"Alloprevotella" 0.957584480287697 0.791070763488162
"Anaerostipes" 0.939225316069482 0.660466434317305
"Anaerovibrio" 0.814490131849858 0.10579868685126
"Bacillus" 0.552181683086904 0.000130978175851881
"Bifidobacterium" 0.882641810018232 0.321454319084228
"Blautia" 0.964075641556806 0.836038947435471
"Campylobacter" 0.90985390217586 0.466712921852938
"Cerasicoccus" 0.897309595061728 0.395194833941231
"Christensenellaceae R-7 group" 0.927078737531599 0.576589497601548
"Collinsella" 0.886367730646512 0.33916837690604
"Coriobacteriaceae UCG-003" 0.896575183001667 0.391247116240124
"Dialister" 0.977947106344536 0.923349873424822
"Dorea" 0.763026697042318 0.0391175459647602
"Enterorhabdus" 0.971688272032683 0.885974920218995
"Erysipelotrichaceae UCG-003" 0.860396156676592 0.229674201216238
"Erysipelotrichaceae UCG-006" 0.936406450332365 0.640656566393211
"Faecalibacterium" 0.939850387577451 0.66488063298245
"Family XIII UCG-001" 0.850711809386065 0.196778934336371
"Fibrobacter" 0.866086546202219 0.250936238079009
"Fusicatenibacter" 0.930335979839239 0.598663491600987
"GCA-900066575" 0.906988331583264 0.449705376397536
"Holdemanella" 0.887234151391492 0.343386600448077
"Kurthia" 0.960904312284939 0.814266247152346
"Lachnoclostridium" 0.748512462322146 0.0288323172042028
"Lachnospiraceae ND3007 group" 0.815696558148814 0.108122760864807
"Lachnospiraceae NK3A20 group" 0.759789921452751 0.0365795441002368
"Lachnospiraceae NK4A136 group" 0.949900592677002 0.73647822726384
"Lachnospiraceae UCG-004" 0.914467593260234 0.494897537906335
"Olsenella" 0.87582816617256 0.290831921397475
"Oribacterium" 0.934830527309171 0.629659808031044
"Oscillospira" 0.826115831138387 0.130047938002141
"Oxalobacter" 0.94387259558061 0.693430925137884
"Phascolarctobacterium" 0.868537767079813 0.260553205709089
"Prevotella 7" 0.929229516331878 0.591125780639732
"Prevotella 9" 0.970924792764323 0.881155438321169
"Pseudomonas" 0.819038637667975 0.114787468875497
"Rikenellaceae RC9 gut group" 0.937108863106899 0.645576931182562
"Roseburia" 0.949564561895357 0.734077095522084
"Ruminiclostridium 9" 0.952317791631226 0.753732758853029
"Ruminococcaceae NK4A214 group" 0.892635355169917 0.370528591445128
"Ruminococcaceae UCG-002" 0.985927929610929 0.963592771608428
"Ruminococcaceae UCG-003" 0.948792265268736 0.728557593626798
"Ruminococcaceae UCG-005" 0.967858856371266 0.861341724710096
"Ruminococcaceae UCG-008" 0.881423408480943 0.3158110487499
"Ruminococcaceae UCG-010" 0.924680357816437 0.560570937816784
"Ruminococcaceae UCG-014" 0.934332879563335 0.626200149923717
"Ruminococcus 1" 0.812750124480463 0.10252129372739
"Rummeliibacillus" 0.902230208785227 0.422334480341539
"Senegalimassilia" 0.919389932693087 0.526011712584628
"Solobacterium" 0.712046049166439 0.0127462944001212
"Subdoligranulum" 0.888230380797236 0.348283116415438
"Succinivibrio" 0.823492812632791 0.12420497261372
"Sutterella" 0.851905961701738 0.200618460136607
"Butyricicoccus" 0.730745657193492 0.0195480141923612
"Caryophanon" 0.552181683086904 0.000130978175851881
"Chryseobacterium" 0.552181683086904 0.000130978175851881
"Comamonas" 0.552181683086904 0.000130978175851881
"Diaphorobacter" 0.552181683086904 0.000130978175851881
"Empedobacter" 0.552181683086904 0.000130978175851881
"Flavobacterium" 0.552181683086904 0.000130978175851881
"Ketogulonicigenium" 0.552181683086904 0.000130978175851881
"Lysinibacillus" 0.61931751992406 0.00111958398752944
"Paracoccus" 0.552181683086904 0.000130978175851881
"Solibacillus" 0.725782616490345 0.0174836046927738
"Sphingobacterium" 0.552181683086904 0.000130978175851881
"Stenotrophomonas" 0.552181683086904 0.000130978175851881
"Timonella" 0.552181683086904 0.000130978175851881
"Vitreoscilla" 0.552181683086904 0.000130978175851881
"[Ruminococcus] torques group" 0.552181683086904 0.000130978175851881
"Elusimicrobium" 0.552181683086904 0.000130978175851881
"Escherichia-Shigella" 0.648687916309571 0.00256917073220517
"Family XIII AD3011 group" 0.824906084449624 0.127325199731249
"Lachnospiraceae UCG-002" 0.552181683086904 0.000130978175851881
"Marvinbryantia" 0.552181683086904 0.000130978175851881
"Ruminococcaceae UCG-013" 0.756308697020385 0.0340126862739622
"Synergistes" 0.552181683086904 0.000130978175851881
"Tyzzerella 3" 0.552181683086904 0.000130978175851881
"Clostridium sensu stricto 1" 0.552181683086904 0.000130978175851881
"Enterobacter" 0.552181683086904 0.000130978175851881
"Pseudocitrobacter" 0.552181683086904 0.000130978175851881
"Slackia" 0.552181683086904 0.000130978175851881
"Chishuiella" 0.552181683086904 0.000130978175851881
"Intestinibacter" 0.552181683086904 0.000130978175851881
"Lactococcus" 0.552181683086904 0.000130978175851881
"Peptococcus" 0.552181683086904 0.000130978175851881
