"W" "Pvalue"
"[Eubacterium] coprostanoligenes group" 0.731549147223841 0.000269434380276684
"[Eubacterium] oxidoreducens group" 0.775420497917125 0.000951971678746992
"[Eubacterium] xylanophilum group" 0.639551033739211 2.57964254884131e-05
"A2" 0.577507854658681 6.35606504995367e-06
"Acetatifactor" 0.575087406179895 6.03293262084958e-06
"Acetitomaculum" 0.623755680860901 1.78393729111877e-05
"Agathobacter" 0.824951810913891 0.0045544071707525
"Alistipes" 0.897502596112213 0.0617035086342467
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium" 0.648934007724499 3.22525470239874e-05
"Bacteroides" 0.784740673148143 0.00126263712175391
"Blautia" 0.807705043245158 0.00259233080569128
"Butyricicoccus" 0.924867546322394 0.178452567174811
"Candidatus Soleaferrea" 0.614164985489827 1.43204507711897e-05
"Corynebacterium 1" 0.481451595382873 9.05132118005354e-07
"Desulfovibrio" 0.75368799984562 0.000502687221126994
"Elusimicrobium" 0.262223169781896 2.16690964289437e-08
"Family XIII UCG-001" 0.399393482778351 2.02618639372067e-07
"Flavonifractor" 0.626390179252358 1.89596760535219e-05
"GCA-900066575" 0.658451898358389 4.05910675417202e-05
"Helicobacter" 0.622959650909136 1.75148990976543e-05
"Jeotgalicoccus" 0.618265063648358 1.57247862964338e-05
"Lachnoclostridium" 0.801827038505201 0.0021493079303422
"Lachnoclostridium 5" 0.375424501932184 1.34105536900188e-07
"Lachnospiraceae AC2044 group" 0.690191678897038 8.97006273287884e-05
"Lachnospiraceae FCS020 group" 0.724079200929955 0.000219559780169669
"Lachnospiraceae NK4A136 group" 0.972115195821137 0.854346581339172
"Lachnospiraceae NK4B4 group" 0.405015872685953 2.23550487136593e-07
"Lachnospiraceae UCG-001" 0.780013665279917 0.00109340756758271
"Lachnospiraceae UCG-006" 0.837296743014105 0.00690621844317015
"Lactobacillus" 0.702088058214837 0.000122083094320098
"Mucispirillum" 0.868228151076222 0.0205942582017526
"Odoribacter" 0.91965084579927 0.145679927780827
"Oscillibacter" 0.832562649173238 0.00587943575312219
"Oscillospira" 0.495330654961194 1.18254978462555e-06
"Oxalobacter" 0.851274400790849 0.0112157576197358
"Peptococcus" 0.483318755262764 9.38038128560171e-07
"Pygmaiobacter" 0.65714873092585 3.93249245878325e-05
"Roseburia" 0.883836717986999 0.0367096663300127
"Ruminiclostridium" 0.892570429200444 0.0510926723069918
"Ruminiclostridium 5" 0.854185130619324 0.0124301731999858
"Ruminiclostridium 6" 0.7100217783721 0.000150477659260719
"Ruminiclostridium 9" 0.832416873147716 0.00585051848304671
"Ruminococcaceae NK4A214 group" 0.79271754743221 0.00161479779009835
"Ruminococcaceae UCG-003" 0.753515444217077 0.000500198708663371
"Ruminococcaceae UCG-004" 0.262223169781896 2.16690964289437e-08
"Ruminococcaceae UCG-005" 0.877873358563033 0.0293759387548364
"Ruminococcaceae UCG-009" 0.857836942354985 0.0141541150568465
"Ruminococcaceae UCG-010" 0.496534544308658 1.21054828041044e-06
