"W" "Pvalue"
"[Eubacterium] coprostanoligenes group" 0.69125052953448 6.44882520564373e-07
"28-4" 0.594611814649345 3.21078220889903e-08
"Alistipes" 0.738886045456753 3.50401021404524e-06
"Coprococcus 2" 0.559895384451227 1.22192827451037e-08
"Desulfovibrio" 0.507671358930517 3.12338654491083e-09
"Family XIII UCG-001" 0.642395293944557 1.32849312943543e-07
"GCA-900066575" 0.853186064322263 0.000486688799469558
"Helicobacter" 0.608074133840072 4.73696245667553e-08
"Lachnoclostridium" 0.814897128795384 7.86628462291628e-05
"Lachnospiraceae FCS020 group" 0.741882614491479 3.92044847521425e-06
"Lachnospiraceae NC2004 group" 0.301162386508365 3.13461504848669e-11
"Lachnospiraceae NK4A136 group" 0.972158095542307 0.560987711985985
"Lachnospiraceae UCG-001" 0.831591294214816 0.000169839437637565
"Lachnospiraceae UCG-008" 0.80621215594479 5.34438100114228e-05
"Lactobacillus" 0.667215551615971 2.91220052872396e-07
"Oscillibacter" 0.966708520875309 0.413859530370957
"Ruminiclostridium" 0.778681728148232 1.66114369147753e-05
"Ruminiclostridium 9" 0.942862330788948 0.0902857994753248
"Ruminococcaceae UCG-005" 0.774787945122446 1.41721663914246e-05
"Ruminococcaceae UCG-014" 0.710315486410617 1.24463921729518e-06
"Ruminococcus 1" 0.449642226592549 7.64271158471787e-10
"[Bacteroides] pectinophilus group" 0.54538197841944 8.27921990702286e-09
"[Eubacterium] oxidoreducens group" 0.220493236189951 6.71348833149029e-12
"[Ruminococcus] torques group" 0.408312456547706 2.97693993583022e-10
"A2" 0.373867236362707 1.40318675129608e-10
"Acetitomaculum" 0.749263379247783 5.18632913660696e-06
"Adlercreutzia" 0.256107257754943 1.30651104379128e-11
"Bacteroides" 0.244279272548911 1.0447630059346e-11
"Blautia" 0.574107142349065 1.80355456706825e-08
"Butyricicoccus" 0.73172218929285 2.68696915787031e-06
"Eisenbergiella" 0.491938957224758 2.11021115017806e-09
"Lachnospiraceae UCG-006" 0.877788806053335 0.00176513780178806
"Lachnospiraceae UCG-010" 0.171809819320412 2.79498373382559e-12
"Odoribacter" 0.657448811138226 2.12950785358659e-07
"Parabacteroides" 0.518144192364469 4.07378070549661e-09
"Roseburia" 0.921405005030145 0.0227008369753653
"Ruminiclostridium 5" 0.725321397167118 2.12687488212623e-06
"Ruminiclostridium 6" 0.693396307993997 6.93560432943838e-07
"Ruminococcaceae NK4A214 group" 0.690166210554738 6.21671068406398e-07
"Ruminococcaceae UCG-003" 0.861050214472197 0.000726725557578905
"Ruminococcaceae UCG-009" 0.663591058281973 2.59113409354631e-07
"Tyzzerella" 0.751691481110031 5.6922412483958e-06
"UBA1819" 0.675548124682237 3.82073775520421e-07
"[Eubacterium] xylanophilum group" 0.533461651709152 6.04994955943138e-09
"Escherichia-Shigella" 0.349799359623034 8.43554361781959e-11
"Mucispirillum" 0.556271026365328 1.10787967018598e-08
"Anaeroplasma" 0.270563988147472 1.72293534365594e-11
"Anaerotruncus" 0.250295483131592 1.17022716536471e-11
"Ruminococcaceae UCG-013" 0.277432654311032 1.96762344764643e-11
"Prevotellaceae UCG-001" 0.2318302297735 8.27886507096202e-12
"Raoultella" 0.171809819320412 2.79498373382559e-12
"[Eubacterium] nodatum group" 0.296508702562889 2.85857069714068e-11
"Acetatifactor" 0.171809819320412 2.79498373382559e-12
"Bilophila" 0.306141006183992 3.46115301591553e-11
"Robinsoniella" 0.221707979816545 6.86525027888352e-12
"Ruminococcaceae UCG-010" 0.360866031935757 1.06419506906872e-10
"Treponema 2" 0.428187497887097 4.65780342021299e-10
"[Eubacterium] ruminantium group" 0.28561463710361 2.30751436160708e-11
"Anaerostipes" 0.381963337892428 1.6701948541076e-10
"Lawsonella" 0.295431429744042 2.79838550184653e-11
"Tyzzerella 3" 0.481445146444319 1.63181770935240e-09
"Acinetobacter" 0.266798691554276 1.60256101968973e-11
"Anaerovorax" 0.171809819320412 2.79498373382559e-12
"Bacillus" 0.230534713926744 8.08205235932222e-12
"Buttiauxella" 0.182247443545163 3.36210250741982e-12
"Carnobacterium" 0.27071681268819 1.72801710542165e-11
"Chryseobacterium" 0.200177186098406 4.63600923088154e-12
"Comamonas" 0.171809819320412 2.79498373382559e-12
"Delftia" 0.171809819320412 2.79498373382559e-12
"Lachnoclostridium 5" 0.362131654381178 1.0930445322987e-10
"Lachnospiraceae AC2044 group" 0.171809819320412 2.79498373382559e-12
"Marvinbryantia" 0.261237528228181 1.44066869103012e-11
"Niveispirillum" 0.171809819320412 2.79498373382559e-12
"Parvibacter" 0.310878062378458 3.80512564709647e-11
"Pedobacter" 0.171809819320412 2.79498373382559e-12
"Pseudomonas" 0.270020917906599 1.70500359000994e-11
"Rodentibacter" 0.171809819320412 2.79498373382559e-12
"Ruminococcaceae UCG-004" 0.171809819320412 2.79498373382559e-12
"Sphingobacterium" 0.171809819320412 2.79498373382559e-12
"Sphingobium" 0.171809819320412 2.79498373382559e-12
"Stenotrophomonas" 0.205230891651549 5.08010706492499e-12
"ASF356" 0.626603367294756 8.2050294063986e-08
"Intestinimonas" 0.551471925434758 9.73852046652724e-09
"Oscillospira" 0.270512041762164 1.7212115834111e-11
"Rikenella" 0.24330603820665 1.02583189824553e-11
"Coprococcus 3" 0.171809819320412 2.79498373382559e-12
"Lactococcus" 0.264009272045756 1.51909610900091e-11
"Agathobacter" 0.171809819320412 2.79498373382559e-12
"Pygmaiobacter" 0.27070065930222 1.72747922590077e-11
"Anaerosporobacter" 0.357047938204723 9.81911060523062e-11
"Pantoea" 0.171809819320412 2.79498373382559e-12
"Dorea" 0.171809819320412 2.79498373382559e-12
"Peptococcus" 0.390067860380536 1.99149844012493e-10
"Negativibacillus" 0.171809819320412 2.79498373382559e-12
"Christensenellaceae R-7 group" 0.27717708065372 1.95789414016716e-11
"Enterococcus" 0.198831128919044 4.5247284285802e-12
"Lachnospiraceae UCG-009" 0.171809819320412 2.79498373382559e-12
"Butyrivibrio" 0.204869962128107 5.04695678142784e-12
"Citrobacter" 0.171809819320412 2.79498373382559e-12
"Defluviitaleaceae UCG-011" 0.171809819320412 2.79498373382559e-12
"Yersinia" 0.171809819320412 2.79498373382559e-12
"[Acetivibrio] ethanolgignens group" 0.171809819320412 2.79498373382559e-12
"[Eubacterium] hallii group" 0.171809819320412 2.79498373382559e-12
"Corynebacterium 1" 0.18044752610583 3.25629503166811e-12
"Harryflintia" 0.171809819320412 2.79498373382559e-12
"Rhodococcus" 0.255311519488193 1.28690668808628e-11
"Staphylococcus" 0.184308784785321 3.48772163420965e-12
"1174-901-12" 0.171809819320412 2.79498373382559e-12
"Acidothermus" 0.171809819320412 2.79498373382559e-12
"Aetherobacter" 0.171809819320412 2.79498373382559e-12
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium" 0.171809819320412 2.79498373382559e-12
"Anoxybacillus" 0.171809819320412 2.79498373382559e-12
"Brochothrix" 0.171809819320412 2.79498373382559e-12
"Burkholderia-Caballeronia-Paraburkholderia" 0.171809819320412 2.79498373382559e-12
"Caulobacter" 0.171809819320412 2.79498373382559e-12
"Cedecea" 0.171809819320412 2.79498373382559e-12
"Cutibacterium" 0.171809819320412 2.79498373382559e-12
"Enterobacter" 0.171809819320412 2.79498373382559e-12
"Erwinia" 0.171809819320412 2.79498373382559e-12
"Granulicella" 0.171809819320412 2.79498373382559e-12
"Lelliottia" 0.171809819320412 2.79498373382559e-12
"Paludibacter" 0.171809819320412 2.79498373382559e-12
"Phenylobacterium" 0.171809819320412 2.79498373382559e-12
"Phyllobacterium" 0.171809819320412 2.79498373382559e-12
"Rothia" 0.171809819320412 2.79498373382559e-12
"Schlegelella" 0.171809819320412 2.79498373382559e-12
"Sphingomonas" 0.171809819320412 2.79498373382559e-12
"Streptococcus" 0.171809819320412 2.79498373382559e-12
