"W" "Pvalue"
"[Eubacterium] coprostanoligenes group" 0.953332550295151 0.257977312507577
"[Eubacterium] eligens group" 0.867595831967976 0.00262155361861228
"[Eubacterium] oxidoreducens group" 0.678363186444836 1.96632128830846e-06
"[Eubacterium] ventriosum group" 0.772453890423451 4.73030789682659e-05
"[Ruminococcus] torques group" 0.925066264684078 0.0523631366859379
"Agathobacter" 0.685246726957812 2.43314591677963e-06
"Akkermansia" 0.43943176864955 4.30502595620593e-09
"Blautia" 0.709166744900126 5.2137884473145e-06
"Candidatus Soleaferrea" 0.960967288832537 0.388732876767989
"Christensenellaceae R-7 group" 0.942980311765693 0.144311826562913
"Coprococcus 3" 0.940619018605183 0.126208470361568
"DNF00809" 0.857723367252993 0.0016440872350159
"Enterorhabdus" 0.93387233375669 0.0860394690816523
"Faecalibacterium" 0.814217885026465 0.000243794214288993
"Family XIII AD3011 group" 0.740773537590583 1.51112248997567e-05
"Family XIII UCG-001" 0.970169683946869 0.606301011023919
"Fibrobacter" 0.773797342804783 4.97391858337512e-05
"Flavonifractor" 0.962572804244562 0.422170836112698
"Lachnoclostridium" 0.894244138344847 0.00990094442258422
"Lachnospiraceae AC2044 group" 0.974022615075371 0.710135319119909
"Lachnospiraceae FCS020 group" 0.945988790213639 0.17110704454144
"Lachnospiraceae NC2004 group" 0.94090518045198 0.128276630340794
"Lachnospiraceae ND3007 group" 0.934381808149057 0.0885614513219436
"Lachnospiraceae NK4A136 group" 0.888960914850654 0.00754484440795881
"Lachnospiraceae UCG-001" 0.955461330705521 0.289896706462735
"Lachnospiraceae UCG-004" 0.906891683516052 0.0192992488442778
"Lachnospiraceae UCG-008" 0.80288406810306 0.000153614901641001
"Lachnospiraceae XPB1014 group" 0.912701321266477 0.0264280033268712
"Marvinbryantia" 0.912660832085552 0.0263697383981199
"Roseburia" 0.943676834921231 0.150124723905251
"Ruminiclostridium" 0.976740312583659 0.7825326347345
"Ruminiclostridium 5" 0.937380140984991 0.104995122055878
"Ruminiclostridium 6" 0.971456978132477 0.640690813792059
"Ruminiclostridium 9" 0.980143050512981 0.865567074607833
"Ruminococcaceae NK4A214 group" 0.953522043859302 0.260684722320991
"Ruminococcaceae UCG-002" 0.954211181386712 0.27074867497053
"Ruminococcaceae UCG-003" 0.880260562103309 0.00486644988471977
"Ruminococcaceae UCG-005" 0.943156045040993 0.145757232630041
"Ruminococcaceae UCG-009" 0.972092897785708 0.657845039306974
"Ruminococcaceae UCG-010" 0.967013274036361 0.525149672762748
"Ruminococcaceae UCG-011" 0.849341088834512 0.00111774579046211
"Ruminococcaceae UCG-013" 0.916093263134586 0.0318202538681669
"Ruminococcaceae UCG-014" 0.963801669995292 0.449167301925987
"Ruminococcus 1" 0.87913118824234 0.00460094409960395
"Ruminococcus 2" 0.678659113040494 1.98430122558608e-06
"Tyzzerella 4" 0.867780552568817 0.00264487955410806
"Acetitomaculum" 0.647502302260863 7.81077085037792e-07
"Alistipes" 0.60657489560791 2.46831786402078e-07
"Anaerosporobacter" 0.776420154683518 5.48875440892824e-05
"Campylobacter" 0.80840646483656 0.000192063615114577
"Intestinibacter" 0.193008766856063 3.89711745222697e-11
"Intestinimonas" 0.626743181698112 4.31262636142058e-07
"Lachnoclostridium 10" 0.889412277007165 0.00772081215133337
"Olsenella" 0.595466876194471 1.8289201198401e-07
"Papillibacter" 0.675599128417298 1.80648385477263e-06
"Peptococcus" 0.553191287752714 6.11142749088572e-08
"Syntrophococcus" 0.357914285051881 7.95036428194621e-10
"[Eubacterium] xylanophilum group" 0.285955954934572 2.01122219641255e-10
"Coriobacteriaceae UCG-002" 0.626757018420552 4.31430476362786e-07
"Lachnospira" 0.624183983793487 4.01376674368835e-07
"Lachnospiraceae UCG-003" 0.560138880209557 7.2839252395557e-08
"Oxalobacter" 0.882930856030255 0.00556089369304697
"Parasutterella" 0.817286042102362 0.000276910647755108
"Lachnospiraceae NK3A20 group" 0.495618077579414 1.52012326231895e-08
"possible genus Sk018" 0.908027681423194 0.0205150790912357
"Ruminococcaceae UCG-004" 0.416955995756161 2.66046328306897e-09
"[Eubacterium] brachy group" 0.502290680713283 1.77645101053819e-08
"Helicobacter" 0.452082729132615 5.67646305447712e-09
"Lachnoclostridium 5" 0.193008766856063 3.89711745222697e-11
"Pseudoramibacter" 0.350533083509484 6.87265493374911e-10
"Anaerofustis" 0.193008766856063 3.89711745222697e-11
"Anaerostipes" 0.20656637976011 4.90938293847862e-11
"Caldicoprobacter" 0.445930626670957 4.95959788594824e-09
"Tyzzerella" 0.298984227378399 2.56087283594299e-10
"Acinetobacter" 0.193008766856063 3.89711745222697e-11
"Comamonas" 0.193008766856063 3.89711745222697e-11
"GCA-900066575" 0.555909128698512 6.544405817665e-08
"Kurthia" 0.193008766856063 3.89711745222697e-11
"Lachnospiraceae UCG-009" 0.582003617513316 1.28035850625114e-07
"Stenotrophomonas" 0.193008766856063 3.89711745222697e-11
"Romboutsia" 0.458636770068197 6.56174496618069e-09
"Anaeroplasma" 0.301534453115441 2.68585927337927e-10
"Butyricicoccus" 0.41464009701073 2.53353269340644e-09
"Moryella" 0.193008766856063 3.89711745222697e-11
"Pseudomonas" 0.193008766856063 3.89711745222697e-11
