"W" "Pvalue"
"[Eubacterium] coprostanoligenes group" 0.766867873528526 0.00403197759507327
"[Eubacterium] fissicatena group" 0.913509658964514 0.236577239555479
"[Ruminococcus] torques group" 0.809628446409641 0.0120801197064915
"Acinetobacter" 0.676930239755422 0.000509757295240927
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium" 0.741611962534106 0.00218739412141677
"Anaerofustis" 0.783120316556529 0.0060608668288624
"Anaerotruncus" 0.695791696572338 0.000767786150645748
"Angelakisella" 0.606692495474235 0.000122041230925772
"Bacillus" 0.597548596094299 0.000102339437668877
"Bacteroides" 0.817128055956401 0.0147678953892517
"Candidatus Soleaferrea" 0.680136266478015 0.000546059591773163
"Carnobacterium" 0.326927536275284 1.2072845591109e-06
"Catabacter" 0.326927536275284 1.2072845591109e-06
"Citrobacter" 0.398818389167809 3.47644508476417e-06
"Clostridioides" 0.338643569973958 1.4274009181857e-06
"Clostridium sensu stricto 1" 0.643128559889786 0.000251672532947919
"Enterobacter" 0.512235361834676 2.17764361297829e-05
"Enterococcus" 0.341464688791362 1.48654672549461e-06
"Erysipelatoclostridium" 0.913614833484012 0.237309103412092
"Escherichia-Shigella" 0.425529361167268 5.25095810111497e-06
"Eubacterium" 0.872578082996596 0.0704670049516128
"GCA-900066225" 0.923541010745609 0.316625815947775
"Gordonibacter" 0.766394517490453 0.00398506739807537
"Harryflintia" 0.672435564737223 0.000463147602031407
"Hydrogenoanaerobacterium" 0.549636378234223 4.20626368735888e-05
"Klebsiella" 0.420207081335599 4.83237527718373e-06
"Lachnoclostridium" 0.92674025405776 0.346837632759901
"Lachnospiraceae AC2044 group" 0.626575210656373 0.000180329346415886
"Lachnospiraceae NC2004 group" 0.742240199367011 0.00222023342384572
"Lachnospiraceae NK4A136 group" 0.646126316315941 0.000267557482497128
"Lachnospiraceae UCG-008" 0.567016961022763 5.77115063824907e-05
"Lactococcus" 0.498828676263706 1.73193297962655e-05
"Methylobacterium" 0.440644481995339 6.66490589886352e-06
"Microbacterium" 0.326927536275284 1.2072845591109e-06
"Ochrobactrum" 0.858276365753664 0.0465187652954254
"Oscillibacter" 0.599592020508349 0.00010642654185968
"Oxalobacter" 0.712807616522696 0.0011225951169219
"Parabacteroides" 0.539556141215009 3.51211635942768e-05
"Pseudomonas" 0.718874855297823 0.00128863581737654
"Rhodococcus" 0.740793624198748 0.00214539488212027
"Robinsoniella" 0.832158623143749 0.0222606884329624
"Ruminiclostridium" 0.663748208020333 0.00038549123429234
"Ruminiclostridium 5" 0.925695827587762 0.336711723896354
"Ruminiclostridium 9" 0.729248241322059 0.00163650304902365
"Ruminococcaceae UCG-008" 0.698253115320792 0.000810653287452035
"Ruminococcaceae UCG-013" 0.326927536275284 1.2072845591109e-06
"Ruminococcaceae UCG-014" 0.752524518461604 0.00283991319084121
"Stenotrophomonas" 0.487733731119933 1.43671556800786e-05
"Tyzzerella" 0.793378801395331 0.00788560513530391
