"W" "Pvalue"
"[Eubacterium] coprostanoligenes group" 0.746912138385579 0.0049924698523695
"[Eubacterium] fissicatena group" 0.570741244007794 4.33804944954735e-05
"[Eubacterium] ruminantium group" 0.461588971533501 2.25743319388003e-06
"[Eubacterium] ventriosum group" 0.667570678905853 0.000592787145142761
"[Eubacterium] xylanophilum group" 0.536930116141448 1.73792825680779e-05
"[Ruminococcus] torques group" 0.915351635429417 0.355146496121686
"Acetitomaculum" 0.868590405377485 0.118745944592747
"Akkermansia" 0.581778593813691 5.84667056145979e-05
"ASF356" 0.893602252118107 0.21720143153227
"Bacteroides" 0.973059981604325 0.919557729293306
"Blautia" 0.821130026340904 0.0354855066430355
"Bosea" 0.389841297787206 3.21749285541393e-07
"Candidatus Soleaferrea" 0.917598207992021 0.372725935446409
"Christensenellaceae R-7 group" 0.862574148269807 0.102258239799626
"Coprococcus 3" 0.884881890672958 0.176623493262134
"Dielma" 0.954662892326169 0.741152743742232
"DNF00809" 0.739720108483928 0.0041191933546479
"Dorea" 0.852478849357609 0.0793482364324958
"Enterorhabdus" 0.892758655391686 0.21294272277551
"Faecalibacterium" 0.664429312369984 0.000544661072406712
"Family XIII AD3011 group" 0.771665748233486 0.00965501327302267
"Family XIII UCG-001" 0.9078508353337 0.301120997934985
"Fusicatenibacter" 0.835137276959169 0.0509773467911517
"Intestinimonas" 0.858116025034124 0.091459279429532
"Lachnoclostridium" 0.867810440310192 0.1164759062082
"Lachnoclostridium 10" 0.850766921976049 0.0759836939613809
"Lachnospira" 0.868410663055549 0.118219176214156
"Lachnospiraceae NC2004 group" 0.556973344093238 2.9892825909071e-05
"Lachnospiraceae ND3007 group" 0.741100197316442 0.00427409374035179
"Lachnospiraceae NK4A136 group" 0.869595347446639 0.121731761418997
"Lachnospiraceae UCG-001" 0.936750312764207 0.548137474306633
"Lachnospiraceae UCG-006" 0.773335805914423 0.0100928512938059
"Lachnospiraceae UCG-008" 0.864347400947868 0.106879422600961
"Lachnospiraceae UCG-010" 0.953316075237716 0.726447080334493
"Lachnospiraceae XPB1014 group" 0.725270309641736 0.00279732797215303
"Lactonifactor" 0.96564197795273 0.855106248633824
"Marvinbryantia" 0.989128256374199 0.99478698159848
"Megasphaera" 0.964972762302619 0.848650486719379
"Negativibacillus" 0.721471392170485 0.00252638312791552
"Oscillospira" 0.778686457376202 0.0116321324040419
"Oxalobacter" 0.921875910177822 0.407997075747749
"p-1088-a5 gut group" 0.808554723210132 0.0255600744367538
"Papillibacter" 0.970620423562126 0.899982902038071
"Peptococcus" 0.930820586395962 0.489198492929653
"Phascolarctobacterium" 0.822631174680813 0.0368966685543705
"Prevotella 1" 0.858953585627088 0.0934020255237393
"Prevotella 7" 0.901211499022732 0.259102980160203
"Prevotellaceae NK3B31 group" 0.389841297787206 3.21749285541393e-07
