"W" "Pvalue"
"Bacteroides" 0.388843256144298 1.85384474632708e-07
"Cellulosilyticum" 0.538339045898945 1.02702652123638e-05
"Cetobacterium" 0.870847247325353 0.102263705094455
"Clostridium sensu stricto 1" 0.951216848662666 0.68291157427139
"Clostridium sensu stricto 13" 0.641015407369412 0.000171169274842272
"Edwardsiella" 0.673048888846421 0.000415923839786142
"Enterobacter" 0.811431395829551 0.019956731319542
"Epulopiscium" 0.565754341890236 2.16635078140716e-05
"Escherichia-Shigella" 0.763647856587872 0.00523304625999482
"Fusobacterium" 0.923320328330493 0.385481798726849
"Helicobacter" 0.814947505614102 0.022013836703246
"Lachnoclostridium" 0.365720627414263 1.00369281388907e-07
"Myroides" 0.412445365647391 3.47437447862406e-07
"Paeniclostridium" 0.876041340588583 0.117484633124148
"Paraeggerthella" 0.538143831240331 1.0215951627524e-05
"Peptoniphilus" 0.400749059087338 2.54437614842081e-07
"Peptostreptococcus" 0.550530972963855 1.43070563739262e-05
"Plesiomonas" 0.890605980516077 0.172260581041659
"Psychrobacter" 0.655123280209397 0.000252925204693252
"Romboutsia" 0.540852230240256 1.09960023632075e-05
"Sarcina" 0.66064713042027 0.000294776688724084
"Terrisporobacter" 0.625820046465485 0.000112522916365494
"Campylobacter" 0.421806049780304 4.45970805689665e-07
"Clostridium sensu stricto 7" 0.646191526719008 0.000197511502783766
"Paraclostridium" 0.792511003758792 0.011756035293431
"Peptoclostridium" 0.365720627414263 1.00369281388907e-07
"Bacillus" 0.535248427928826 9.44348246177809e-06
"Blautia" 0.365720627414263 1.00369281388907e-07
"Clostridium sensu stricto 11" 0.689812485341761 0.000663107258704751
"Clostridium sensu stricto 2" 0.365720627414263 1.00369281388907e-07
"Flavobacterium" 0.365720627414263 1.00369281388907e-07
"Sporosarcina" 0.445698892579866 8.44696813652316e-07
"Tyzzerella 3" 0.365720627414263 1.00369281388907e-07
"Tyzzerella 4" 0.365720627414263 1.00369281388907e-07
"Actinomyces" 0.75340877799754 0.00392666088980687
"Herbinix" 0.365720627414263 1.00369281388907e-07
"Acinetobacter" 0.512209702994993 5.05825315585287e-06
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium" 0.365720627414263 1.00369281388907e-07
"Arthrobacter" 0.538686212992328 1.03675745007725e-05
"Brachybacterium" 0.365720627414263 1.00369281388907e-07
"Brochothrix" 0.500970332697577 3.7332969255765e-06
"Carnobacterium" 0.571832795160925 2.55741380674991e-05
"Enterococcus" 0.614020059748523 8.13003102767693e-05
"Glutamicibacter" 0.365720627414263 1.00369281388907e-07
"Hafnia-Obesumbacterium" 0.474740406781317 1.84139152879462e-06
"Kurthia" 0.686603986857633 0.000606419095134533
"Leucobacter" 0.365720627414263 1.00369281388907e-07
"Lysinibacillus" 0.702654166906844 0.000948634883236232
"Ochrobactrum" 0.365720627414263 1.00369281388907e-07
"Pseudomonas" 0.46591705780348 1.45267274088687e-06
"Psychrobacillus" 0.365720627414263 1.00369281388907e-07
"Sphingomonas" 0.458833936121975 1.20114912320412e-06
"Streptococcus" 0.38181951508335 1.53832795468296e-07
"Clostridium sensu stricto 5" 0.365720627414263 1.00369281388907e-07
"Erysipelothrix" 0.455215297019255 1.09004873548458e-06
"Herbaspirillum" 0.365720627414263 1.00369281388907e-07
"Ignatzschineria" 0.537239055297865 9.96796935383252e-06
"Jeotgalicoccus" 0.376112289778831 1.32209836811604e-07
"Lactococcus" 0.625065202161962 0.000110205461040837
"Proteus" 0.433912285828232 6.16231699503346e-07
"Savagea" 0.365720627414263 1.00369281388907e-07
"Serratia" 0.657325906915304 0.00026884505446022
"Tissierella" 0.594420093360133 4.74543821948869e-05
"Vagococcus" 0.834834305282051 0.0382556193524585
"Chlamydia" 0.365720627414263 1.00369281388907e-07
"Clostridium sensu stricto 15" 0.48265323757811 2.27831418292216e-06
"Clostridium sensu stricto 4" 0.465641520728177 1.4419630484866e-06
"Dielma" 0.749200360275511 0.00348955787187458
"Hathewaya" 0.715237961121318 0.0013481894544484
"Mycoplasma" 0.695286238337057 0.000772391814741534
"Parvimonas" 0.599395301149516 5.43942039882766e-05
"Macellibacteroides" 0.526997947824787 7.54952869203206e-06
"Streptobacillus" 0.61783884791253 9.03109213195563e-05
"Buttiauxella" 0.365720627414263 1.00369281388907e-07
"Lactobacillus" 0.365720627414263 1.00369281388907e-07
"Moellerella" 0.756809815934315 0.00431966771158146
"Nosocomiicoccus" 0.365720627414263 1.00369281388907e-07
"Turicibacter" 0.539144053653927 1.0497324879974e-05
"Bergeyella" 0.365720627414263 1.00369281388907e-07
"Lelliottia" 0.365720627414263 1.00369281388907e-07
"Morganella" 0.425322164348771 4.8985876943745e-07
"Afipia" 0.365720627414263 1.00369281388907e-07
"Arsenicicoccus" 0.365720627414263 1.00369281388907e-07
"Atopostipes" 0.365720627414263 1.00369281388907e-07
"Bosea" 0.365720627414263 1.00369281388907e-07
