"W" "Pvalue"
"Acinetobacter" 0.686730014467097 0.000120967517066345
"Bacillus" 0.66486709854459 7.10043640501452e-05
"Buttiauxella" 0.614892483839285 2.24483567480894e-05
"Cetobacterium" 0.400450018730091 3.52590037707144e-07
"Citrobacter" 0.675767888393852 9.23901306716406e-05
"Clostridium sensu stricto 1" 0.76636116386838 0.00100715766203471
"Clostridium sensu stricto 13" 0.355989221823695 1.68025418930332e-07
"Enterobacter" 0.549130331217978 5.56784781337485e-06
"Enterococcus" 0.53878253917984 4.52041961845586e-06
"Epulopiscium" 0.717375047536658 0.000263956012264509
"Glutamicibacter" 0.723100641731396 0.000306803306122332
"Hafnia-Obesumbacterium" 0.795583082625124 0.00238086872087183
"Helicobacter" 0.545188548208846 5.1412350091239e-06
"Klebsiella" 0.501369469057889 2.1757756405359e-06
"Lachnospiraceae NK4A136 group" 0.401635799135882 3.59797203068618e-07
"Lactococcus" 0.762538077651558 0.000903177074366614
"Paeniclostridium" 0.508586936114966 2.49885264597729e-06
"Paraclostridium" 0.601535495218987 1.67374070708448e-05
"Pediococcus" 0.272654922686409 4.55310816542029e-08
"Romboutsia" 0.806928827832031 0.00337119967837444
"Salmonella" 0.730772922821274 0.000376227149547638
"Sarcina" 0.619105196964764 2.46552324825358e-05
"Solibacillus" 0.351388660523768 1.55912349486818e-07
"Terrisporobacter" 0.660161720946979 6.3465995963802e-05
"Chryseobacterium" 0.301246939404339 7.04551577286445e-08
"Comamonas" 0.42155198668178 5.07355108217972e-07
"Dysgonomonas" 0.413743504395345 4.43014273079812e-07
"Kurthia" 0.382089445517632 2.5856644921916e-07
"Lysinibacillus" 0.408405389882644 4.04051629914062e-07
"Macrococcus" 0.272654922686409 4.55310816542029e-08
"Plesiomonas" 0.514278377255438 2.78951408383121e-06
"Pseudomonas" 0.331726407153244 1.13667337456232e-07
"Sporosarcina" 0.404813710295879 3.79894514756292e-07
"Pseudocitrobacter" 0.272654922686409 4.55310816542029e-08
"Sphingobacterium" 0.272654922686409 4.55310816542029e-08
"Turicibacter" 0.438342619392195 6.81785705760555e-07
"Kluyvera" 0.433608040946453 6.26934283659232e-07
"Yokenella" 0.439818171818554 6.99904800799445e-07
"Exiguobacterium" 0.272654922686409 4.55310816542029e-08
"Lelliottia" 0.793683754124336 0.00224794741219018
"Psychrobacillus" 0.505015589120244 2.33304473817479e-06
"Escherichia-Shigella" 0.272654922686409 4.55310816542029e-08
"Raoultella" 0.272654922686409 4.55310816542029e-08
"Carnobacterium" 0.624499683053728 2.78244147580945e-05
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium" 0.272654922686409 4.55310816542029e-08
"Erwinia" 0.410772734466317 4.20861917290103e-07
"Robinsoniella" 0.272654922686409 4.55310816542029e-08
"Viridibacillus" 0.410668251787953 4.2010454668565e-07
"Bradyrhizobium" 0.272654922686409 4.55310816542029e-08
"Cedecea" 0.272654922686409 4.55310816542029e-08
"Cronobacter" 0.32675038608295 1.05029954423816e-07
"Clostridium sensu stricto 5" 0.586545022982635 1.21183997447411e-05
"Morganella" 0.286848249351977 5.64694189711123e-08
"Serratia" 0.314330202890207 8.6367149193147e-08
"Aeromonas" 0.510569085240583 2.59624635663857e-06
"Anaerocolumna" 0.272654922686409 4.55310816542029e-08
"Bacteroides" 0.515181875522529 2.83886980306814e-06
"Proteus" 0.272654922686409 4.55310816542029e-08
"Vagococcus" 0.272654922686409 4.55310816542029e-08
"[Eubacterium] fissicatena group" 0.272654922686409 4.55310816542029e-08
"Paenibacillus" 0.272654922686409 4.55310816542029e-08
"Diaphorobacter" 0.272654922686409 4.55310816542029e-08
"Macellibacteroides" 0.272654922686409 4.55310816542029e-08
