"W" "Pvalue"
"Escherichia-Shigella" 0.654698397252453 0.000249965168882038
"Romboutsia" 0.535344570139634 9.46816375369619e-06
"Cetobacterium" 0.8085874521682 0.0184331452661889
"Clostridium sensu stricto 1" 0.578224003298187 3.04552500764216e-05
"Paeniclostridium" 0.574168739447638 2.72595168652422e-05
"Tyzzerella 3" 0.365720627414263 1.00369281388907e-07
"Actinobacillus" 0.849580224864366 0.0574247682704384
"Phocoenobacter" 0.548333223125155 1.34764818147059e-05
"Fusobacterium" 0.627437250321168 0.000117654338926304
"Paraclostridium" 0.72290244317946 0.00167048006414297
"Ureaplasma" 0.538425114957999 1.02943039603279e-05
"Angelakisella" 0.365720627414263 1.00369281388907e-07
"Photobacterium" 0.708274227460756 0.00110980042981198
"Bacteroides" 0.448152259975041 9.02063141216462e-07
"Helicobacter" 0.365720627414263 1.00369281388907e-07
"Psychrobacter" 0.539987319630628 1.07405944528255e-05
"Tenacibaculum" 0.465041103323237 1.41889993832447e-06
"Vibrio" 0.524385591262869 7.03342173436022e-06
"Campylobacter" 0.688432812088126 0.000638105684213663
"Morganella" 0.365720627414263 1.00369281388907e-07
"Arcobacter" 0.455622188489706 1.10200713712159e-06
"Peptostreptococcus" 0.408245462627439 3.10649682094309e-07
"Sarcina" 0.468675371199337 1.56439306167063e-06
"Shewanella" 0.365720627414263 1.00369281388907e-07
"Acidovorax" 0.365720627414263 1.00369281388907e-07
"Cloacibacterium" 0.365720627414263 1.00369281388907e-07
"HIMB11" 0.365720627414263 1.00369281388907e-07
"Mesonia" 0.365720627414263 1.00369281388907e-07
"Parvimonas" 0.398736084257878 2.4116671563677e-07
"Porphyromonas" 0.549148563396023 1.37787997019219e-05
"Pseudoalteromonas" 0.596281065140624 4.99393182176147e-05
"Sediminispirochaeta" 0.439223674115527 7.10285088018135e-07
"Maritimimonas" 0.440166053972539 7.28421369821804e-07
"[Eubacterium] brachy group" 0.365720627414263 1.00369281388907e-07
"Fusibacter" 0.365720627414263 1.00369281388907e-07
"Marinifilum" 0.365720627414263 1.00369281388907e-07
"Oceanivirga" 0.365720627414263 1.00369281388907e-07
"Peptoniphilus" 0.365720627414263 1.00369281388907e-07
"Pusillimonas" 0.365720627414263 1.00369281388907e-07
"Streptobacillus" 0.365720627414263 1.00369281388907e-07
