"W" "Pvalue"
"Bilateria" 0.272654922686409 4.55310816542029e-08
"Mycoplasma" 0.600249311522063 1.62756787902947e-05
"Pseudomonas" 0.363461378890827 1.89875107891224e-07
"Aeromonas" 0.554388785238834 6.19652822456859e-06
"Cetobacterium" 0.486281212319934 1.63527121166382e-06
"Clostridium sensu stricto 1" 0.410363655296373 4.17904842794043e-07
"Paraclostridium" 0.365598580686994 1.96664756414949e-07
"Plesiomonas" 0.356049331381617 1.68190137655812e-07
"Romboutsia" 0.436515921872151 6.60042066067798e-07
"Vibrio" 0.367279732391417 2.0218643185063e-07
"Flavobacterium" 0.272654922686409 4.55310816542029e-08
"Shewanella" 0.272654922686409 4.55310816542029e-08
"Enterobacter" 0.272654922686409 4.55310816542029e-08
"Francisella" 0.336312067391371 1.2229562531772e-07
"Terrisporobacter" 0.272654922686409 4.55310816542029e-08
"Brevinema" 0.281682972018768 5.21970386252337e-08
