"W" "Pvalue"
"Pseudomonas" 44 5.67013745470267e-10
"Pedobacter" 197 7.47990212433397e-06
"Devosia" 320 0.000936322894514025
"Flavobacterium" 209 2.94211489721445e-05
"Hafnia-Obesumbacterium" 267 0.000458410438714103
"Serratia" 116.5 4.44148483952239e-08
"Arthrobacter" 332.5 0.00587642098925901
"Carnobacterium" 336 0.00201789053019145
"Sanguibacter" 372 0.00490819094018491
"Sphingobacterium" 240 9.99824986418402e-05
"Stenotrophomonas" 256 3.45109129475938e-05
"Subtercola" 321 0.0010068653480174
"Acidovorax" 267 0.000115478167704335
"Chryseobacterium" 198 9.83598715770135e-06
"Janthinobacterium" 202.5 4.0949173084164e-06
"Massilia" 255 0.000115616752542964
"Sphingomonas" 329 0.00576066556881027
"Brevundimonas" 278 0.000129970344832777
"Dyadobacter" 299 0.000428146933987123
"Myroides" 336 0.00201789053019145
"Pseudochrobactrum" 263.5 2.57120611331665e-05
"Rhodoferax" 330 0.00259083745029774
"Duganella" 321 0.0010068653480174
"Variovorax" 294 0.000296660891819913
"Advenella" 341 0.00119479762645971
"Frondihabitans" 356.5 0.00243830080318274
"Herminiimonas" 372 0.00490819094018491
"Noviherbaspirillum" 356.5 0.00243830080318274
"Polaromonas" 333 0.00313645800756289
"Kaistia" 387.5 0.00977437550677138
"Luteolibacter" 387.5 0.00977437550677138
"Methylotenera" 387.5 0.00977437550677138
"Limnohabitans" 372 0.00490819094018491
"Rahnella" 263.5 2.57120611331665e-05
"Raoultella" 321.5 0.00198413328796697
"Yersinia" 341 0.00119479762645971
"Cedecea" 387.5 0.00977437550677138
