"W" "Pvalue"
"[Eubacterium] nodatum group" 0 0.000183667126802903
"[Eubacterium] oxidoreducens group" 0 0.000226262566738465
"[Ruminococcus] torques group" 12 0.0063103041123425
"Agathobacter" 0 0.000226262566738465
"Blautia" 10.5 0.00424987451616516
"Christensenellaceae R-7 group" 0 0.000226262566738465
"Dorea" 2 0.000421373482963671
"Intestinimonas" 0 0.000226262566738465
"Lachnoclostridium 10" 6 0.00134857968317303
"Lachnospiraceae UCG-008" 3 0.000513967024852945
"Roseburia" 0 0.000226262566738465
"Ruminiclostridium" 6 0.00134276059791992
"Ruminococcaceae UCG-005" 0 0.000226262566738465
"Ruminococcus 1" 9 0.00300943754156696
"Tyzzerella 4" 9 0.00300943754156696
"Lachnospiraceae UCG-001" 9.5 0.00172563076014339
"Lachnospiraceae UCG-009" 7 0.000585731003560864
"Ruminiclostridium 5" 4 0.000495676030530215
"XBB1006" 15 0.00633159027911397
"[Eubacterium] eligens group" 8 0.00138042514794151
"[Eubacterium] brachy group" 12 0.000649131166209432
"[Eubacterium] fissicatena group" 18 0.00268077833126934
"Anaerocolumna" 24 0.00994686610852396
"Anaeroplasma" 18 0.00268077833126934
"Candidatus Stoquefichus" 18 0.00268077833126934
"Eisenbergiella" 18 0.00268077833126934
"Erysipelatoclostridium" 12 0.000649131166209432
"Faecalibacterium" 12 0.000649131166209432
"Lachnoclostridium 5" 12 0.000649131166209432
"Parvibacter" 6 0.000138173457954987
"Methanosphaera" 24 0.00994686610852396
"Lachnospiraceae ND3007 group" 18 0.00268077833126934
"Ruminococcaceae UCG-008" 24 0.00994686610852396
