"W" "Pvalue"
"Akkermansia" 103 0.00791161741988458
"Anaerovorax" 57 0.000105865285443005
"Candidatus Soleaferrea" 92 0.00325093874964968
"GCA-900066225" 0 8.20625126484319e-09
"Lachnoclostridium 10" 59 7.82026638617213e-05
"Lachnospiraceae FCS020 group" 121 0.00352233928809764
"Methanocorpusculum" 21 1.02872377230972e-06
"Papillibacter" 72 0.00050929214222123
"Rikenellaceae RC9 gut group" 50 4.7740908972185e-05
"Ruminococcaceae UCG-002" 17 6.77659702752858e-07
"Ruminococcaceae UCG-014" 83 0.00147872740955585
"Ruminococcaceae V9D2013 group" 55 7.93557997050622e-05
"Saccharofermentans" 62.5 0.000117308464753005
"[Anaerorhabdus] furcosa group" 78 0.000143634630383303
