"W" "Pvalue"
"[Eubacterium] coprostanoligenes group" 1 0.00411950941286232
"Lachnospiraceae FCS020 group" 0 0.00238591085689856
"Rikenellaceae RC9 gut group" 0 0.00253743404897013
"Ruminococcaceae NK4A214 group" 0 0.00253743404897013
"Lachnospiraceae ND3007 group" 0 0.00216845664322954
"Roseburia" 0 0.00249906238254123
"Family XIII AD3011 group" 0 0.00216845664322954
"Lachnospiraceae NK3A20 group" 2 0.0050322808897286
"Solobacterium" 3 0.00802966671459287
"Acetitomaculum" 0 0.00138921505504952
"Erysipelotrichaceae UCG-004" 0 0.00138921505504952
"Libanicoccus" 0 0.00138921505504952
"Pseudobutyrivibrio" 0 0.00138921505504952
