"W" "Pvalue"
"Papillibacter" 52.5 0.00141183075090472
"[Eubacterium] coprostanoligenes group" 6 2.03400650681322e-06
"Rikenellaceae RC9 gut group" 23 3.27628495520455e-05
"Ruminococcaceae UCG-010" 55 0.00237702234626837
"Anaerofustis" 46 0.000230861599960135
"Fibrobacter" 68 0.00881285184963139
"Mogibacterium" 48 0.000386578911236088
"Prevotellaceae UCG-003" 43 0.000551497365552893
"Prevotellaceae UCG-004" 22.5 1.53332989361416e-05
"Ruminococcaceae UCG-013" 28 7.01099941386756e-05
"Anaerosporobacter" 43 0.000384053504398654
"Candidatus Soleaferrea" 15 8.82901977516039e-06
"Ruminococcaceae UCG-004" 46 0.000698669500110281
"Ruminococcaceae V9D2013 group" 61 0.00283420035052678
"Oxalobacter" 71 0.00638923222247429
"Ruminococcaceae UCG-011" 52.5 0.000983267591863807
"Peptococcus" 48 0.000386578911236088
"Erysipelotrichaceae UCG-004" 50 0.000514180763519186
"Methanocorpusculum" 1 3.8525164105989e-07
"Ruminiclostridium 5" 53 0.00129484880899781
"[Eubacterium] ruminantium group" 42 0.000194627438459857
"Lachnospiraceae UCG-002" 77 0.00359042857714792
"Sarcina" 56 0.000448441210773133
"Acetitomaculum" 63 0.000929037658114543
"Fonticella" 70 0.00185675461357567
