"W" "Pvalue"
"[Eubacterium] oxidoreducens group" 9 3.8286229361198e-05
"Agathobacter" 1 6.81510548143811e-06
"Blautia" 9 3.79010760236314e-05
"Dorea" 31 0.00194277799309037
"Faecalibacterium" 20 0.000291376582876913
"Lachnospiraceae FCS020 group" 13 8.46930945907443e-05
"Lachnospiraceae NK4A136 group" 15 0.000124286843083892
"Roseburia" 8 3.12182327292545e-05
"Ruminiclostridium" 5 1.6240671053972e-05
"Ruminococcaceae UCG-005" 42 0.0092983364211982
"Ruminococcaceae UCG-013" 11 5.71991754452975e-05
"Ruminococcaceae UCG-014" 37 0.00471375199387845
"Tyzzerella 4" 17 0.00018077131752626
"[Eubacterium] eligens group" 24 0.000309967530465384
"[Ruminococcus] torques group" 8 3.11376475022916e-05
"Erysipelatoclostridium" 16 4.89268131142848e-05
"Intestinimonas" 1 6.61066586403311e-06
"Papillibacter" 0 5.60820482676504e-06
"Ruminiclostridium 5" 13 6.95002982800087e-05
"[Eubacterium] ventriosum group" 8 1.69902618834716e-05
"Bifidobacterium" 17 0.000126090586929936
"[Ruminococcus] gnavus group" 26 0.000151959914761211
"Enterobacter" 26 0.000151959914761211
"Enterococcus" 39 0.000984210819635183
"Pseudochrobactrum" 45.5 0.00230367588800918
"Collinsella" 39 0.000984210819635183
"Fusicatenibacter" 26 0.000151959914761211
"Subdoligranulum" 13 1.81121980637474e-05
