"W" "Pvalue"
"Acinetobacter" 0 0.00194524367134278
"Agathobacter" 1 0.00685541503906661
"Alloprevotella" 0 0.00336797367247685
"Anaerostipes" 0 0.0027470554378156
"Bifidobacterium" 1 0.00582199791648033
"Family XIII UCG-001" 1 0.00582199791648033
"Fibrobacter" 0 0.00194524367134278
"GCA-900066575" 0 0.00194524367134278
"Kurthia" 0 0.00194524367134278
"Lachnoclostridium" 0 0.00405655863278289
"Lachnospiraceae UCG-004" 0 0.00398470651206089
"Olsenella" 0 0.00194524367134278
"Prevotella 7" 0 0.00194524367134278
"Pseudomonas" 3 0.0075121425683417
"Ruminococcaceae UCG-008" 0 0.00405655863278289
"Rummeliibacillus" 3 0.0075121425683417
"Butyricicoccus" 3 0.0075121425683417
