"W" "Pvalue"
"Family XIII UCG-001" 345 0.00611837580851174
"GCA-900066575" 263 0.000680499237905184
"Helicobacter" 243.5 0.000254010905213788
"Lachnospiraceae NC2004 group" 326 0.000492093418761534
"Lachnospiraceae UCG-001" 127 1.02951230459582e-07
"Lachnospiraceae UCG-008" 173 3.9034007319213e-06
"Oscillibacter" 203 2.84394231119433e-05
"Ruminiclostridium" 196 1.88016361885565e-05
"Ruminiclostridium 9" 78 4.71851417310681e-09
"Ruminococcaceae UCG-005" 337.5 0.00989964793507857
"Blautia" 253 0.000174241392427463
"Butyricicoccus" 299 0.00111562486816788
"Eisenbergiella" 316 0.000795422683704012
"Lachnospiraceae UCG-006" 258 0.000505662936307924
"Parabacteroides" 365.5 0.00574969739037244
"Roseburia" 167 2.5435963155284e-06
"Ruminiclostridium 6" 274 0.000755669679264743
"Ruminococcaceae UCG-003" 261 0.000222763014693118
"Ruminococcaceae UCG-009" 289 0.000908006562520303
"UBA1819" 321 0.0018377360502668
"Anaerostipes" 403 0.00626490505033173
