"W" "Pvalue"
"[Eubacterium] eligens group" 119 6.250741620955e-06
"[Eubacterium] oxidoreducens group" 62 8.34006688824931e-08
"[Eubacterium] ventriosum group" 202.5 6.17086148862197e-05
"Agathobacter" 37 7.36733780813671e-10
"Blautia" 131 2.77824871097602e-05
"Coprococcus 3" 136 3.98755845256119e-05
"DNF00809" 105 1.17507094655828e-06
"Enterorhabdus" 63 5.59645104300126e-08
"Family XIII AD3011 group" 224 0.00771382414464639
"Family XIII UCG-001" 3 1.59683540190939e-10
"Fibrobacter" 14 1.45963678945004e-10
"Flavonifractor" 45 1.82527010759926e-09
"Lachnoclostridium" 144 7.06176639788284e-05
"Lachnospiraceae AC2044 group" 75 2.79255303823123e-07
"Lachnospiraceae UCG-001" 83 5.83106243515747e-07
"Lachnospiraceae UCG-004" 40.5 3.92445542587599e-10
"Lachnospiraceae UCG-008" 132 2.65290180932001e-05
"Lachnospiraceae XPB1014 group" 27 1.13854198968e-10
"Ruminiclostridium" 0 2.77973893795187e-11
"Ruminiclostridium 5" 198 0.0019638334740381
"Ruminiclostridium 6" 119 7.83664801440246e-06
"Ruminococcaceae NK4A214 group" 17 9.67975081942509e-10
"Ruminococcaceae UCG-010" 37 7.69794761971754e-09
"Ruminococcaceae UCG-011" 77 2.27760938333534e-07
"Ruminococcaceae UCG-013" 3 2.11344177323626e-10
"Ruminococcaceae UCG-014" 38 8.21973051920334e-09
"Campylobacter" 108 1.0448210899757e-07
"Intestinimonas" 221 0.00328744241296613
"Lachnoclostridium 10" 27 1.13854198968e-10
"Oxalobacter" 149.5 9.20218526299222e-06
"Parasutterella" 224 0.00163859051543799
"possible genus Sk018" 108 1.0448210899757e-07
"Lachnospiraceae UCG-009" 256.5 0.00130939642012997
