"W" "Pvalue"
"[Eubacterium] fissicatena group" 28 0.00600211729592536
"Angelakisella" 30 0.00692625716682633
"Eubacterium" 1 2.34743628247694e-05
"Gordonibacter" 17 0.000818314149942765
"Lachnospiraceae AC2044 group" 25.5 0.00372253114902797
"Robinsoniella" 25 0.0035043779169521
"Ruminiclostridium 5" 23.5 0.00274041277184863
"Ruminiclostridium 9" 18 0.000995695028696917
"Tyzzerella" 10 0.000181067514352034
"Ruminococcaceae UCG-009" 26 0.00286910496102527
"Lactonifactor" 30 0.00587556329272501
"Blautia" 11 0.000225527629852069
"[Eubacterium] brachy group" 17 0.000614632174771488
"Anaerovorax" 24.5 0.00122388950564609
"Anaerocolumna" 42 0.00823657790279134
"Anaerosinus" 36 0.00352705120034146
"Christensenella" 12 6.26543639419655e-05
"Herbaspirillum" 30 0.00142779274304829
"Intestinimonas" 30 0.00142779274304829
"Pygmaiobacter" 24 0.000542166280836783
"Elusimicrobium" 36 0.00352705120034146
