"W" "Pvalue"
"[Eubacterium] coprostanoligenes group" 10 0.00242438136083947
"[Ruminococcus] torques group" 6 0.000834668321371276
"ASF356" 0 4.2678051344495e-05
"Dielma" 15 0.00791304156373155
"Fusicatenibacter" 6 0.000704239394414431
"Lachnoclostridium" 12 0.003981744603275
"Lachnoclostridium 10" 12 0.00251294640964347
"Lachnospira" 3 0.000255537605684913
"Lachnospiraceae ND3007 group" 11 0.00310516936212194
"Lachnospiraceae UCG-006" 3 0.0001703296127961
"Lachnospiraceae UCG-010" 14 0.00483423478435756
"Megasphaera" 9.5 0.00149276706622122
"Oscillospira" 10 0.000567770826526715
"Peptococcus" 0 6.12175917652926e-05
"Phascolarctobacterium" 16 0.00998222665260803
"Prevotella 7" 11 0.00311651748486689
"Ruminiclostridium" 9 0.0018743857575299
"Ruminiclostridium 9" 0 0.000139850135093343
"Ruminococcaceae UCG-002" 7 0.00109982353055653
"Ruminococcaceae UCG-003" 0 0.000139850135093343
"Ruminococcaceae UCG-014" 7 0.00109982353055653
