"wild_only" "both" "captive_only" "wild_only_per" "both_per" "captive_only_per"
"AIME" 169 90 95 47.7401129943503 25.4237288135593 26.8361581920904
"ALGI" 183 70 20 67.032967032967 25.6410256410256 7.32600732600733
"APIB" 84 34 18 61.7647058823529 25 13.2352941176471
"BOGA" 94 83 28 45.8536585365854 40.4878048780488 13.6585365853659
"CENI" 26 95 97 11.9266055045872 43.5779816513761 44.4954128440367
"CHMY" 36 23 33 39.1304347826087 25 35.8695652173913
"ELDA" 4 46 20 5.71428571428571 65.7142857142857 28.5714285714286
"EQKI" 11 75 47 8.27067669172932 56.390977443609 35.3383458646617
"GOGO" 13 60 61 9.70149253731343 44.7761194029851 45.5223880597015
"LALT" 37 113 102 14.6825396825397 44.8412698412698 40.4761904761905
"MOCH" 67 121 119 21.8241042345277 39.413680781759 38.7622149837134
"MYTR" 170 93 99 46.9613259668508 25.6906077348066 27.3480662983425
"PAAN" 32 106 53 16.7539267015707 55.4973821989529 27.7486910994764
"PATI" 64 45 47 41.025641025641 28.8461538461538 30.1282051282051
"PATR" 31 59 51 21.9858156028369 41.8439716312057 36.1702127659575
"PELE" 40 95 23 25.3164556962025 60.126582278481 14.5569620253165
"PEMA" 58 70 8 42.6470588235294 51.4705882352941 5.88235294117647
"PYNE" 13 72 73 8.22784810126582 45.5696202531646 46.2025316455696
"RADY" 69 94 90 27.2727272727273 37.1541501976285 35.5731225296443
"RHBR" 15 92 56 9.20245398773006 56.441717791411 34.3558282208589
"SAHA1" 54 68 36 34.1772151898734 43.0379746835443 22.7848101265823
"SAHA2" 40 35 24 40.4040404040404 35.3535353535354 24.2424242424242
"SHCR" 17 46 17 21.25 57.5 21.25
"TUTR" 22 18 10 44 36 20
"VAHI" 3 12 12 11.1111111111111 44.4444444444444 44.4444444444444
