"n_wild" "mean_wild" "sd_wild" "n_captive" "mean_captive" "sd_captive"
"AIME" 30 33 25.9495531819881 31 22.3548387096774 16.8771016214214
"ALGI" 6 90.3333333333333 49.253087889661 6 49 8.67179335547152
"APIB" 11 20.6363636363636 19.4641862263632 12 10.75 7.55735644016057
"BOGA" 9 47.2222222222222 20.9330944784674 10 47.2 9.58934593992497
"CENI" 7 85 10.3279555898864 12 87.5833333333333 17.3910025500823
"CHMY" 8 13.25 8.24187911999269 7 17.5714285714286 4.85994317035165
"ELDA" 6 29.1666666666667 2.48327740429189 6 40.6666666666667 8.98146239020499
"EQKI" 18 47.3333333333333 5.11054273622905 21 51.4761904761905 7.99136438675554
"GOGO" 6 46.6666666666667 4.22689799577263 6 72.8333333333333 4.16733328000853
"LALT" 19 61 8.82546819658248 14 68.5714285714286 19.0856945449658
"MOCH" 14 77.8571428571429 12.2276933031739 13 100.076923076923 12.8287537616451
"MYTR" 6 80.8333333333333 28.9165465895682 5 91.4 17.1260036202262
"PAAN" 9 78.6666666666667 14.6116391962025 9 100.222222222222 8.49673139768726
"PATI" 13 21.6923076923077 11.018050458109 13 30.6923076923077 6.08802944836033
"PATR" 5 63 2.91547594742265 6 71.3333333333333 3.44480284873702
"PELE" 17 47.1176470588235 8.34327837948891 18 46.3333333333333 11.3604059579494
"PEMA" 32 32.75 11.1326314890491 31 20.5483870967742 9.84154022389253
"PYNE" 27 54.5185185185185 3.28598855715001 27 63.2592592592593 8.56465272811901
"RADY" 12 57.25 16.9283248379213 12 59.25 21.1880111898644
"RHBR" 9 71.4444444444444 4.0034707164881 10 74.5 11.520513105857
"SAHA1" 10 36.7 13.2165720887747 11 28.5454545454545 11.9445689446178
"SAHA2" 6 28.8333333333333 8.56543441202293 6 20.6666666666667 6.15358973824764
"SHCR" 16 25.8125 4.86098412532552 11 25.6363636363636 4.78064278675425
"TUTR" 10 11.9 5.10881590977792 13 6.84615384615385 3.97588887013864
"VAHI" 16 3.6875 2.96015202312314 13 3.84615384615385 3.53190585581765
