"n" "mean" "sd" "n_wild" "mean_wild" "sd_wild" "n_captive" "mean_captive" "sd_captive"
"AIME" 61 27.59 22.286 30 33 25.95 31 22.355 16.877
"ALGI" 12 69.667 40.035 6 90.333 49.253 6 49 8.672
"APIB" 23 15.391 15.066 11 20.455 19.557 12 10.75 7.557
"BOGA" 19 47.211 15.516 9 47.222 20.933 10 47.2 9.589
"CENI" 19 86.632 14.9 7 85 10.328 12 87.583 17.391
"CHMY" 15 15.267 7.005 8 13.25 8.242 7 17.571 4.86
"ELDA" 12 34.917 8.691 6 29.167 2.483 6 40.667 8.981
"EQKI" 39 49.564 7.048 18 47.333 5.111 21 51.476 7.991
"GOGO" 12 59.75 14.239 6 46.667 4.227 6 72.833 4.167
"LALT" 33 64.212 14.361 19 61 8.825 14 68.571 19.086
"MOCH" 27 88.556 16.695 14 77.857 12.228 13 100.077 12.829
"MYTR" 11 85.636 23.788 6 80.833 28.917 5 91.4 17.126
"PAAN" 18 89.444 16.045 9 78.667 14.612 9 100.222 8.497
"PATI" 26 26.192 9.855 13 21.692 11.018 13 30.692 6.088
"PATR" 11 67.545 5.317 5 63 2.915 6 71.333 3.445
"PELE" 35 46.714 9.871 17 47.118 8.343 18 46.333 11.36
"PEMA" 63 26.746 12.11 32 32.75 11.133 31 20.548 9.842
"PYNE" 54 58.889 7.794 27 54.519 3.286 27 63.259 8.565
"RADY" 24 58.25 18.783 12 57.25 16.928 12 59.25 21.188
"RHBR" 19 73.053 8.714 9 71.444 4.003 10 74.5 11.521
"SAHA1" 21 32.429 12.937 10 36.7 13.217 11 28.545 11.945
"SAHA2" 12 24.75 8.292 6 28.833 8.565 6 20.667 6.154
"SHCR" 27 25.741 4.736 16 25.812 4.861 11 25.636 4.781
"TUTR" 22 9.318 5.027 10 11.9 5.109 12 7.167 3.973
"VAHI" 29 3.69 3.095 16 3.625 2.825 13 3.769 3.516
