"n" "mean" "sd" "n_wild" "mean_wild" "sd_wild" "n_captive" "mean_captive" "sd_captive"
"AIME" 61 6.112 9.194 30 8.869 12.526 31 3.444 1.556
"ALGI" 12 25.927 17.965 6 35.82 20.064 6 16.033 8.516
"APIB" 23 5.972 7.553 11 9.047 10.057 12 3.153 2.005
"BOGA" 19 12.624 5.699 9 12.106 6.814 10 13.09 4.815
"CENI" 19 20.899 5.152 7 16.712 2.685 12 23.341 4.673
"CHMY" 15 5.574 3.174 8 4.877 2.945 7 6.371 3.464
"ELDA" 12 11.793 2.35 6 10.728 0.941 6 12.858 2.923
"EQKI" 39 16.304 4.142 18 13.776 2.651 21 18.47 3.992
"GOGO" 12 27.635 6.534 6 21.975 2.602 6 33.295 3.203
"LALT" 33 18.296 6.363 19 17.394 2.884 14 19.52 9.238
"MOCH" 27 19.308 2.684 14 17.339 2.075 13 21.428 1.244
"MYTR" 11 14.349 6.165 6 13.092 6.844 5 15.858 5.59
"PAAN" 18 24.952 11.433 9 26.11 13.64 9 23.794 9.417
"PATI" 26 6.414 2.904 13 4.754 2.415 13 8.073 2.403
"PATR" 11 28.457 6.457 5 24.345 7.236 6 31.884 3.243
"PELE" 35 9.38 3.298 17 9.47 3.218 18 9.295 3.463
"PEMA" 63 5.512 3.083 32 7.179 2.935 31 3.791 2.173
"PYNE" 54 16.24 3.245 27 15.966 2.408 27 16.513 3.938
"RADY" 24 14.523 5.565 12 15.508 6.045 12 13.537 5.108
"RHBR" 19 22.204 4.793 9 23.48 2.261 10 21.056 6.19
"SAHA1" 21 6.699 1.853 10 7.617 1.57 11 5.863 1.742
"SAHA2" 12 7.879 4.072 6 10.138 4.686 6 5.621 1.512
"SHCR" 27 8.463 2.313 16 8.214 2.526 11 8.826 2.024
"TUTR" 22 3.683 2.51 10 5.032 3.078 12 2.559 1.118
"VAHI" 29 1.536 0.928 16 1.606 1.07 13 1.449 0.75
