"n" "mean" "sd" "n_wild" "mean_wild" "sd_wild" "n_captive" "mean_captive" "sd_captive"
"AIME" 61 3.414 2.078 30 4.14 2.663 31 2.711 0.862
"ALGI" 12 3.332 1.244 6 3.829 1.65 6 2.835 0.297
"APIB" 23 2.13 1.013 11 2.478 1.301 12 1.81 0.529
"BOGA" 19 2.632 0.629 9 2.605 0.772 10 2.656 0.51
"CENI" 19 2.788 0.55 7 2.194 0.097 12 3.134 0.368
"CHMY" 15 2.847 1.157 8 2.571 1.308 7 3.162 0.954
"ELDA" 12 3.247 0.353 6 3.206 0.396 6 3.289 0.337
"EQKI" 39 2.774 0.269 18 2.669 0.209 21 2.864 0.286
"GOGO" 12 3.486 0.42 6 3.164 0.146 6 3.807 0.345
"LALT" 33 2.894 0.485 19 2.943 0.377 14 2.828 0.611
"MOCH" 27 2.46 0.482 14 2.048 0.21 13 2.904 0.212
"MYTR" 11 3.26 0.638 6 3.305 0.819 5 3.205 0.416
"PAAN" 18 3.164 0.539 9 3.325 0.609 9 3.003 0.435
"PATI" 26 4.127 1.566 13 3.434 1.625 13 4.82 1.196
"PATR" 11 3.851 0.198 5 3.855 0.274 6 3.848 0.135
"PELE" 35 3.56 0.94 17 3.558 1.012 18 3.562 0.896
"PEMA" 63 2.45 0.804 32 2.747 0.665 31 2.143 0.83
"PYNE" 54 1.973 0.338 27 1.687 0.132 27 2.259 0.214
"RADY" 24 2.911 0.735 12 2.473 0.495 12 3.349 0.683
"RHBR" 19 2.623 0.313 9 2.376 0.201 10 2.845 0.209
"SAHA1" 21 3.931 1.013 10 4.447 1.062 11 3.461 0.725
"SAHA2" 12 4.103 1.133 6 4.656 1.068 6 3.55 0.973
"SHCR" 27 3.669 0.801 16 3.532 0.824 11 3.868 0.759
"TUTR" 22 2.575 1.243 10 3.249 1.462 12 2.013 0.666
"VAHI" 29 1.439 0.738 16 1.499 0.858 13 1.365 0.582
