Taxa	Counts
Acidovorax	628
Acinetobacter	1818
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	3640
Altererythrobacter	70
Anaerosporobacter	40
Bacillus	232
Bordetella	18
Brevundimonas	610
Cellvibrio	372
Chishuiella	164
Chryseobacterium	664
Clostridium sensu stricto 1	28
Comamonas	1668
Delftia	20
Devosia	130
Diaphorobacter	30
Duganella	14
Dyadobacter	48
Dysgonomonas	22
Escherichia-Shigella	14306
Flavobacterium	4960
Fluviicola	174
Gemmobacter	180
Hafnia-Obesumbacterium	24
Herbaspirillum	30
Herminiimonas	32
Hydrogenophaga	76
Janthinobacterium	210
Kaistia	10
Lampropedia	24
Limnohabitans	70
Luteimonas	20
Lysinibacillus	180
Massilia	310
Methylotenera	20
Moheibacter	68
Myroides	228
Noviherbaspirillum	58
Ochrobactrum	28
Paenibacillus	1276
Pedobacter	2237
Pelomonas	52
Polaromonas	32
Providencia	16
Pseudochrobactrum	82
Pseudomonas	2136
Pseudorhodoferax	18
Pseudoxanthomonas	2228
Rahnella	22
Ramlibacter	82
Rhodobacter	36
Rhodoferax	738
Serratia	380
Soonwooa	816
Sphingobacterium	2673
Sphingomonas	654
Sphingopyxis	34
Stenotrophomonas	372
Taibaiella	81
Turicibacter	14
Unclassified	6663
Variovorax	40
Verticia	18
