Taxa	Counts
[Eubacterium] coprostanoligenes group	24
[Eubacterium] hallii group	27
[Eubacterium] oxidoreducens group	2
[Eubacterium] xylanophilum group	27
Acetatifactor	291
Alistipes	466
Bacteroides	11
Blautia	292
Butyrivibrio	35
Coprococcus 2	9
Dorea	2
Eisenbergiella	3
Elusimicrobium	12
Enterobacter	4
Enterorhabdus	3
Flavonifractor	5
GCA-900066575	155
gut metagenome	9
Helicobacter	235
Herbaspirillum	10
Intestinimonas	10
Lachnoclostridium	464
Lachnoclostridium 5	9
Lachnospira	6
Lachnospiraceae AC2044 group	9
Lachnospiraceae FCS020 group	15
Lachnospiraceae NC2004 group	5
Lachnospiraceae NK4A136 group	2531
Lachnospiraceae UCG-001	183
Lachnospiraceae UCG-006	137
Lachnospiraceae UCG-008	6
Lachnospiraceae UCG-009	13
Lactobacillus	101
Mucispirillum	35
Muribaculum	92
Mycoplasma	8
Odoribacter	215
Oscillibacter	193
Oscillospira	9
Parabacteroides	37
Prevotellaceae Ga6A1 group	396
Prevotellaceae UCG-001	109
Rikenella	5
Roseburia	105
Ruminiclostridium	311
Ruminiclostridium 5	24
Ruminiclostridium 6	152
Ruminiclostridium 9	356
Ruminococcaceae NK4A214 group	4
Ruminococcaceae UCG-005	4
Ruminococcaceae UCG-009	9
Ruminococcaceae UCG-014	190
Ruminococcus 1	162
Treponema 2	21
Tyzzerella	7
UBA1819	3
Unclassified	8457
uncultured bacterium	1674
uncultured Bacteroidales bacterium	27
unidentified	4
