"D08036" "D08037" "D08038" "D08039" "D08040" "D08041" "D08042" "D08043" "D08044" "D08045" "D08046" "D08047" "D08048" "D08049" "D08053" "D08054" "D08056" "D08058" "D08060" "D08061" "D08066" "D08067" "D08068" "D08069" "D08072" "D08076" "D08077" "D08078" "D08079" "D08131" "D08133" "D08135" "D08138" "D08139" "D08140" "D08141" "D08146" "D08147" "D08149"
"[Eubacterium] coprostanoligenes group" 614 792 702 952 1771 686 3601 2265 1041 1010 1558 1750 874 691 1708 2526 2523 2264 1863 2227 2212 1771 1566 1792 1770 825 479 678 375 1375 2392 1823 1207 854 705 1180 171 940 610
"[Eubacterium] hallii group" 33 13 0 0 25 35 0 50 0 13 0 0 49 0 35 65 131 48 85 0 0 0 26 0 0 0 0 0 0 69 0 0 0 0 0 8 0 0 0
"[Eubacterium] oxidoreducens group" 23 0 26 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"[Eubacterium] ruminantium group" 56 0 0 62 0 0 0 0 0 0 0 0 0 0 0 39 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0
"Akkermansia" 323 31 59 119 179 278 79 194 94 265 316 2481 321 247 206 112 306 244 341 60 229 615 141 74 229 255 282 197 349 0 48 0 19 0 62 293 0 0 0
"Alloprevotella" 60 169 0 0 0 0 139 68 348 0 0 41 24 0 0 0 0 0 0 0 81 0 0 0 0 0 32 101 0 0 0 97 70 0 0 0 0 0 0
"Anaerovorax" 982 917 1067 1416 1175 1697 1376 1346 915 1448 2038 931 1355 1630 1776 446 665 1495 1313 954 1141 1150 306 490 1782 815 1078 1666 1166 93 376 173 226 197 55 138 210 204 448
"Candidatus Soleaferrea" 548 427 654 329 337 188 488 391 373 219 326 545 568 151 253 209 220 463 417 248 324 232 256 418 198 114 376 130 302 26 0 19 360 0 166 242 0 0 0
"Christensenellaceae R-7 group" 985 1145 978 646 1120 1303 744 1260 559 897 437 1006 1099 508 639 1655 2678 1390 937 623 592 1216 1094 1020 2425 848 829 860 677 715 628 910 599 545 304 1026 258 1052 1877
"Clostridium sensu stricto 1" 38 0 0 0 0 14 0 37 0 0 0 24 41 0 1517 6044 244 1069 1481 349 2107 1791 478 289 762 0 25 0 108 0 16 0 0 16 0 0 0 14 0
