"D07526" "D07527" "D07528" "D07529" "D07530" "D07531" "D07532" "D07533" "D07534" "D07535" "D07536" "D07537" "D07538" "D07539" "D07540" "D07541" "D07542" "D07543" "D07544" "D07545" "D07546" "D07547" "D07548" "D07549" "D07550" "D07551" "D07552"
"[Anaerorhabdus] furcosa group" 42 34 24 34 40 38 0 13 31 18 28 75 7 8 0 0 0 0 6 0 40 33 13 33 0 19 21
"[Eubacterium] coprostanoligenes group" 7109 5491 3366 6337 2523 786 967 510 1310 723 830 4705 1887 1333 372 833 1113 817 998 532 1329 785 1202 2722 1534 2548 1058
"[Eubacterium] nodatum group" 37 19 154 46 35 92 30 21 28 59 21 59 32 48 15 0 17 6 13 20 87 21 23 20 0 5 12
"[Eubacterium] oxidoreducens group" 39 20 11 27 46 13 37 0 10 30 23 7 25 79 820 138 73 79 593 344 25 233 16 48 48 503 529
"[Eubacterium] ruminantium group" 112 19 150 38 62 50 120 45 115 114 202 69 145 3 0 0 0 0 0 0 0 0 0 5 47 10 0
"[Ruminococcus] gauvreauii group" 46 27 0 18 0 25 17 0 0 19 0 24 10 51 0 0 0 0 39 0 0 0 0 0 0 0 0
"28-4" 24 0 0 0 0 0 0 0 34 12 6 30 0 13 0 13 0 0 0 0 0 0 0 0 0 0 8
"Agathobacter" 11 0 31 5 12 0 13 10 20 0 0 11 49 122 43 572 614 520 194 260 237 48 56 98 273 264 116
"Aliicoccus" 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aliidiomarina" 122 0 0 0 0 0 0 0 0 131 34 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Alistipes" 4485 4107 3597 4476 3151 898 1347 2109 2785 1143 2434 4426 1443 175 102 55 0 54 281 658 55 994 104 251 38 69 40
"Alkalibacterium" 42 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Amphibacillus" 30 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anaerostipes" 16 0 0 26 28 71 108 10 37 12 46 11 8 0 10 0 0 5 40 9 0 10 0 0 0 0 0
"Anaerovorax" 28 0 8 27 11 27 0 6 0 24 24 0 7 4 0 0 0 14 0 8 22 0 0 3 0 6 0
"Atopostipes" 1044 1853 79 489 11 0 0 62 0 75 0 38 51 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteroides" 2291 2622 2200 2665 3505 1792 3264 4512 2348 3603 4706 2760 3137 300 299 1485 378 1056 634 2772 2623 3205 983 2391 1219 1119 1390
"Blautia" 108 26 11 0 0 159 113 47 71 116 89 16 0 194 207 299 262 563 523 495 95 255 367 169 145 61 149
"Brevundimonas" 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Candidatus Soleaferrea" 291 646 109 352 197 154 73 125 87 173 36 414 107 45 0 15 23 14 22 53 131 85 27 10 15 81 110
"Candidatus Stoquefichus" 16 16 13 49 18 333 97 12 26 146 193 38 314 9 12 12 29 45 42 0 10 8 4 17 10 0 8
"Catenisphaera" 19 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Christensenellaceae R-7 group" 1987 1491 1219 1687 1266 1789 1650 1391 896 1681 1344 1946 1672 1079 630 900 1707 2719 1442 1025 1572 1226 435 511 984 1041 927
"Clostridium sensu stricto 1" 38 13 9 21 18 60 15 26 53 10 0 27 162 0 0 25 8 0 17 0 0 67 7 0 22 6 0
"Coprococcus 2" 105 33 87 51 75 49 164 83 176 163 482 56 62 15 547 52 56 31 92 953 16 468 5 42 0 522 39
"Coprococcus 3" 290 252 333 478 316 360 226 129 156 468 384 402 1893 199 23 223 367 51 105 70 132 56 111 137 254 102 38
"Corynebacterium 1" 111 0 10 0 29 0 0 16 0 38 19 5 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Demequina" 16 38 15 19 0 0 0 0 0 0 0 13 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"dgA-11 gut group" 1714 450 349 60 429 388 73 458 25 301 113 40 74 0 1475 78 32 0 252 1904 0 3332 18 48 30 5493 1709
"Dielma" 26 57 47 18 0 0 0 11 0 0 0 8 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dorea" 22 41 55 40 19 69 46 35 46 32 37 33 30 128 45 39 164 26 32 50 62 38 66 88 91 48 101
"Eisenbergiella" 24 4 14 17 0 15 9 30 13 22 25 0 23 0 0 15 0 0 13 0 26 0 0 0 0 0 0
"Erysipelotrichaceae UCG-004" 38 15 0 35 0 13 0 0 24 76 0 22 0 0 0 0 0 4 373 0 0 0 0 0 0 18 70
"Erysipelotrichaceae UCG-009" 74 0 24 22 0 0 0 0 0 0 0 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Facklamia" 40 122 6 0 0 0 0 11 0 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Faecalibacterium" 19 42 9 125 18 0 0 0 0 0 0 12 7 18 36 56 98 50 51 19 19 111 35 11 49 48 45
"Flaviflexus" 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCA-900066575" 14 0 0 0 0 30 39 16 0 0 0 0 0 0 0 0 0 21 58 0 0 0 14 9 37 0 12
"Halocynthiibacter" 10 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Halomonas" 179 232 211 134 138 19 61 42 57 415 224 322 45 0 17 0 21 0 24 0 9 57 104 121 39 8 6
"Hydrogenoanaerobacterium" 37 83 27 0 36 0 0 0 0 74 0 55 0 36 0 47 30 33 30 0 85 0 29 66 41 0 16
"Jeotgalicoccus" 171 22 0 0 0 0 0 76 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Kandleria" 377 16 8 54 739 15 31 0 0 0 16 52 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnoclostridium" 97 84 48 314 82 88 79 197 107 54 129 54 165 118 0 83 7 31 49 0 52 23 12 34 29 27 51
"Lachnoclostridium 10" 109 61 147 76 124 134 164 152 152 173 249 76 194 170 85 478 233 167 0 330 32 216 82 37 106 635 293
"Lachnospiraceae AC2044 group" 461 116 278 392 153 939 394 644 811 561 1218 236 938 21 505 100 296 299 95 1449 298 1146 31 56 36 586 645
"Lachnospiraceae FCS020 group" 208 41 171 104 47 63 97 137 179 70 21 76 67 187 84 177 566 525 454 460 99 334 52 234 375 577 382
"Lachnospiraceae NK3A20 group" 17 24 28 15 16 36 7 0 0 13 0 81 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnospiraceae NK4A136 group" 796 466 382 650 538 595 1186 655 820 607 722 412 780 699 1314 1117 935 1033 1316 3052 991 2427 389 737 795 2105 950
"Lachnospiraceae NK4B4 group" 9 0 6 0 11 0 36 64 40 0 16 0 13 0 0 0 0 0 0 0 0 0 0 0 7 0 0
"Lachnospiraceae UCG-001" 20 27 81 70 55 156 124 51 61 149 185 28 137 14 0 0 12 0 0 37 36 37 0 14 11 0 0
"Lachnospiraceae UCG-008" 70 105 267 314 75 64 75 166 165 71 80 238 101 16 20 0 19 17 138 150 114 70 0 54 0 21 47
"Lacticigenium" 20 83 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mailhella" 110 181 105 126 135 0 38 23 34 46 115 90 46 25 9 11 0 16 11 0 31 0 7 0 0 37 13
"Marvinbryantia" 21 11 43 50 42 94 122 18 0 124 96 28 135 57 126 56 0 18 281 0 0 0 138 15 40 42 42
"Meridianimaribacter" 16 0 85 0 0 0 0 0 0 0 0 4 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0
