"D12481" "D12491" "D12494" "D12500" "D12507" "D12513" "D12516" "D12519" "D12542" "D12546" "D12547" "D12567" "D12571" "D12606" "D12609" "D12635" "D12656" "D12699" "D12722" "D12724" "D12726" "D12728" "D12730" "D12732" "D12734" "D12736" "D12738" "D12740"
"Escherichia-Shigella" 1214 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 16 25 0
"Romboutsia" 1188 0 0 0 0 0 0 47 0 0 0 0 31 0 0 0 0 68 0 30 0 0 0 0 0 0 29 0
"Cetobacterium" 0 405 318 0 4754 22 0 827 0 0 405 29 52 342 925 5328 4584 36 72 1028 2866 106 29 1485 2226 6 142 30
"Clostridium sensu stricto 1" 0 515 162 0 0 0 0 0 0 0 6 22 272 0 846 121 17 14 0 79 281 0 27 1749 184 19 120 167
"Paeniclostridium" 0 57 0 0 0 0 0 120 0 0 63 239 18 0 198 90 85 0 0 0 14 15 15 44 248 0 0 0
"Peptoclostridium" 0 11 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tyzzerella 3" 0 0 77 0 0 0 15 0 0 91 0 128 324 14 5 0 12 0 0 0 0 0 0 0 0 0 0 16
"Unclassified" 0 0 6 0 0 0 40 13 0 700 20 364 21 0 78 90 12 8 8 108 20 26 0 110 49 0 0 144
"Actinobacillus" 0 0 0 243 0 0 0 640 0 39 2125 924 2306 16 1599 1233 15 241 306 242 99 471 236 18 105 60 324 427
"Erysipelatoclostridium" 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Phocoenobacter" 0 0 0 981 0 0 0 1513 0 0 0 242 21 2192 0 0 1144 12 387 37 0 64 0 0 73 0 0 137
"Fusobacterium" 0 0 0 0 40 0 0 0 0 0 7 16 0 0 292 49 19 0 67 0 12 29 0 0 0 0 0 107
"Candidatus Arthromitus" 0 0 0 0 0 0 0 16 24 18 45 16 0 0 2 3 5 0 0 0 0 0 0 0 0 0 0 0
"Lactobacillus" 0 0 0 0 0 0 0 3 0 52 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 0
"Paraclostridium" 0 0 0 0 0 0 0 10 0 0 0 0 0 0 16 0 0 0 0 1442 106 0 70 132 585 25 485 72
"Ureaplasma" 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 63 0 0 0 0 0 100
"Pseudahrensia" 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Angelakisella" 0 0 0 0 0 0 0 0 0 0 62 22 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0
"Photobacterium" 0 0 0 0 0 0 0 0 0 0 39 0 0 0 0 0 0 124 0 41 177 31 507 12 269 1573 685 0
"Bacteroides" 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 203 0 0 52 0 31 0 0 0 0 0 0 0
"Helicobacter" 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0
"Ilumatobacter" 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruegeria" 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sedimentitalea" 0 0 0 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Thalassobius" 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clostridium sensu stricto 13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 0 0 0 0 0 0 0
"Psychrobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 0 0 3 42 0 14 148 0 10 0 0 43
"Tenacibaculum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 4 0 10 0 0 9 0 0 65
"Terrisporobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0
"Vibrio" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 953 0 0 0 622 0 0 0 0 383 0
"Campylobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 170 29 30 0 57 0 0 225 0 16
"Morganella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0
"Arcobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 76
"Peptostreptococcus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 30 0 0 0 0 0 0
"Sarcina" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 37 0 0 0 0
"Shewanella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0
"Acidovorax" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0
"Cloacibacterium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0
"HIMB11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0
"Mesonia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0
"Parvimonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 56
"Porphyromonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 2 0 0 25
"Pseudoalteromonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 86 91 0 0 22 0 0
"Sediminispirochaeta" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 18
"SUP05 cluster" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0
"Maritimimonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 43
"uncultured Eubacterium sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0
"[Eubacterium] brachy group" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
"Fusibacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
"Marinifilum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
"Oceanivirga" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 39
"Peptoniphilus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16
"Pusillimonas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31
"Streptobacillus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8
