"D00344" "D00345" "D00346" "D00347" "D00348" "D00349" "D00350" "D00351" "D00360" "D00361" "D00362" "D00363" "D00364" "D00365" "D00366"
"Clostridium sensu stricto 1" 5451 22911 8771 6480 8065 2962 0 6715 6026 3004 9290 0 32478 358 7997
"Clostridium sensu stricto 13" 249 406 340 246 717 0 0 1416 191 1044 134 0 305 0 121
"Intestinibacter" 626 995 1296 689 2305 217 0 1484 269 0 211 0 361 0 219
"Lachnospiraceae UCG-007" 2395 628 2256 718 2813 0 0 0 0 0 0 0 415 0 234
"Terrisporobacter" 726 4907 1321 679 880 1050 398 2857 883 1152 778 0 1308 412 665
"Unclassified" 59751 78945 51190 74557 67514 26070 7533 71081 82370 92139 34958 86778 46146 76605 44626
"[Eubacterium] fissicatena group" 0 208 0 0 0 307 0 86 517 0 0 284 0 370 119
"Cellulosilyticum" 0 202 0 0 0 297 0 862 135 0 313 762 353 115 0
"Clostridium sensu stricto 2" 0 129 0 0 0 0 0 0 638 0 0 0 0 0 0
"Lachnoclostridium 12" 0 566 0 0 110 0 0 0 0 0 0 0 0 0 0
"Ruminiclostridium" 0 178 49 149 75 0 0 0 0 0 0 0 0 0 0
"Sarcina" 0 835 100 0 0 0 0 0 735 0 65 0 0 0 0
"[Eubacterium] ventriosum group" 0 0 46 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnoclostridium 10" 0 0 837 0 0 818 0 1380 0 0 0 0 0 0 0
"Turicibacter" 0 0 93 0 0 0 0 336 0 0 0 0 231 0 0
"Anaerosporobacter" 0 0 0 0 0 331 0 286 0 0 0 571 0 0 0
"Anaerostipes" 0 0 0 0 0 230 0 0 0 0 0 0 0 0 0
"Bacteroides" 0 0 0 0 0 41844 0 152 0 0 25 0 765 61 592
"Burkholderia-Caballeronia-Paraburkholderia" 0 0 0 0 0 75 29883 64 0 0 0 0 0 0 0
"Clostridioides" 0 0 0 0 0 124 0 0 0 0 0 0 0 0 0
"Epulopiscium" 0 0 0 0 0 319 0 291 0 311 0 0 129 0 263
"Erysipelatoclostridium" 0 0 0 0 0 35602 0 489 0 0 0 78 0 0 0
"Hungatella" 0 0 0 0 0 644 0 0 0 0 0 2626 0 0 0
"Lachnoclostridium" 0 0 0 0 0 134 0 0 0 0 0 718 0 71 0
"Lachnospira" 0 0 0 0 0 4398 0 0 0 0 0 0 0 0 0
"Oscillibacter" 0 0 0 0 0 522 0 170 187 0 77 154 899 1537 660
"Robinsoniella" 0 0 0 0 0 1517 0 0 0 0 0 0 0 0 0
"Salvia miltiorrhiza" 0 0 0 0 0 146 0 0 0 0 0 0 0 0 0
"28-YEA-48" 0 0 0 0 0 0 1609 0 0 0 0 0 0 0 0
"Acinetobacter" 0 0 0 0 0 0 891 0 0 0 0 0 0 0 0
"Altererythrobacter" 0 0 0 0 0 0 175 0 0 0 0 0 0 0 0
"Asinibacterium" 0 0 0 0 0 0 571 0 0 0 62 0 0 0 0
"Brevibacterium" 0 0 0 0 0 0 7973 0 0 0 0 0 0 0 0
"Cutibacterium" 0 0 0 0 0 0 336 0 0 0 0 0 0 0 0
"Delftia" 0 0 0 0 0 0 778 0 0 0 0 0 0 0 0
"Enhydrobacter" 0 0 0 0 0 0 816 0 0 0 0 0 0 0 0
"Escherichia-Shigella" 0 0 0 0 0 0 583 0 0 0 0 0 0 0 0
"Fusobacterium" 0 0 0 0 0 0 1771 0 0 0 0 0 91 0 0
"Hymenobacter" 0 0 0 0 0 0 658 0 0 0 0 0 0 0 0
"Lactobacillus" 0 0 0 0 0 0 272 0 0 0 0 0 0 0 0
"Mycobacterium" 0 0 0 0 0 0 818 0 0 0 0 0 0 0 0
"Nocardioides" 0 0 0 0 0 0 150 0 0 0 0 0 0 0 0
"Peptoniphilus" 0 0 0 0 0 0 163 0 0 0 0 0 0 0 0
"Pseudomonas" 0 0 0 0 0 0 5934 0 93 0 0 0 0 0 0
