"D05619" "D05626" "D05630" "D05635" "D05641" "D05643" "D05647" "D05648" "D05651" "D05654" "D05655" "D05658" "D05659" "D05663" "D05670" "D05672" "D05673" "D05674" "D05675" "D05676" "D05677"
"Bacteroides" 1641 0 22 227 0 39 0 435 0 36 0 0 252 0 82 37 42 69 0 9726 0
"Cellulosilyticum" 84 0 67 0 0 883 0 0 0 42 0 0 0 93 0 0 0 0 0 62 0
"Cetobacterium" 17648 47201 19 63391 0 62759 30 34060 0 28492 5606 8057 7750 585 66180 3933 9488 4284 12018 10007 1286
"Clostridium sensu stricto 1" 5466 19546 7769 8754 3790 1289 25739 5186 14041 17300 13338 39369 14996 16418 14576 49638 14693 20284 14592 5806 7727
"Clostridium sensu stricto 13" 661 860 806 298 488 63 548 101 71 66 375 120 803 457 480 50 78 840 215 71 20
"Edwardsiella" 465 401 9771 2983 587 840 0 645 1363 1583 2168 321 2274 3489 0 39 0 0 167 332 297
"Enterobacter" 436 557 6508 3006 311 190 0 514 2120 1237 1603 298 2252 5012 0 0 24 0 316 792 271
"Epulopiscium" 5082 7575 1406 11336 0 172 0 205 365 9849 4168 4249 5169 16515 12514 67 474 60 42 1371 0
"Escherichia-Shigella" 258 297 6574 900 22889 660 91 110 45964 2214 1112 1158 4738 972 14761 1217 1559 3526 382 530 71
"Faecalitalea" 68 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fusobacterium" 70865 5671 29919 22771 673 0 2502 16618 8090 2922 7858 19744 34616 116644 39445 767 8351 43 10754 5651 20929
"Helicobacter" 206 0 1353 79 17 0 33 0 115 65 107 0 769 196 204 151 33 21 0 0 28
"Lachnoclostridium" 48 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 61 0
"Myroides" 85 0 0 0 0 0 0 0 0 412 0 0 0 0 0 0 0 0 0 41 0
"Paeniclostridium" 5524 6298 361 2615 813 0 12989 334 1021 8928 592 10765 363 2165 218 11430 15726 1363 529 122 2405
"Paraeggerthella" 87 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0 0 30 0
"Peptoniphilus" 475 81 0 181 0 0 0 0 0 0 0 0 0 0 0 1375 57 0 0 0 13
"Peptostreptococcus" 637 1190 2355 2539 12 0 500 1118 14221 17 0 8285 1253 0 667 19097 408 199 715 74 292
"Plesiomonas" 2428 5932 19956 44308 1328 490 22485 5219 3036 7266 39058 26566 46171 17920 4941 3298 8838 11762 2446 4680 9384
"Psychrobacter" 184 0 38 0 43447 300 749 17283 815 580 4568 0 0 0 0 57 227 176 28795 529 11936
"Romboutsia" 87 1736 99 903 21 141 852 61 707 174 183 3979 384 508 238 313 52 6609 16 43 43
"Sarcina" 823 2246 171 1075 0 0 0 0 690 73 1043 211 240 1512 995 0 0 0 0 104 0
"Terrisporobacter" 88 908 383 746 131 1098 25 125 2078 311 2786 1579 1821 484 1900 734 46 2271 35 276 0
"Unclassified" 7527 6629 517 5022 876 594 13042 13635 788 5361 4095 2520 4226 3972 1205 21968 11740 46368 4580 9119 1867
"Aeromonas" 0 59 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Campylobacter" 0 2019 4752 253 17 0 43 0 0 0 52 0 92 0 0 38 0 0 0 658 0
"Clostridium sensu stricto 7" 0 66 90 0 0 0 368 139 31 0 0 0 0 0 0 0 0 32 145 21 0
"Paraclostridium" 0 228 0 0 0 0 391 548 0 0 0 33 0 0 0 44 127 161 62 0 24
"Peptoclostridium" 0 155 0 192 0 0 0 496 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacillus" 0 0 203 127 568 469 0 0 2071 0 0 0 116 0 0 125 0 0 0 57 0
"Blautia" 0 0 42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0
"Chryseobacterium" 0 0 57 0 195 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clostridium sensu stricto 11" 0 0 73 0 224 0 0 190 0 0 0 0 0 0 0 0 0 18 135 24 45
"Clostridium sensu stricto 2" 0 0 185 0 0 0 0 0 0 0 0 0 74 0 0 0 0 6730 0 0 0
"Flavobacterium" 0 0 21 0 85 0 54 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gelidibacter" 0 0 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Paeniglutamicibacter" 0 0 69 0 122 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pedobacter" 0 0 29 0 98 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ruminococcaceae UCG-005" 0 0 42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sporosarcina" 0 0 63 0 10056 151 0 2153 0 0 0 0 0 0 0 0 0 0 1030 15345 0
"Tyzzerella 3" 0 0 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 0 0 0
"Tyzzerella 4" 0 0 17 0 0 0 0 0 0 0 0 0 0 0 107 0 0 0 0 28 0
"Actinomyces" 0 0 0 202 0 0 229 0 0 22 46 0 161 0 0 62 20 76 199 0 0
"Herbinix" 0 0 0 83 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 98 0
"Pygmaiobacter" 0 0 0 75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Acidovorax" 0 0 0 0 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Acinetobacter" 0 0 0 0 8449 91 1333 0 0 0 290 0 0 0 0 0 129 37 307 0 0
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium" 0 0 0 0 33 44 0 0 0 0 0 0 0 0 0 206 0 0 0 0 0
"Arachidicoccus" 0 0 0 0 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Arthrobacter" 0 0 0 0 873 35 32 0 0 0 0 0 120 0 0 0 18 0 0 0 0
