"D05933" "D05934" "D05935" "D05940" "D05941" "D05942" "D05944" "D05945" "D05953" "D05955" "D05957" "D05959" "D05961" "D05962" "D05963" "D05964" "D05965" "D05966" "D05967" "D05968" "D05969" "D05970" "D05971" "D05972" "D05973" "D05974" "D05975" "D05976" "D05977"
"Bilateria" 78 0 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bradyrhizobium" 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mycoplasma" 2350 978 2333 15376 18429 12438 767 13407 7036 9129 25142 123 6957 25366 42749 809 31038 1301 17327 2927 20904 16344 33138 36202 6945 19951 2503 7360 42112
"Paracoccus" 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudomonas" 26 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 69 0 0 0 0 0 0 0 0
"Unclassified" 1863 6765 14730 9472 16849 0 487 4253 436 1224 7508 1372 116 18010 7317 140 3759 0 5253 2423 2446 13817 7113 22294 1623 1267 354 4615 20513
"Aeromonas" 0 6930 0 0 0 0 0 0 29 2310 0 1343 0 127 0 103 22 0 0 0 133 425 26 378 27 0 434 915 0
"Cetobacterium" 0 40344 0 0 0 0 0 0 0 3099 0 6191 0 0 0 1724 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clostridium sensu stricto 1" 0 2047 0 0 0 0 0 0 0 254 0 207 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0
"Epulopiscium" 0 967 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Paraclostridium" 0 236 0 0 0 0 0 0 0 128 0 2645 0 0 0 157 0 0 0 0 0 154 0 0 0 65 190 157 0
"Plesiomonas" 0 590 0 0 0 0 0 0 0 166 0 462 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Romboutsia" 0 186 0 0 0 0 0 0 0 1920 0 0 0 0 0 12 0 79 0 0 0 0 0 249 0 109 518 48 0
"Sarcina" 0 262 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"uncultured bacterium" 0 942 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 76 0 0
"Vibrio" 0 15063 0 0 0 0 0 0 0 14 0 423 0 87 0 653 0 0 0 0 175 47 0 0 0 0 8694 21 0
"Cyanobium PCC-6307" 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Flavobacterium" 0 0 0 0 0 0 5 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0
"Neisseria" 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nodosilinea PCC-7104" 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0
"Pantoea" 0 0 0 0 0 0 429 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Polynucleobacter" 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Streptococcus" 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Shewanella" 0 0 0 0 0 0 0 0 0 0 0 67 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0
"Enterobacter" 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rheinheimera" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0
"Francisella" 0 0 0 0 0 0 0 0 0 0 0 0 0 26 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0
"Terrisporobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 18 0 0
"Triticum aestivum (bread wheat)" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0
"Brevinema" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4231 0 76 0 41 0 0 0 0 0 0
"Modestobacter" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0
"Sphingobium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0
