"D06942" "D06943" "D06944" "D06945" "D06946" "D06947" "D06948" "D06949" "D06950" "D06951" "D06952" "D06953" "D06954" "D06955" "D06956" "D06957" "D06958" "D06959" "D06960" "D06961" "D06962" "D06963" "D06964" "D06965" "D06966" "D06967" "D06969" "D06970" "D06971" "D06973" "D06974" "D06975" "D06976" "D06977" "D06978" "D06979" "D06980" "D06981" "D06982" "D06987" "D06988" "D06989" "D06990" "D06991" "D06992" "D06993" "D06994" "D06995" "D06996" "D06997" "D06999" "D07000" "D07001" "D07002" "D07003" "D07028" "D07029" "D07030" "D07031" "D07032" "D07033"
"Akkermansia" 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0
"Bacteroides" 5 0 7 4 19 0 0 5 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 3 0 7 12 0 0 0 43 0 0 0 3 14 0 0 0 5 0 10 0
"Bouteloua dactyloides" 12 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clostridium sensu stricto 1" 4492 7951 2269 7924 7553 206 3221 7080 16403 0 3813 553 22 0 4969 35520 6258 464 59 195 22 9 28 8920 23 0 72 4356 708 4304 418 1600 28 276 38549 7102 98 716 114 4882 16578 6890 6008 47 1458 667 4741 286 9483 8343 18662 13453 1919 1750 503 7856 3215 13337 2814 190 24
"Escherichia-Shigella" 20923 12830 4851 10949 8839 1445 15339 13958 834 0 45 0 0 0 96 150 19 0 0 0 0 0 0 1681 0 0 6360 2154 11532 1974 182 5330 14306 1554 910 9836 18 5142 590 9751 6367 3268 5423 1186 71 24116 13349 1815 1123 16358 7965 8644 92 22864 11122 23402 6480 9911 9786 170 357
"Pseudomonas" 8 6 8 10 5 0 3 82 33 8747 251 6925 17714 11836 20057 9812 16526 14209 5612 1776 876 4239 3962 71 4914 5466 11340 22414 11023 20989 23013 20427 2136 8536 3211 3750 120 31392 9864 0 0 0 0 5 0 0 71 0 70 0 19 19 32 62 0 214 13 0 0 6346 7336
"Streptococcus" 821 4427 8621 3877 1210 39934 4047 4219 3923 0 7 7 0 0 21 12075 12 411 0 0 0 0 0 13057 0 0 1009 48 0 52 0 0 0 0 258 0 0 0 0 3307 19676 12819 13459 15839 23279 6881 8589 32753 24723 6122 4536 4336 25167 10987 14616 7896 11560 2904 10891 701 6344
"Terrisporobacter" 663 0 16 226 825 4 13 26 2659 0 36 0 0 0 109 2157 113 0 0 12 0 0 0 6 0 0 0 74 0 38 20 106 0 0 738 128 0 24 0 127 295 24 250 0 0 0 361 37 22 201 3147 53 17 68 0 15 28 980 12 5 0
"Thermus" 8 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 5990 0 0 0 0 0 0 0 0 0 0 0 28 0
"Triticum aestivum (bread wheat)" 93 65 672 165 327 123 316 100 403 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 68 22 0 0 0 289 67 78 28 0 49 14 44 118 417 18 199 68 219 117 0 112 19 75 197 2151 0
"Turicibacter" 777 16 166 323 2177 11 245 17 786 0 509 25 2 0 492 943 855 51 0 0 0 0 0 473 0 0 0 78 24 54 8 12 14 0 942 82 0 0 0 87 1482 166 510 0 32 217 137 184 141 2835 2609 158 272 199 0 115 0 1099 18 9 0
"Unclassified" 1558 1592 12954 4378 7125 2516 6701 3322 4481 0 109 30 16 41 116 2514 444 21 124 67 1206 0 64 1838 47 37 3427 3838 3317 4440 4439 2755 6663 4833 6022 4534 14009 2786 2224 5795 1823 1779 1490 1145 798 1169 2111 1896 4940 724 5856 2044 4001 1681 1024 2990 2908 850 5746 16587 801
"uncultured bacterium" 3 16 0 0 0 0 0 0 0 0 0 0 0 0 0 37 0 0 0 0 48 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2073 0 74 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 406
"Actinobacillus" 0 488 28 0 20 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 17 21 41 218 548 165 0 61 148 0 0 34 7 0 329 8 1646 4 52 0 2445
"Actinomyces" 0 3 4 0 7 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 14 11 0 0 0 5 0 78 0
"Campylobacter" 0 129 47 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 46 0 0 0 151 584 4768 144 8 274 25 12 423 34 350 0 0 0 901 0 62 252 89 0 968 4
"Enterobacter" 0 14 0 0 11 0 0 0 26 0 0 0 0 0 0 0 911 0 0 4 0 0 0 0 0 0 328 134 118 158 300 12566 0 3120 160 70 36 7718 1238 0 0 0 66 12 3 0 0 15 13 0 0 0 0 0 0 21 0 18 0 0 177
"Enterococcus" 0 20 0 0 0 0 0 0 9 0 0 0 0 0 0 12 0 0 0 0 0 0 0 80 0 0 0 86 0 46 0 0 0 0 0 0 0 0 0 9 0 0 8 7 0 0 9 29 0 0 0 0 0 7 11 63 0 4 0 12 0
"Fimbriiglobus" 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 174 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Helicobacter" 0 225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 39 0 0 0 0 0 590 0 92 0 59 0 0 0 117 0 0 3 0
"Lactobacillus" 0 73 0 0 0 55 0 0 131 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 54 0 34 0 0 0 0 1216 0 0 0 0 66 0 0 1122 119 186 18 0 22 0 0 0 15 21 0 97 0 0 0 0 27 138
"metagenome" 0 724 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 758 0 72 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 0 13220
"Neisseria" 0 6 11 4 5 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 5 0 0 56 0 0 11 14 0 0 141 12 0 97 0 13 0 6 78 33
"Pedobacter" 0 12 0 0 0 0 0 0 0 7227 0 73 61 7232 382 1784 0 46 788 3667 2737 6418 5572 0 9372 18666 3354 10 0 0 0 0 2237 766 0 0 28 0 3242 0 0 0 0 0 0 0 0 0 38 0 0 0 0 0 0 0 4 0 0 28 3052
"Sarcina" 0 23 0 374 0 0 8 126 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 208 50 260 38 134 0 0 160 388 0 68 0 280 313 0 37 3 0 19 115 0 22 0 24 21 0 80 0 181 22 0 160 0 0
"Veillonella" 0 38 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 74 66 0 21 0 0 0 0 0 18 16 0 1415 0 0 0 66
"Weissella" 0 76 0 3 0 0 0 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 184 1233 1990 0 0 0 9 2810 0 0 0 0 0 280 294 652 0 0 7 272
"Actinomycetospora" 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Candidatus Uzinura" 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lautropia" 0 0 4 0 17 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 119 0
"Methylocystis" 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Moraxella" 0 0 10 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 5 0 0 8 0 0 4 0 0 0 0 4 0
"Paeniclostridium" 0 0 5 0 189 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 36 0 0 5 0
"Psychrobacter" 0 0 4 0 0 0 0 0 0 0 0 55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 262 0 170 0 0 0 58 0
