"D12343" "D12344" "D12345" "D12346" "D12347" "D12348" "D12349" "D12350" "D12351" "D12352" "D12364" "D12365" "D12366" "D12367" "D12368" "D12369" "D12370" "D12371" "D12372"
"[Eubacterium] coprostanoligenes group" 9529 5184 5245 12960 4933 701 7194 105 6200 3274 2426 1682 1925 15045 440 1812 6354 3861 313
"Acetitomaculum" 213 0 0 2720 0 0 0 0 0 0 0 0 0 198 0 378 329 0 0
"Akkermansia" 509 2161 2300 2046 495 213 202 216 94 423 79 0 52 62 0 0 0 109 0
"Alistipes" 3453 2666 6479 138 5170 920 4264 1662 1145 2488 2545 0 1775 786 2072 1168 7385 4516 1377
"Anaerosporobacter" 278 0 0 0 0 203 453 201 1584 1439 0 0 0 888 0 0 0 0 0
"Bacteroides" 1499 2572 1047 54979 2013 1778 510 733 0 3302 0 0 0 0 0 352 837 851 0
"Butyrivibrio" 648 260 107 0 0 0 343 425 204 0 0 0 0 356 0 0 0 0 0
"Candidatus Soleaferrea" 464 111 0 0 202 57 696 0 328 0 0 137 0 414 52 0 335 279 0
"Clostridium sensu stricto 1" 668 221 802 193 0 544 3456 3480 581 2295 203 0 141 189 172 0 2009 0 148
"Coprococcus 3" 146 285 0 402 0 983 167 0 161 454 565 0 451 1441 0 0 1791 0 0
"Escherichia-Shigella" 99 151 265 0 0 117 0 0 0 179 0 0 0 0 165 2307 182 736 132
"Family XIII AD3011 group" 307 238 206 3115 0 184 226 0 468 263 153 0 120 166 0 408 861 148 0
"Lachnoclostridium 10" 372 337 290 0 0 803 412 243 1420 1267 293 0 212 1715 245 0 766 386 183
"Lachnospiraceae FCS020 group" 274 0 281 0 636 582 126 0 1310 0 430 189 338 173 0 0 6011 0 0
"Lachnospiraceae NK4A136 group" 754 937 308 0 755 592 519 0 4183 3945 277 618 213 8093 901 0 1628 1179 361
"Lachnospiraceae UCG-004" 153 0 0 0 0 0 0 0 0 208 0 160 0 0 0 0 0 0 0
"Lachnospiraceae UCG-008" 89 0 0 148 0 501 110 0 76 215 0 92 0 0 0 0 0 0 0
"Lachnospiraceae UCG-010" 723 491 224 0 349 0 415 513 824 0 366 0 279 124 0 0 475 0 67
"Lysinibacillus" 152 0 0 0 0 1248 0 0 625 258 4662 0 3740 0 35122 71510 14304 11220 27045
"Mailhella" 477 403 306 2027 79 212 270 253 210 255 0 0 0 0 0 0 370 194 0
"Methanobrevibacter" 610 305 521 5043 2571 78 151 1155 491 637 1222 65 904 382 7088 755 4152 431 4210
"Oscillospira" 216 213 0 0 174 0 452 128 0 0 0 310 0 0 0 0 409 236 0
"Paeniclostridium" 6046 1129 6478 287 131 0 2710 829 3644 3312 0 0 0 2591 96 0 125 0 0
"Parasutterella" 101 0 0 5552 133 639 0 108 0 289 156 0 94 258 97 202 883 479 68
"Phascolarctobacterium" 233 538 240 4041 0 615 0 0 155 286 0 0 0 0 0 142 0 0 0
"Prevotella 1" 118 0 60 0 134 54 0 0 0 0 0 1956 0 0 0 0 0 0 0
"Prevotellaceae UCG-003" 144 1168 1571 359 475 91 223 112 204 1364 432 1015 204 0 358 161 281 0 230
"Prevotellaceae UCG-004" 461 1505 1263 3051 2409 669 3656 1585 2803 1522 1460 0 1075 173 192 639 3497 2193 144
"Rikenellaceae RC9 gut group" 12998 22712 15145 21821 17541 10255 16879 13436 22238 15292 9260 18573 7139 12561 4124 4341 13001 14178 3118
"Romboutsia" 4869 1476 4321 26243 1315 0 5957 4863 7635 6302 1981 0 1599 19905 1171 753 14721 271 1072
"Roseburia" 974 290 717 640 494 6551 0 0 1086 2876 3331 134 2635 1782 331 0 4064 1397 236
"Ruminiclostridium" 350 0 0 0 0 0 830 0 878 619 0 224 0 0 0 0 965 488 0
"Ruminiclostridium 1" 516 549 342 0 0 69 0 0 230 0 0 361 0 288 87 0 0 0 0
"Ruminobacter" 1528 2424 1065 0 0 0 6321 13396 4289 2014 0 1232 0 112 0 0 0 680 0
"Ruminococcaceae NK4A214 group" 404 275 333 1224 238 414 145 0 813 374 0 972 0 0 0 0 575 0 0
"Ruminococcaceae UCG-002" 490 420 155 0 0 0 249 0 330 387 0 847 0 0 0 0 0 0 0
"Ruminococcaceae UCG-004" 81 0 0 0 0 0 0 0 233 156 0 0 0 134 0 0 0 0 0
"Ruminococcaceae UCG-005" 28102 19684 14028 36466 17074 29664 31843 13924 26001 17447 16454 683 13701 31374 11692 16063 55289 26181 9050
"Ruminococcaceae UCG-009" 1799 617 242 0 596 101 875 0 635 127 181 0 104 121 123 193 937 203 87
"Ruminococcaceae UCG-010" 62662 32723 29545 0 21026 10567 67096 14872 31127 10116 55031 1269 45102 26324 14299 6555 103318 47710 11075
"Ruminococcaceae UCG-013" 6490 3040 1840 231 2470 868 4693 131 3258 893 1785 677 1266 3711 1879 968 5127 2536 1360
"Ruminococcaceae UCG-014" 889 1380 1539 1416 328 117 569 200 514 2646 301 166 144 1945 117 0 240 246 82
"Ruminococcus 2" 200 252 0 2286 0 0 0 0 0 0 0 261 0 0 0 0 0 0 0
"Treponema 2" 1280 4517 940 1729 745 26372 1040 724 2301 7064 380 121 228 0 70 0 0 294 38
"Turicibacter" 354 177 361 121 130 0 325 836 557 2036 0 0 0 371 0 0 0 0 0
"Tyzzerella 4" 573 1002 702 0 0 184 910 325 1601 1141 0 0 0 6807 324 0 1324 0 0
"Unclassified" 24737 17491 11730 10572 12044 24273 19466 8189 25129 30598 14084 16326 9662 13425 14136 31627 29223 19334 10539
"uncultured bacterium" 11926 9798 8667 2663 5720 8975 14515 8936 6076 10421 11773 4307 8987 8566 4031 3460 15005 11112 3104
"uncultured Parabacteroides sp." 263 0 0 0 809 0 274 358 0 0 0 0 0 0 0 0 0 143 50
"[Eubacterium] nodatum group" 0 187 0 418 119 0 0 0 0 0 222 0 0 0 0 0 648 0 0
"Agathobacter" 0 147 0 0 0 1762 285 0 128 1358 0 0 0 624 272 0 399 628 206
"Anaeroplasma" 0 287 0 0 416 201 0 0 0 79 463 0 310 102 0 0 310 323 0
"Bacillus" 0 153 0 0 0 0 0 0 688 605 244 0 340 0 3849 14191 4373 2254 2755
"Candidatus Saccharimonas" 0 650 249 4452 2127 293 0 1215 0 338 866 443 651 2410 530 2042 2139 0 241
"Christensenellaceae R-7 group" 0 468 0 14991 179 1147 0 0 181 295 0 1706 0 1222 0 4042 2543 0 0
"dgA-11 gut group" 0 1053 168 16462 0 0 767 0 98 0 0 0 0 0 0 171 597 401 0
"Ruminococcus 1" 0 848 0 0 306 0 0 0 2592 1482 0 493 0 676 0 0 0 0 0
"Saccharofermentans" 0 102 0 119 0 0 0 0 0 0 0 401 0 0 0 0 0 0 0
"Simplicimonas" 0 240 0 0 0 0 0 0 0 324 0 0 0 0 0 0 0 0 0
"Succinivibrio" 0 146 176 0 54 8233 0 207 875 4266 0 83 0 0 0 0 0 0 0
"uncultured Bacteroidales bacterium" 0 1360 803 0 311 0 0 207 75 766 0 0 0 407 156 367 1049 903 114
"Alloprevotella" 0 0 201 408 555 0 220 2262 2912 0 125 0 90 208 1711 388 1327 1669 1117
"Cerasicoccus" 0 0 60 0 0 0 0 71 133 0 0 0 0 0 0 0 0 0 0
"Edwardsiella" 0 0 250 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Prevotellaceae UCG-001" 0 0 94 0 72 402 0 0 357 77 0 519 0 0 0 0 0 0 0
"Sarcina" 0 0 82 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"[Eubacterium] brachy group" 0 0 0 581 0 0 0 0 0 0 0 0 0 0 0 192 460 0 0
"[Ruminococcus] gauvreauii group" 0 0 0 869 0 0 0 0 0 0 0 0 0 230 0 135 0 0 0
"Anaerofustis" 0 0 0 81 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Atopobium" 0 0 0 433 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Blautia" 0 0 0 202 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Coprococcus 1" 0 0 0 129 0 0 0 0 0 0 0 0 0 0 0 159 0 0 0
"DNF00809" 0 0 0 956 0 0 0 0 149 0 0 0 0 0 0 0 0 0 0
"Enterorhabdus" 0 0 0 290 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Geobacillus" 0 0 0 202 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gordonibacter" 0 0 0 97 0 0 0 0 0 0 0 0 0 0 0 75 0 0 0
"Lachnospiraceae NK3A20 group" 0 0 0 2834 0 0 0 0 1708 0 0 217 0 981 0 1472 319 0 0
"Marvinbryantia" 0 0 0 599 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mogibacterium" 0 0 0 1929 165 0 0 0 0 0 0 0 0 0 0 198 0 0 0
"Negativibacillus" 0 0 0 185 0 318 0 0 0 0 0 0 0 139 0 0 335 121 0
"Ruminiclostridium 5" 0 0 0 193 0 0 0 0 0 0 0 0 0 68 0 0 0 0 0
"Ruminococcaceae UCG-011" 0 0 0 1893 0 0 0 0 0 79 0 0 0 0 0 0 0 0 0
"Streptococcus" 0 0 0 678 110 0 0 405 0 137 0 0 0 0 0 0 0 0 0
"Syntrophococcus" 0 0 0 905 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Flexilinea" 0 0 0 0 178 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Prevotellaceae Ga6A1 group" 0 0 0 0 73 0 0 0 2646 1154 0 0 0 106 0 0 0 0 0
"[Eubacterium] ventriosum group" 0 0 0 0 0 88 0 0 100 0 0 89 0 0 0 322 0 0 0
"[Ruminococcus] torques group" 0 0 0 0 0 104 0 0 0 0 0 0 0 0 0 325 1013 0 0
"Anaerovibrio" 0 0 0 0 0 127 0 0 0 0 0 0 0 0 0 0 0 0 0
"ASF356" 0 0 0 0 0 86 0 0 0 0 0 0 0 0 0 0 0 0 0
"Butyricicoccus" 0 0 0 0 0 261 0 0 0 0 0 0 0 0 0 0 0 0 0
"Campylobacter" 0 0 0 0 0 78 0 0 0 757 0 0 0 0 0 0 0 0 0
"Comamonas" 0 0 0 0 0 122 0 0 0 0 0 0 0 0 0 7806 0 0 0
"Dielma" 0 0 0 0 0 118 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dorea" 0 0 0 0 0 447 0 0 98 0 233 0 174 79 0 643 397 117 0
"Elusimicrobium" 0 0 0 0 0 81 134 0 0 188 0 0 0 237 0 0 0 0 0
"Erysipelotrichaceae UCG-004" 0 0 0 0 0 296 0 0 0 0 0 645 0 0 135 0 0 0 84
"Faecalibacterium" 0 0 0 0 0 279 0 0 0 0 0 0 0 0 0 0 0 0 0
"FD2005" 0 0 0 0 0 123 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fibrobacter" 0 0 0 0 0 135 0 0 0 423 0 1091 0 0 0 0 0 0 0
"Lachnobacterium" 0 0 0 0 0 140 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnoclostridium" 0 0 0 0 0 458 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lachnospiraceae AC2044 group" 0 0 0 0 0 60 0 0 1106 822 0 346 0 596 0 991 0 0 0
"Lachnospiraceae UCG-001" 0 0 0 0 0 1150 0 0 0 0 0 0 0 386 0 0 413 0 0
"Ruminiclostridium 6" 0 0 0 0 0 123 0 0 428 0 0 0 0 136 0 0 0 0 0
"Ruminiclostridium 9" 0 0 0 0 0 74 0 0 0 0 0 0 0 107 0 0 0 0 0
"Selenomonas 1" 0 0 0 0 0 606 0 0 0 0 0 0 0 0 0 0 0 0 0
"XBB1006" 0 0 0 0 0 301 289 0 2710 423 0 0 0 0 0 0 0 313 0
"Cellulosilyticum" 0 0 0 0 0 0 876 899 759 803 0 0 0 368 0 0 0 0 0
"Papillibacter" 0 0 0 0 0 0 88 0 0 0 0 219 0 0 0 0 0 0 0
"Terrisporobacter" 0 0 0 0 0 0 180 0 209 0 0 0 0 316 0 0 223 0 0
"Clostridium sensu stricto 6" 0 0 0 0 0 0 0 178 0 245 0 0 0 0 0 0 0 0 0
"[Eubacterium] ruminantium group" 0 0 0 0 0 0 0 0 169 0 177 0 168 120 0 0 0 0 0
"Coprococcus 2" 0 0 0 0 0 0 0 0 545 370 0 0 0 0 0 0 0 0 0
"Cetobacterium" 0 0 0 0 0 0 0 0 0 386 0 0 0 0 0 0 0 0 0
"Lachnospiraceae NK4B4 group" 0 0 0 0 0 0 0 0 0 221 0 0 0 0 0 0 0 0 0
"Lactobacillus" 0 0 0 0 0 0 0 0 0 529 0 144 0 0 0 0 0 0 0
"Faecalitalea" 0 0 0 0 0 0 0 0 0 0 78 0 0 0 0 0 688 0 0
"Methanosphaera" 0 0 0 0 0 0 0 0 0 0 79 0 57 0 0 0 442 0 0
"Solibacillus" 0 0 0 0 0 0 0 0 0 0 1872 0 1570 1449 5047 18354 763 3569 3803
"[Eubacterium] oxidoreducens group" 0 0 0 0 0 0 0 0 0 0 0 82 0 0 0 0 0 0 0
"Acidicaldus" 0 0 0 0 0 0 0 0 0 0 0 44 0 0 0 0 0 0 0
"Acidothermus" 0 0 0 0 0 0 0 0 0 0 0 141 0 0 0 0 0 0 0
"Actinobacillus" 0 0 0 0 0 0 0 0 0 0 0 241 0 0 0 0 0 0 0
"Actinospica" 0 0 0 0 0 0 0 0 0 0 0 259 0 0 0 0 0 0 0
"Alcanivorax" 0 0 0 0 0 0 0 0 0 0 0 2341 0 0 0 0 0 0 0
"Anaerovorax" 0 0 0 0 0 0 0 0 0 0 0 136 0 0 0 0 0 0 0
"Ascidiaceihabitans" 0 0 0 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0
"Bacteroidales bacterium Bact_22" 0 0 0 0 0 0 0 0 0 0 0 44 0 0 0 0 0 0 0
"Brachybacterium" 0 0 0 0 0 0 0 0 0 0 0 66 0 0 0 0 0 0 0
"Brevibacterium" 0 0 0 0 0 0 0 0 0 0 0 37 0 0 0 0 0 0 0
"Bryobacter" 0 0 0 0 0 0 0 0 0 0 0 73 0 0 0 0 0 0 0
"Butyrivibrio 2" 0 0 0 0 0 0 0 0 0 0 0 1494 0 0 0 0 0 0 0
"Candidatus Koribacter" 0 0 0 0 0 0 0 0 0 0 0 41 0 0 0 0 0 0 0
"Clade Ia" 0 0 0 0 0 0 0 0 0 0 0 290 0 0 0 0 0 0 0
"Cloacibacterium" 0 0 0 0 0 0 0 0 0 0 0 97 0 0 0 0 0 0 0
"Corynebacterium 1" 0 0 0 0 0 0 0 0 0 0 0 42 0 0 0 0 0 0 0
"Cutibacterium" 0 0 0 0 0 0 0 0 0 0 0 593 0 0 0 0 0 0 0
"Dehalogenimonas" 0 0 0 0 0 0 0 0 0 0 0 64 0 0 0 0 0 0 0
"Delftia" 0 0 0 0 0 0 0 0 0 0 0 71 0 0 0 346 0 0 0
"Enhydrobacter" 0 0 0 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0
"Enterobacter" 0 0 0 0 0 0 0 0 0 0 0 164 0 0 0 0 0 0 0
"Erythrobacter" 0 0 0 0 0 0 0 0 0 0 0 1188 0 0 0 0 0 0 0
"Exiguobacterium" 0 0 0 0 0 0 0 0 0 0 0 574 0 0 0 0 0 0 0
"Formosa" 0 0 0 0 0 0 0 0 0 0 0 345 0 0 0 0 0 0 0
"Halomonas" 0 0 0 0 0 0 0 0 0 0 0 54 0 0 0 363 0 0 0
"Hyphomonas" 0 0 0 0 0 0 0 0 0 0 0 122 0 0 0 0 0 0 0
"Lachnospiraceae NC2004 group" 0 0 0 0 0 0 0 0 0 0 0 59 0 0 0 0 0 0 0
"Lachnospiraceae ND3007 group" 0 0 0 0 0 0 0 0 0 0 0 93 0 0 0 0 0 0 0
"Lachnospiraceae UCG-006" 0 0 0 0 0 0 0 0 0 0 0 58 0 0 0 0 0 0 0
"Leisingera" 0 0 0 0 0 0 0 0 0 0 0 155 0 0 0 0 0 0 0
"Mesoflavibacter" 0 0 0 0 0 0 0 0 0 0 0 1240 0 0 0 0 0 0 0
"Methylobacterium" 0 0 0 0 0 0 0 0 0 0 0 126 0 0 0 0 0 0 0
"Micrococcus" 0 0 0 0 0 0 0 0 0 0 0 94 0 0 0 0 0 0 0
"Nautella" 0 0 0 0 0 0 0 0 0 0 0 1749 0 0 0 0 0 0 0
"Oceanobacterium" 0 0 0 0 0 0 0 0 0 0 0 1747 0 0 0 0 0 0 0
"Oleibacter" 0 0 0 0 0 0 0 0 0 0 0 2060 0 133 0 0 0 0 0
"Oribacterium" 0 0 0 0 0 0 0 0 0 0 0 78 0 0 0 0 0 0 0
"probable genus 10" 0 0 0 0 0 0 0 0 0 0 0 317 0 0 0 0 0 0 0
"Pseudomonas" 0 0 0 0 0 0 0 0 0 0 0 1596 0 0 0 3786 0 0 0
"Ralstonia" 0 0 0 0 0 0 0 0 0 0 0 58 0 0 0 0 0 0 0
"Roseobacter clade CHAB-I-5 lineage" 0 0 0 0 0 0 0 0 0 0 0 42 0 0 0 0 0 0 0
"Roseovarius" 0 0 0 0 0 0 0 0 0 0 0 119 0 0 0 0 0 0 0
"Ruegeria" 0 0 0 0 0 0 0 0 0 0 0 4307 0 0 0 0 0 0 0
"Ruminococcaceae UCG-012" 0 0 0 0 0 0 0 0 0 0 0 117 0 0 0 0 0 0 0
"Ruminococcaceae V9D2013 group" 0 0 0 0 0 0 0 0 0 0 0 76 0 0 0 0 0 0 0
